date,open,high,low,close,volume
2017-07-20,6.74,6.89,6.58,6.65,38588
2017-07-21,6.68,6.81,6.45,6.75,102588
2017-07-24,6.75,6.86,6.51,6.68,78675
2017-07-25,6.8,6.8,6.58,6.67,27854
2017-07-26,6.65,6.69,6.39,6.46,85921
2017-07-27,6.47,6.55,6.26,6.43,72164
2017-07-28,6.42,6.56,6.295,6.52,59318
2017-07-31,6.51,6.51,6.07,6.27,172409
2017-08-01,6.34,6.58,6.09,6.48,67348
2017-08-02,6.41,6.41,5.99,6.06,121796
2017-08-03,6.5,7.37,6.072,7.29,219161
2017-08-04,7.3,8.38,7.23,8.14,317681
2017-08-07,8.09,8.35,8,8.14,183613
2017-08-08,8.11,8.55,8.11,8.28,104021
2017-08-09,8.2,8.23,7.9,8.22,104630
2017-08-10,8.35,8.75,8.155,8.43,141054
2017-08-11,8.42,8.75,8.2,8.66,46126
2017-08-14,8.75,9.23,8.46,8.98,87439
2017-08-15,8.98,8.99,8.72,8.76,41044
2017-08-16,8.76,8.95,8.518,8.69,88092
2017-08-17,8.67,9,8.51,8.79,78023
2017-08-18,8.72,9.11,8.7,9.05,42167
2017-08-21,9.08,9.15,8.79,8.98,106031
2017-08-22,9.02,9.206,9.02,9.12,47390
2017-08-23,9.1,9.142,8.84,8.93,35517
2017-08-24,8.93,9.19,8.9,9.11,39962
2017-08-25,9.15,9.205,8.97,9.01,40642
2017-08-28,9.07,9.32,8.9578,9.14,35319
2017-08-29,9.15,9.15,8.9,8.98,48907
2017-08-30,9,9.29,8.87,9.23,37615
2017-08-31,9.24,9.48,9.14,9.28,49811
2017-09-01,9.29,9.84,9.29,9.8,54057
2017-09-05,9.8,9.95,9.58,9.82,65461
2017-09-06,9.88,10.42,9.6938,10.36,77084
2017-09-07,10.36,10.36,10.01,10.16,43128
2017-09-08,10.13,10.43,10.13,10.35,33338
2017-09-11,10.28,10.85,10.28,10.76,38832
2017-09-12,10.75,13.0551,10.75,12.57,362177
2017-09-13,12.52,12.57,11.53,11.65,114903
2017-09-14,12.14,12.28,11.331,11.4,148883
2017-09-15,11.42,11.519,11.21,11.39,116219
2017-09-18,11.43,11.43,10.7252,11,77929
2017-09-19,11,11.02,10.17,10.2,90227
2017-09-20,10.18,10.89,10.13,10.74,110300
2017-09-21,10.7,10.835,9.52,9.54,108050
2017-09-22,9.63,9.939,9.44,9.77,79749
2017-09-25,9.73,10.22,9.73,10.13,163400
2017-09-26,10.13,10.5,10,10.15,81624
2017-09-27,10.15,10.4,10.115,10.23,69493
2017-09-28,10.23,10.35,10.12,10.24,62577
2017-09-29,10.24,10.36,9.81,9.93,56775
2017-10-02,9.95,10.04,9.58,10,61588
2017-10-03,10,10.2,9.84,9.99,72146
2017-10-04,10,10.01,9.7248,9.95,30797
2017-10-05,9.9,10.1,9.56,9.58,85015
2017-10-06,9.5,9.6,9.15,9.17,73854
2017-10-09,9.18,9.2369,8.26,8.375,126259
2017-10-10,8.48,8.49,8.16,8.33,110740
2017-10-11,8.26,8.37,7.68,7.79,307102
2017-10-12,7.8,7.99,7.41,7.72,139144
2017-10-13,7.73,8.44,7.69,8.35,107727
2017-10-16,8.27,8.55,7.95,8.03,213085
2017-10-17,7.97,8.08,7.83,7.93,81758
2017-10-18,7.93,8.34,7.93,8.2,71443
2017-10-19,8.22,8.35,8.14,8.25,39963
2017-10-20,8.29,8.7,8.2323,8.64,82528
2017-10-23,8.64,8.645,8.23,8.45,83259
2017-10-24,8.45,8.6,8.41,8.42,25723
2017-10-25,8.41,8.42,8.11,8.3,29961
2017-10-26,8.32,8.45,8.13,8.32,51453
2017-10-27,8.41,8.61,8.2,8.56,35045
2017-10-30,8.55,8.55,8.11,8.21,46740
2017-10-31,8.18,8.36,7.92,7.92,143319
2017-11-01,7.96,7.97,7.53,7.53,84611
2017-11-02,8.9,10.97,8.575,10.02,428500
2017-11-03,10.36,10.48,9.77,10.08,285156
2017-11-06,10.08,11.36,10,11.14,270623
2017-11-07,11.14,11.14,10.41,11.07,177424
2017-11-08,11,11.94,10.7636,11.11,973683
2017-11-09,11.02,11.34,10.7203,10.88,153476
2017-11-10,10.9,11.4,10.735,11.28,144060
2017-11-13,11.2,11.379,10.24,10.32,212790
2017-11-14,10.23,10.39,10.09,10.16,105568
2017-11-15,10.09,10.15,9.55,9.81,263700
2017-11-16,10.02,10.29,9.8,9.93,177369
2017-11-17,9.97,10.1,9.79,9.82,142594
2017-11-20,9.65,9.8,8.79,8.89,278321
2017-11-21,8.99,9.49,8.99,9.1,162332
2017-11-22,9.03,9.26,8.97,9.04,151171
2017-11-24,9.04,9.21,8.94,9.01,94520
2017-11-27,8.98,9.01,8.53,8.59,142182
2017-11-28,8.59,9.03,8.565,8.98,177551
2017-11-29,8.98,9.36,8.95,9.09,271052
2017-11-30,9.15,9.26,8.94,9.13,166258
2017-12-01,9.24,9.24,8.73,8.97,174412
2017-12-04,9.08,9.11,8.8,8.84,155874
2017-12-05,8.82,8.82,8.41,8.44,171608
2017-12-06,8.44,8.59,8.26,8.5,163090
2017-12-07,8.53,8.97,8.4014,8.89,134002
2017-12-08,8.9,8.9,8.69,8.85,128162
2017-12-11,8.8,8.91,8.715,8.8,131112
2017-12-12,8.87,9.17,8.82,9.11,175333
2017-12-13,9.09,9.09,8.53,8.62,172783
2017-12-14,8.64,8.88,8.4,8.48,210737
2017-12-15,8.48,8.85,8.37,8.42,278903
2017-12-18,8.45,8.83,8.43,8.6,187620
2017-12-19,8.58,8.74,8.36,8.43,181526
2017-12-20,8.45,8.6099,8.33,8.49,115672
2017-12-21,8.46,8.7,8.428,8.7,319559
2017-12-22,8.7,9.1,8.54,9.07,210909
2017-12-26,9.06,9.12,9,9.02,61420
2017-12-27,9.02,9.16,8.67,9.04,153122
2017-12-28,9.05,9.2692,8.98,9.01,95998
2017-12-29,9.02,9.26,9,9,108342
2018-01-02,9.02,9.36,9,9.27,109565
2018-01-03,9.2,9.3,9.02,9.25,130478
2018-01-04,9.23,9.47,8.99,9.32,102293
2018-01-05,9.32,9.36,9.09,9.12,98021
2018-01-08,9.08,9.16,8.88,8.91,184073
2018-01-09,9,9.12,8.91,9.05,83626
2018-01-10,9,9.04,8.95,9.01,81470
2018-01-11,9.03,9.71,9.03,9.3,101549
2018-01-12,9.28,9.48,9.16,9.27,96006
2018-01-16,9.37,9.41,9,9.06,70239
2018-01-17,9.12,9.17,9,9.03,105139
2018-01-18,9.05,9.1351,8.98,8.99,167077
2018-01-19,9,9.27,9,9.2,111426
2018-01-22,9.2,9.2,8.94,9.08,138631
2018-01-23,9.05,9.11,9,9.02,54831
2018-01-24,9.07,9.07,8.91,8.95,117228
2018-01-25,9,9.06,8.9,9.05,203818
2018-01-26,9.11,9.24,9.09,9.17,62338
2018-01-29,9.17,9.78,9.17,9.5,171445
2018-01-30,9.4,9.48,9,9.08,83523
2018-01-31,9.08,9.25,8.82,8.95,122498
2018-02-01,8.9,8.9,8.5,8.64,96895
2018-02-02,8.56,8.56,8.01,8.11,142477
2018-02-05,8.01,8.14,7.81,8,136570
2018-02-06,7.96,8.35,7.9,8.29,88571
2018-02-07,8.26,8.35,8.05,8.11,86880
2018-02-08,8.13,8.23,7.94,7.97,124490
2018-02-09,8.03,8.1,7.79,8.01,126904
2018-02-12,8.12,8.22,7.91,8.09,72495
2018-02-13,8.05,8.21,7.97,8.19,58052
2018-02-14,8.1,8.3628,8.03,8.19,52515
2018-02-15,8.3183,8.5,8.13,8.38,55881
2018-02-16,8.33,8.49,8.29,8.32,56363
2018-02-20,8.27,8.39,8.06,8.13,93228
2018-02-21,8.13,8.71,8.13,8.38,107544
2018-02-22,9.58,10.75,8.28,8.98,1103093.0
2018-02-23,9.05,9.6,9.05,9.49,272623
2018-02-26,9.5,10.43,9.39,9.58,515940
2018-02-27,9.61,10.24,9.51,9.55,219611
2018-02-28,9.56,9.71,9.29,9.46,144392
2018-03-01,9.42,9.72,9.28,9.68,151419
2018-03-02,9.58,9.87,9.37,9.8,159592
2018-03-05,9.83,10.25,9.66,9.78,346320
2018-03-06,9.8,10.17,9.79,10.1,168284
2018-03-07,10.02,11.11,10,10.95,207755
2018-03-08,11.02,12.78,11.02,12.1,618517
2018-03-09,12.01,12.07,11.34,11.97,288712
