date,open,high,low,close,volume
2017-07-20,40,40,39.349,39.53,346612
2017-07-21,40.02,40.145,39.42,39.79,266886
2017-07-24,39.71,39.93,39.41,39.71,417942
2017-07-25,39.96,40.9,39.86,40.28,488103
2017-07-26,40.18,40.24,39.7,39.74,409841
2017-07-27,39.48,40.64,39.3,40.62,843144
2017-07-28,43.76,47.54,43.33,47.51,2625031.0
2017-07-31,48.12,48.2199,46.06,46.32,1204791.0
2017-08-01,46.29,46.46,45.53,45.98,1056713.0
2017-08-02,45.87,46.05,45.487,45.93,768051
2017-08-03,45.93,46.17,45.71,45.85,362947
2017-08-04,45.96,46.48,45.5801,46.375,531755
2017-08-07,46.29,46.81,45.94,45.985,448822
2017-08-08,46.09,46.3279,45.6,45.76,369701
2017-08-09,45.3,45.82,44.8,45.64,415592
2017-08-10,45.35,45.68,44.7,44.81,293059
2017-08-11,44.43,45.69,43.89,45.19,385326
2017-08-14,45.5,46.16,45.33,45.64,339315
2017-08-15,45.78,45.78,45.02,45.24,277433
2017-08-16,45.38,45.71,44.99,45,399943
2017-08-17,44.9,44.98,43.39,43.43,512579
2017-08-18,43.11,43.72,42.9,43.53,755707
2017-08-21,43.47,43.74,43.11,43.49,342186
2017-08-22,43.74,44.24,43.335,44.09,303169
2017-08-23,43.87,44.0899,43.37,43.51,482187
2017-08-24,43.95,44.24,43.32,43.7,443519
2017-08-25,43.35,44.39,43.07,44.19,300698
2017-08-28,44.3,45.08,44.3,44.71,399732
2017-08-29,44.11,44.78,43.875,44.37,293183
2017-08-30,44.49,44.95,44.19,44.29,428142
2017-08-31,44.35,44.7,43.69,44.27,474086
2017-09-01,44.35,44.6,44.155,44.5,232192
2017-09-05,44.5,44.86,43.44,43.5,338522
2017-09-06,43.62,43.62,41.72,42,638580
2017-09-07,42.22,42.41,40.89,41.11,615100
2017-09-08,41.11,41.89,41.03,41.87,508096
2017-09-11,42.17,43.155,41.69,41.74,378879
2017-09-12,41.87,42.74,41.87,42.67,475171
2017-09-13,42.72,43.29,42.67,43.17,276295
2017-09-14,43.08,43.44,42.49,42.61,482732
2017-09-15,42.69,43.08,42.59,42.9,1414472.0
2017-09-18,41.7,41.7,38.21,38.41,1701064.0
2017-09-19,38.35,39.45,37.8354,39.35,1160799.0
2017-09-20,39.13,39.64,38.65,39.22,436978
2017-09-21,39.26,39.89,38.76,38.83,400438
2017-09-22,38.9,39.3,38.68,39.02,323439
2017-09-25,38.92,39.65,38.89,39.42,365982
2017-09-26,39.42,40.51,39.32,40.09,461955
2017-09-27,40.24,41.81,40.13,41.4,642040
2017-09-28,41.93,43.57,41.6,43.54,882870
2017-09-29,43.54,44.1,43.05,43.62,781418
2017-10-02,43.63,43.86,43.36,43.81,876323
2017-10-03,43.73,44.19,43.3819,44.19,490459
2017-10-04,44.27,44.7,44.13,44.62,200933
2017-10-05,44.52,45.06,44.19,44.57,504008
2017-10-06,44.36,44.65,44.12,44.38,381458
2017-10-09,44.39,44.425,43.785,43.96,388518
2017-10-10,44.17,44.17,43.35,43.89,307279
2017-10-11,43.95,43.95,42.84,42.96,447071
2017-10-12,42.81,42.81,41.855,42.46,303170
2017-10-13,42.44,42.7,42.06,42.1,216643
2017-10-16,42.14,42.4,41.52,41.53,215626
2017-10-17,41.73,41.91,41.48,41.535,173258
2017-10-18,41.55,41.55,40.92,41.25,426035
2017-10-19,41.13,42.94,40.98,42.47,325888
2017-10-20,42.82,42.86,42.24,42.74,325635
2017-10-23,42.58,42.89,42.02,42.11,459631
2017-10-24,42.19,42.53,41.82,42.39,278890
2017-10-25,42.22,42.57,41.56,42.34,497781
2017-10-26,42.55,43.09,42.11,42.24,532509
2017-10-27,39.88,41.71,37.93,39.14,1904575.0
2017-10-30,38.57,38.57,36.985,37.06,871727
2017-10-31,37.15,37.35,35.54,36.8,1769115.0
2017-11-01,37.17,37.2401,35.57,35.935,909500
2017-11-02,35.84,36.32,35.19,35.8,625149
2017-11-03,35.86,36.92,35.63,36.43,819985
2017-11-06,36.28,36.57,35.57,35.59,1029664.0
2017-11-07,35.72,35.72,34.29,34.44,1149953.0
2017-11-08,35.51,36.09,34.8,35.99,1808305.0
2017-11-09,35.68,35.86,35.23,35.62,982281
2017-11-10,37.6,38.06,36.26,36.59,1215168.0
2017-11-13,36.61,36.6175,35.25,35.53,1005474.0
2017-11-14,35.48,36.23,35.48,35.76,752922
2017-11-15,35.41,35.91,35.16,35.8,847325
2017-11-16,35.81,36.55,35.64,36.5,784232
2017-11-17,36.3,36.68,36.3,36.46,810295
2017-11-20,36.58,36.85,36.06,36.74,1070867.0
2017-11-21,36.5,36.6067,35.91,36.2,826598
2017-11-22,36.03,36.3,35.56,35.6,600582
2017-11-24,35.83,36.02,35.41,35.45,159077
2017-11-27,35.53,36.01,35.34,35.57,710907
2017-11-28,35.74,37.08,35.74,37.01,738726
2017-11-29,38.73,38.99,37.66,38,1102104.0
2017-11-30,38.12,38.5,37.64,37.72,801304
2017-12-01,37.63,39.19,37.63,39.19,1543486.0
2017-12-04,39.75,39.98,37.5,37.65,1107916.0
2017-12-05,37.68,38,37.13,37.51,821533
2017-12-06,37.36,38.25,37.11,37.72,886417
2017-12-07,37.83,38.88,37.83,38.43,1176791.0
2017-12-08,38.53,39.25,38.31,38.98,1088405.0
2017-12-11,38.8,38.8,36.72,37.08,962049
2017-12-12,36.92,37.14,35.99,36.02,1446805.0
2017-12-13,36.11,38.04,35.89,37.54,857272
2017-12-14,37.43,37.8,35.619,36.01,984497
2017-12-15,36.14,37.44,36.14,36.93,1785010.0
2017-12-18,37.38,38.54,37.38,38.28,727085
2017-12-19,38.96,40.97,38.5,40.71,1650494.0
2017-12-20,40.89,40.99,40.14,40.15,1446323.0
2017-12-21,40.16,40.77,39.98,40.55,718076
2017-12-22,40.62,40.62,39.99,40.26,806400
2017-12-26,40.15,40.54,39.98,40.36,544199
2017-12-27,40.61,40.73,40.14,40.6,412425
2017-12-28,40.52,40.52,40.01,40.24,435986
2017-12-29,40.22,40.32,39.82,39.85,501932
2018-01-02,39.81,40.09,39.1,39.47,905063
2018-01-03,39.43,40.39,39.24,39.67,702844
2018-01-04,39.98,40.26,39.3,39.83,555730
2018-01-05,39.85,40.05,39.56,39.94,470183
2018-01-08,39.83,40.81,39.64,40.72,603117
2018-01-09,40.82,40.8977,39.585,39.8,1113692.0
2018-01-10,40.09,40.09,39.08,39.15,921816
2018-01-11,39.16,41.31,39.05,41.12,888284
2018-01-12,41.19,41.57,40.9,41.13,404814
2018-01-16,41.54,42.53,41.09,41.4,613302
2018-01-17,41.48,41.56,40.39,40.4,782889
2018-01-18,40.42,40.76,39.96,40.69,761226
