day,open,high,low,close,volume
2019-07-12 00:00:00-04:00,202.45,204,202.2,203.3,18737608
2019-07-11 00:00:00-04:00,203.31,204.39,201.72,201.75,21428170
2019-07-10 00:00:00-04:00,201.91,203.73,201.56,203.23,19026760
2019-07-09 00:00:00-04:00,199.2,201.51,198.81,201.24,21548493
2019-07-08 00:00:00-04:00,200.81,201.4,198.41,200.02,26556330
2019-07-05 00:00:00-04:00,203.35,205.08,202.9,204.25,18225860
2019-07-03 00:00:00-04:00,203.27,204.44,202.6901,204.41,12547114
2019-07-02 00:00:00-04:00,201.41,203.1323,201.36,202.73,16902983
2019-07-01 00:00:00-04:00,203.17,204.49,200.65,201.55,26905416
2019-06-28 00:00:00-04:00,198.68,199.495,197.05,197.92,31107196
