date,open,high,low,close,volume
2017-07-20,151.5,151.74,150.19,150.34,17255810.0
2017-07-21,149.99,150.44,148.88,150.27,26370896.0
2017-07-24,150.58,152.44,149.9,152.09,21492930.0
2017-07-25,151.8,153.84,151.8,152.94,18874226.0
2017-07-26,153.35,153.93,153.06,153.46,15784429.0
2017-07-27,153.75,153.99,147.3,150.86,32479526.0
2017-07-28,149.89,150.23,149.19,149.5,17211925.0
2017-07-31,149.9,150.33,148.13,148.73,19844734.0
2017-08-01,149.1,150.22,148.41,150.05,35396899.0
2017-08-02,159.52,159.75,156.16,157.343,69969914.0
2017-08-03,157.05,157.21,155.02,155.57,27097400.0
2017-08-04,156.07,157.4,155.69,156.39,20559402.0
2017-08-07,157.06,158.92,156.6701,158.81,21861373.0
2017-08-08,158.6,161.83,158.27,161.02,36208251.0
2017-08-09,159.26,161.27,159.11,161.06,26119774.0
2017-08-10,159.9,160,154.63,155.95,40924497.0
2017-08-11,156.6,158.5728,156.07,157.48,26260004.0
2017-08-14,159.32,160.21,158.75,159.85,22238862.0
2017-08-15,160.66,162.195,160.14,161.6,29480097.0
2017-08-16,161.94,162.51,160.15,160.95,27671591.0
2017-08-17,160.52,160.71,157.84,157.86,27940594.0
2017-08-18,157.86,159.5,156.72,157.49,27444316.0
2017-08-21,157.5,157.89,155.1101,157.21,26369588.0
2017-08-22,158.23,160,158.02,159.78,21603955.0
2017-08-23,159.07,160.47,158.88,159.98,19589880.0
2017-08-24,160.43,160.74,158.55,159.27,19858682.0
2017-08-25,159.65,160.56,159.27,159.86,25479539.0
2017-08-28,160.19,162,159.93,161.47,25966602.0
2017-08-29,160.1,163.12,160,162.91,29948300.0
2017-08-30,163.72,163.89,162.61,163.35,27268148.0
2017-08-31,163.64,164.52,163.48,164,26806075.0
2017-09-01,164.8,164.94,163.63,164.05,16593774.0
2017-09-05,163.75,164.25,160.56,162.08,29532599.0
2017-09-06,162.71,162.99,160.52,161.91,21651339.0
2017-09-07,162.09,162.24,160.36,161.26,21927158.0
2017-09-08,160.86,161.15,158.53,158.63,29056875.0
2017-09-11,160.5,162.05,159.89,161.5,31583869.0
2017-09-12,162.61,163.96,158.77,160.86,71714046.0
2017-09-13,159.87,159.96,157.91,159.65,44998464.0
2017-09-14,158.99,159.4,158.09,158.28,23760749.0
2017-09-15,158.47,160.97,158,159.88,49283308.0
2017-09-18,160.11,160.5,157.995,158.67,28345580.0
2017-09-19,159.51,159.77,158.44,158.73,20810632.0
2017-09-20,157.9,158.26,153.83,156.07,53475574.0
2017-09-21,155.8,155.8,152.75,153.39,37629113.0
2017-09-22,152.02,152.27,150.56,151.89,46673689.0
2017-09-25,149.99,151.83,149.16,150.55,44392946.0
2017-09-26,151.78,153.92,151.69,153.14,37984465.0
2017-09-27,153.8,154.7189,153.54,154.23,25658037.0
2017-09-28,153.91,154.28,152.7,153.28,22005038.0
2017-09-29,153.21,154.13,152,154.12,26296523.0
2017-10-02,154.26,154.45,152.72,153.676,18697759.0
2017-10-03,154.01,155.09,153.91,154.48,16252442.0
2017-10-04,153.63,153.86,152.46,153.48,20219646.0
2017-10-05,154.18,155.44,154.05,155.39,21304448.0
2017-10-06,154.97,155.49,154.56,155.3,17405022.0
2017-10-09,155.81,156.73,155.485,156.196,16370457.0
2017-10-10,156.055,158,155.1,155.9,15616655.0
2017-10-11,155.97,156.98,155.75,156.55,17068312.0
2017-10-12,156.35,157.37,155.7299,156,16668310.0
2017-10-13,156.73,157.28,156.41,156.99,16393080.0
2017-10-16,157.9,160,157.65,159.88,24121010.0
2017-10-17,159.79,160.87,159.23,160.47,18995825.0
2017-10-18,160.42,160.71,159.6,159.76,16371435.0
2017-10-19,156.75,157.08,155.02,155.4545,42583226.0
2017-10-20,156.61,157.75,155.96,156.25,23974046.0
2017-10-23,156.89,157.69,155.5,156.17,22184324.0
2017-10-24,156.29,157.42,156.2,157.1,17755894.0
2017-10-25,156.91,157.55,155.27,156.41,22370876.0
2017-10-26,157.23,157.8295,156.78,157.41,17000599.0
2017-10-27,159.29,163.6,158.7,163.05,44480478.0
2017-10-30,163.89,168.07,163.72,166.72,44862953.0
2017-10-31,167.9,169.6499,166.94,167.69,36093762.0
2017-11-01,169.87,169.94,165.61,166.89,33635185.0
2017-11-02,167.64,168.5,165.28,168.11,41422413.0
2017-11-03,174,174.26,171.12,172.437,59405778.0
2017-11-06,172.35,174.99,171.72,173.489,35025003.0
2017-11-07,173.91,175.25,173.6,174.81,24867238.0
2017-11-08,174.66,176.24,174.33,176.24,24408930.0
2017-11-09,175.11,176.095,173.14,175.88,30484919.0
