date,open,high,low,close,volume
2017-07-20,100.7,104.14,99.81,103.23,943026
2017-07-21,103.37,105.46,103.36,103.37,663662
2017-07-24,105.1,105.2,103.12,103.18,922265
2017-07-25,103.59,105.96,103.47,105.29,784345
2017-07-26,105.73,107.48,105.181,106.61,993314
2017-07-27,108.05,110.54,107.24,110.43,1272655.0
2017-07-28,109.9,111.19,109.2875,110.21,577989
2017-07-31,111.61,112.89,110.5536,112.01,1309723.0
2017-08-01,112,114.1,110.82,114.05,802068
2017-08-02,113.68,114.88,113.46,114.48,1007400.0
2017-08-03,114.27,115.37,110.455,110.53,1214286.0
2017-08-04,111.13,111.85,110.3,111.02,488643
2017-08-07,110.86,111.17,108.2,109.45,879605
2017-08-08,109.51,110.81,108.3,109.39,470159
2017-08-09,109.24,110.28,108.5,109.18,512595
2017-08-10,108.44,108.82,105.26,106.13,1289474.0
2017-08-11,106.09,107.47,105.24,107.34,1079031.0
2017-08-14,107.88,109.79,106.33,109.36,1152941.0
2017-08-15,91.86,93,82.21,87.07,13697277.0
2017-08-16,86.56,92.85,86.5501,91.505,4302839.0
2017-08-17,90.75,95.49,90.18,92.77,2561082.0
2017-08-18,92.84,95,92.13,93.26,1870075.0
2017-08-21,93.93,95.95,93.52,95.19,1046518.0
2017-08-22,95.23,96.75,95.08,95.8,1151546.0
2017-08-23,95.29,95.96,93.1,93.54,936461
2017-08-24,94.18,95.24,92.36,93.07,686875
2017-08-25,93.49,97.84,93,95.8,993414
2017-08-28,95.94,96.31,93.96,94.63,578738
2017-08-29,93.9,95.31,93.1,95.15,1002810.0
2017-08-30,95.12,98.08,95.12,96.81,791619
2017-08-31,97.44,98.61,96.84,97.9,1074527.0
2017-09-01,98.31,99.43,97.65,98.06,626215
2017-09-05,97.71,98.92,96.28,96.76,596362
2017-09-06,96.92,97.7,95.02,95.61,1147617.0
2017-09-07,96,96.33,92.77,93.55,1484983.0
2017-09-08,93.59,95.02,92.48,94.02,1079418.0
2017-09-11,94,95.02,93.37,94.4,871501
2017-09-12,92.31,97.95,91.46,97.26,2286783.0
2017-09-13,97.07,100.32,97.07,100.1,1425982.0
2017-09-14,100.09,100.09,99,100.02,1322733.0
2017-09-15,99.77,99.77,98.26,99.51,1852487.0
2017-09-18,99.66,100.29,98.49,98.58,1565537.0
2017-09-19,99,100.71,94.24,94.85,3099110.0
2017-09-20,94.5,96.1,93.67,94.76,780216
2017-09-21,94.75,94.97,93.19,93.69,732945
2017-09-22,93.9,95.906,93.68,95.58,1122748.0
2017-09-25,95.83,98.55,95.39,97.94,2086444.0
