date,open,high,low,close,volume
2017-07-20,40.47,40.57,40.23,40.32,120028
2017-07-21,40.76,40.76,39.79,40.19,149726
2017-07-24,40.2,40.21,39.79,39.79,130004
2017-07-25,39.78,40.19,39.21,40.09,238594
2017-07-26,40.03,40.36,39.5445,40.11,102912
2017-07-27,40.05,40.78,39.87,40.43,100220
2017-07-28,40.41,40.73,40.03,40.21,92704
2017-07-31,40.18,40.7,39.795,40.59,91049
2017-08-01,40.68,41.08,40.55,40.95,145126
2017-08-02,40.8,40.96,40.17,40.45,162766
2017-08-03,40.44,41.015,40.23,40.31,87895
2017-08-04,40.28,40.66,40.09,40.38,129464
2017-08-07,40.39,40.53,40.16,40.41,171126
2017-08-08,40.19,40.55,39.635,39.92,124621
2017-08-09,39.97,40.395,39.85,40.12,142958
2017-08-10,40.09,40.28,39.99,40.05,153233
2017-08-11,39.63,40.17,39.63,39.77,274995
2017-08-14,40,40.71,40,40.67,121816
2017-08-15,40.62,40.74,40.2,40.51,138649
2017-08-16,40.69,40.88,40.53,40.68,80302
2017-08-17,40.5,40.72,40.21,40.26,123635
2017-08-18,39.86,40.16,39.66,39.85,285421
2017-08-21,39.83,40.65,39.73,40.42,94216
2017-08-22,40.55,40.55,39.86,39.91,94109
2017-08-23,39.83,40.59,39.81,40.16,103321
2017-08-24,40.39,40.92,40.24,40.28,398008
2017-08-25,40.54,40.99,40.37,40.82,138708
2017-08-28,40.86,41.23,40.19,40.35,134224
2017-08-29,40.32,40.658,39.98,40.31,174120
2017-08-30,40.2,40.335,39.89,40.29,105557
2017-08-31,40.34,40.85,40.34,40.62,136932
2017-09-01,40.6,40.88,40.35,40.75,98974
2017-09-05,40.77,41.19,40.47,40.6,173827
2017-09-06,40.66,41.37,40.52,40.61,146688
2017-09-07,40.67,41.02,40.48,40.75,184416
2017-09-08,40.7479,41.0996,40.58,40.72,97752
2017-09-11,40.82,41.18,40.77,40.86,121778
2017-09-12,40.74,41.04,40.15,40.3,126520
2017-09-13,40.12,40.56,40.07,40.51,141048
2017-09-14,40.32,40.78,40.2442,40.67,141203
2017-09-15,40.79,40.79,40.3071,40.58,327167
2017-09-18,40.58,40.7,40.1971,40.39,148396
2017-09-19,40.5,40.5,40.01,40.08,101635
2017-09-20,40.06,40.22,39.72,40.02,116396
2017-09-21,39.98,40.3399,39.94,39.94,116017
2017-09-22,39.99,40.17,39.81,39.81,90930
2017-09-25,39.83,40.4,39.8,40.04,139207
2017-09-26,40.18,40.47,40,40.32,112182
2017-09-27,40.3,40.3,39.24,39.74,179686
2017-09-28,39.76,40.14,39.43,40.08,124616
2017-09-29,40.02,40.139,39.38,39.77,139188
2017-10-02,39.82,40.38,39.66,40.32,115319
2017-10-03,40.35,40.61,40.02,40.59,144334
2017-10-04,40.57,40.63,40.23,40.35,167455
2017-10-05,40.46,40.75,40.07,40.53,119375
2017-10-06,40.32,40.4,39.85,40.26,67022
