date,open,high,low,close,volume
2017-07-20,36,37.3,36,36.72,2915926.0
2017-07-21,36.55,36.8585,36.5055,36.63,1523621.0
2017-07-24,36.59,36.88,36.51,36.68,1086173.0
2017-07-25,37.07,37.38,36.865,37.3,1721955.0
2017-07-26,37.45,37.6001,36.56,36.62,1939612.0
2017-07-27,36.84,37.07,36.085,36.37,1173216.0
2017-07-28,36.17,36.32,35.54,35.64,1624511.0
2017-07-31,35.97,36.43,35.665,36.4,1232800.0
2017-08-01,36.46,36.74,35.91,36.37,1062810.0
2017-08-02,36.27,37.33,36.2,37.28,1806422.0
2017-08-03,37.28,37.6,36.94,37.1,1073940.0
2017-08-04,37.34,37.49,36.74,37.42,1257674.0
2017-08-07,38,38.47,37.61,37.99,3149019.0
2017-08-08,38.5,40.3621,38.36,39.5408,5128547.0
2017-08-09,39.23,39.45,38.4,38.62,2321345.0
2017-08-10,38.12,38.78,37.715,37.79,2028469.0
2017-08-11,37.21,37.91,36.93,37.78,1646148.0
2017-08-14,38.11,38.1584,37.1247,37.19,1155091.0
2017-08-15,37.3,37.98,37.15,37.5,1142320.0
2017-08-16,37.96,39.33,37.9101,39.23,2466719.0
2017-08-17,39,39,37.75,37.79,1652988.0
2017-08-18,37.88,38.21,37.34,37.75,1154434.0
2017-08-21,38.19,38.66,38.05,38.47,1544641.0
2017-08-22,38.74,40.1299,38.74,39.77,2345782.0
2017-08-23,39.56,41.44,39.45,41.06,3074208.0
2017-08-24,40.88,41.55,40.04,41.34,2018794.0
2017-08-25,41.68,41.8,40.84,41.21,1850365.0
2017-08-28,41.43,42.26,41.05,42.17,1831144.0
2017-08-29,41.66,43.18,41.38,43.01,2256704.0
2017-08-30,43.23,44.09,43,43.05,3350806.0
2017-08-31,43.67,44,43.18,43.89,2501919.0
2017-09-01,44.21,45.22,44.13,45.04,2104187.0
2017-09-05,45.08,45.12,43.7,44.42,3411555.0
2017-09-06,44.4,44.5,43.3,44.43,2176463.0
2017-09-07,44.16,44.9,44.0401,44.73,2047800.0
2017-09-08,44.37,44.37,42.24,42.64,4727199.0
2017-09-11,43.2,44.49,43.14,43.6,2534437.0
2017-09-12,44.59,45.2,44.33,45,3003051.0
2017-09-13,44.61,45.07,44.36,44.91,1791760.0
2017-09-14,44.48,45,43.75,44.785,2844368.0
2017-09-15,44.76,45.09,44.22,44.65,4244657.0
2017-09-18,44.8,45.08,44.66,44.91,2078108.0
2017-09-19,45.22,46.44,44.86,46.2,2845583.0
2017-09-20,46.98,47.95,46.53,47.5,4805021.0
2017-09-21,47.09,47.25,45.9701,46.25,2271470.0
2017-09-22,45.31,45.78,44.67,45.39,1844455.0
2017-09-25,45.33,45.7,44.62,45.28,1822059.0
2017-09-26,45.11,45.52,44.72,44.77,2497031.0
2017-09-27,45.28,45.5516,44.48,45.07,1518833.0
2017-09-28,45.07,46.46,44.81,46.08,3666023.0
2017-09-29,46.45,47,45.9,46.62,2515109.0
2017-10-02,46.43,48.03,46.41,47.65,2586750.0
2017-10-03,47.97,48.33,47.44,48.31,2161639.0
2017-10-04,48.27,49.3,47.75,47.91,2371014.0
2017-10-05,48.08,48.7293,47.65,48.25,1885954.0
2017-10-06,47.89,47.89,47.3,47.49,2601740.0
2017-10-09,47.56,47.72,46.58,47,1405826.0
2017-10-10,47.28,47.45,46.58,46.89,2069470.0
2017-10-11,46.72,47,46.21,46.94,1659920.0
2017-10-12,46.95,47.77,46.8,47.52,2074153.0
2017-10-13,48.28,48.6299,47.6,47.71,2366764.0
2017-10-16,48,48.93,47.48,48.2354,2788571.0
2017-10-17,48.65,48.72,47.42,47.75,2553249.0
2017-10-18,47.38,47.84,46.51,47.74,2766025.0
2017-10-19,46.5,47.74,46.01,46.53,3337227.0
2017-10-20,47.13,48.13,47.06,47.93,2355353.0
2017-10-23,48.04,48.56,47.83,47.93,2608710.0
2017-10-24,48.13,50.31,48.06,50.08,4022022.0
2017-10-25,49.73,49.8799,48.51,49.52,3461055.0
2017-10-26,49.52,49.73,48.52,49.15,2339277.0
2017-10-27,47.835,48.25,47.01,47.91,2183373.0
2017-10-30,47.75,48.38,47.37,47.42,1109328.0
2017-10-31,47.15,48.07,46.38,47.78,2721678.0
2017-11-01,48.94,49.27,47.4503,47.7,1814482.0
2017-11-02,47.68,47.7671,47.07,47.46,1109196.0
2017-11-03,47.25,47.43,46.71,47.12,984471
2017-11-06,47.2,47.68,46.53,47.29,1726847.0
2017-11-07,47.11,47.2042,46.54,46.97,2169051.0
2017-11-08,46.73,46.77,45.37,45.89,3348380.0
2017-11-09,44.71,44.71,43.11,43.33,7673891.0
2017-11-10,42.93,44.46,42.75,43.01,4466540.0
2017-11-13,42.7,43.87,42.55,43.13,3168378.0
2017-11-14,42.9,42.9,40.62,41.87,8096889.0
2017-11-15,41.27,42.37,40.73,42.21,4747535.0
2017-11-16,42.68,43.08,42.06,42.3,3351378.0
2017-11-17,42,43.6,42,43.4,3569426.0
2017-11-20,42.29,42.55,41.75,42.21,4846534.0
2017-11-21,42.73,42.73,40.22,41.39,6260349.0
2017-11-22,41.84,42.68,41.775,42.64,3254840.0
2017-11-24,42.8,42.9,42.09,42.21,1306336.0
2017-11-27,42.15,42.42,41.49,42.04,3092037.0
2017-11-28,41.81,43.75,41.2099,43.3,8603930.0
2017-11-29,42.19,42.32,40.8,41.24,4939071.0
2017-11-30,41.5,42.16,41.13,41.51,4579109.0
2017-12-01,41.82,42.3,40.521,41.64,3750007.0
2017-12-04,41.87,42.6,41.5,41.79,2710074.0
2017-12-05,41.37,41.86,40.95,41.18,2855609.0
2017-12-06,40.8,41.49,40.3,41.31,5438472.0
2017-12-07,41.13,41.19,40.27,40.6,3427522.0
2017-12-08,41,41.77,40.9,41.4,3697035.0
2017-12-11,41.54,42.98,41.54,42.24,4053148.0
2017-12-12,42.39,42.88,42.185,42.4,3422627.0
2017-12-13,42.46,42.57,41.715,41.86,4146933.0
2017-12-14,42,42.375,41.96,42.35,3684591.0
2017-12-15,42.8,43.14,42.28,42.61,4537069.0
2017-12-18,42.81,44.69,42.76,44.57,3175286.0
2017-12-19,44.67,46.54,44.66,46.52,6041654.0
2017-12-20,48.2,49.67,47.6287,49.26,7170597.0
2017-12-21,49.285,49.68,48.77,48.99,3056016.0
2017-12-22,49.27,50.04,48.81,49.99,2428617.0
2017-12-26,49.98,50.5,49.21,50.38,2759848.0
2017-12-27,50.55,51.93,50.2,51.84,2978199.0
2017-12-28,52.05,54.2,52.021,54.14,5710988.0
2017-12-29,54,54.61,53.52,53.87,5175077.0
2018-01-02,54.06,55.22,53.91,55.17,2929144.0
2018-01-03,54.92,55.15,52.96,54.5,4100174.0
2018-01-04,54.81,55.43,54.075,54.7,3552797.0
2018-01-05,54.65,54.66,53.41,54.09,3371596.0
2018-01-08,53.96,56.15,53.66,55,5026793.0
2018-01-09,55,55.08,54,54.2,3531275.0
2018-01-10,54.37,56.26,54.23,56.17,5054881.0
2018-01-11,56.6,57.13,55.87,56.91,2743280.0
2018-01-12,57.05,57.5,56.11,56.76,4216639.0
2018-01-16,56.09,57.04,55.46,56.24,3888142.0
2018-01-17,56.03,57.0399,55.58,56.99,8189124.0
2018-01-18,53.67,53.87,51.72,53,19518179.0
2018-01-19,52.86,53.68,52.55,53.1,5740874.0
2018-01-22,52.8,53.9,52.261,52.94,4207649.0
2018-01-23,52.34,52.9,51.73,52.49,4878966.0
2018-01-24,52.9,53.8525,52.39,53.3,2522033.0
2018-01-25,53.74,53.89,52.72,53.11,3763040.0
2018-01-26,53.55,54.4,53.4221,54,2747590.0
2018-01-29,53.89,54.6299,53.52,54.49,4649086.0
2018-01-30,53.67,53.97,52.52,52.52,3655536.0
2018-01-31,52.75,53.36,51.25,52.02,4470579.0
2018-02-01,51.41,52.5,51.27,52.42,3176443.0
2018-02-02,52,52,49,49.09,6059152.0
2018-02-05,48.61,50.75,47.8,48.46,3865213.0
2018-02-06,47.44,50.2,47.3,49.43,3165848.0
2018-02-07,49.23,49.42,47.67,47.7,3169136.0
2018-02-08,47.81,48.24,45.53,45.98,3895822.0
2018-02-09,46.54,47.06,44.15,45.92,4578457.0
2018-02-12,46.05,47.13,45.77,46.65,3482877.0
2018-02-13,46.39,47.98,46.12,47.3,2808251.0
2018-02-14,46.71,48.65,46.52,48.54,2429796.0
2018-02-15,48.99,48.99,46.1901,47.57,5113824.0
2018-02-16,47.5,50.18,46.52,47.36,8389462.0
2018-02-20,46.84,48.7399,46.8,48.07,4589493.0
2018-02-21,48.21,48.95,47.23,47.55,3194991.0
2018-02-22,48.01,48.4,46.83,48.01,4231853.0
2018-02-23,48.06,48.14,46.5841,46.7,3098183.0
2018-02-26,47.42,47.58,46.14,46.68,3562319.0
2018-02-27,46.5,47.17,45.657,46.22,3247920.0
2018-02-28,46.25,46.84,44.94,44.97,2837609.0
2018-03-01,45.93,46.44,44.58,45.07,6499356.0
2018-03-02,44.72,46.18,44.14,45.54,3707834.0
2018-03-05,45.18,46.46,44.85,45.65,4585261.0
2018-03-06,46.19,47.52,46.03,46.99,4428696.0
2018-03-07,46.6,48.26,46.4006,47.88,3654462.0
2018-03-08,47.88,48.73,46.545,47.47,3255769.0
2018-03-09,48.05,48.59,47.23,47.86,2768499.0
2018-03-12,48.01,48.6799,47.91,48.36,1495715.0
2018-03-13,48.43,49.85,48.43,48.59,2746242.0
2018-03-14,49.09,49.43,46.21,46.57,4122056.0
2018-03-15,46.45,47.13,45.71,46.93,2999566.0
2018-03-16,46.8,47.9186,46.74,47.23,3129909.0
2018-03-19,47.03,47.68,45.76,46.36,2506254.0
2018-03-20,46.37,47.06,46.05,46.47,1514893.0
2018-03-21,46.42,48.0615,46.31,47.95,2138438.0
2018-03-22,47.4,48.089,44.86,44.92,4370027.0
2018-03-23,45.17,46,44.6,44.71,3256361.0
2018-03-26,45.26,46.53,44.2698,45.77,5186821.0
2018-03-27,46.25,46.49,44.635,44.9,4204713.0
2018-03-28,44.51,44.92,43.6864,44.42,1661580.0
2018-03-29,44.74,45.6629,44.5,44.96,2278551.0
2018-04-02,44.86,46.12,43.8,44.34,2139953.0
2018-04-03,44.63,45.9,44.63,45.35,2914484.0
2018-04-04,44.4,47.07,44.21,46.92,3667798.0
2018-04-05,47.2,48.73,47.15,47.61,2979408.0
2018-04-06,47.18,48.74,47.1,48.05,4066740.0
2018-04-09,49.78,52.02,49.32,50.62,6809825.0
2018-04-10,51.8,55.18,51.65,54.08,8964150.0
2018-04-11,53.8,54.89,52.65,53.97,5427930.0
2018-04-12,53.7,55.3323,53.17,54.47,5725415.0
2018-04-13,54.95,55.38,54.27,54.96,2685406.0
2018-04-16,55.55,56.5,54.405,55.03,5571733.0
2018-04-17,55.37,57.4875,54.76,57.08,6077075.0
2018-04-18,58.26,60.28,57.25,59.4,8692823.0
2018-04-19,60.54,62.35,59.56,60.23,11776440.0
2018-04-20,59.82,60.14,57.49,60.01,7635490.0
2018-04-23,54.56,54.91,51.5,51.9,13132360.0
2018-04-24,51.47,52.2,49.9,50.82,7258690.0
2018-04-25,50.59,52.43,49.97,51.95,4758677.0
2018-04-26,54.25,55.08,52.4005,52.94,5841754.0
2018-04-27,52.56,52.99,51.1,51.6,4354853.0
2018-04-30,51.4,51.8698,51.05,51.2,2749485.0
2018-05-01,51.04,52.43,50.11,51.99,2526425.0
2018-05-02,52.45,53.5,52.21,53.07,3375112.0
2018-05-03,52.83,53.76,52.6342,53.28,4048406.0
2018-05-04,53.04,54.46,52.65,54.39,2598900.0
2018-05-07,54.8,55.38,54.32,54.55,3891789.0
2018-05-08,54.26,54.65,53.44,53.76,2755716.0
2018-05-09,53.72,54.13,53.18,53.49,3647712.0
2018-05-10,53.4,54.01,53.09,53.79,3322125.0
2018-05-11,53.79,54.25,53.37,53.96,3979346.0
2018-05-14,54.38,54.515,51.92,52.33,4377513.0
2018-05-15,51.79,51.95,50.4,50.54,6214409.0
2018-05-16,50.54,50.675,49.54,50.19,5433142.0
2018-05-17,49.83,51.09,49.83,50.71,2887427.0
2018-05-18,50.53,51.05,50.35,50.83,3011087.0
2018-05-21,51.2,51.2,50.15,50.37,2446751.0
2018-05-22,50.68,50.9,49.6,49.69,3607936.0
2018-05-23,49.26,49.38,48.31,48.57,2276241.0
2018-05-24,48.62,49.44,48.55,49.15,1867385.0
2018-05-25,48.74,48.825,47.66,47.93,3553575.0
2018-05-29,47.57,47.95,46.82,47.3,1973344.0
2018-05-30,48.11,48.66,47.5,48.54,1681366.0
2018-05-31,49.98,50.43,47.81,48.07,4027068.0
2018-06-01,48.39,48.62,47.47,47.64,2442456.0
2018-06-04,48.13,48.82,48.13,48.46,2229606.0
2018-06-05,48.62,49.5,48.42,49.45,2434170.0
2018-06-06,49.89,50.19,49.17,50.13,2873574.0
2018-06-07,50.04,50.12,48.5422,49.19,4036846.0
2018-06-08,49.01,49.49,48.44,48.52,2299026.0
2018-06-11,48.5,50.59,48.18,49.92,4973497.0
2018-06-12,49.98,50.13,49.11,49.29,1562017.0
2018-06-13,49.34,49.49,48.28,48.35,2589551.0
2018-06-14,48.44,48.645,47.64,47.84,2168102.0
2018-06-15,47.4,47.4,45.03,45.34,4962181.0
2018-06-18,45.01,45.87,45,45.78,2835101.0
2018-06-19,44.63,44.63,43.35,44.47,3320235.0
2018-06-20,44.88,45.43,44.33,45.27,2160644.0
2018-06-21,45.01,45.429,44.57,44.81,2251084.0
2018-06-22,45.45,45.78,45.26,45.56,3382471.0
2018-06-25,45.13,45.13,43.59,44.26,2281809.0
2018-06-26,44.51,45.96,44.08,45.8,3918101.0
2018-06-27,45.68,47.05,45.47,45.74,2432646.0
2018-06-28,45.23,46.68,45.0738,46.47,2272882.0
2018-06-29,46.19,47.32,46.0875,46.88,3118956.0
2018-07-02,46.46,47.29,45.49,45.88,2146123.0
2018-07-03,46.34,46.9,45.51,45.8,1251266.0
2018-07-05,46.26,47.5,46.17,46.88,2239717.0
2018-07-06,46.49,47.245,46.02,47.14,2181030.0
2018-07-09,47.94,48.56,47.57,48.29,2368603.0
2018-07-10,48.05,48.87,47.5179,47.89,2235001.0
2018-07-11,46.91,48.3,46.59,48.06,2847394.0
2018-07-12,48.1,48.2873,47.15,47.4,1891268.0
2018-07-13,47.68,47.85,47.02,47.26,1348992.0
2018-07-16,47.54,48.08,46.76,47.41,2713522.0
2018-07-17,47.4,48.29,47.395,48.02,2199177.0
2018-07-18,47.98,48.75,47.32,47.96,3936494.0
2018-07-19,45.75,46.3,41.0249,41.56,19917382.0
2018-07-20,41.53,41.55,40.03,40.32,9847299.0
2018-07-23,40.86,41.82,40.08,41.33,7699728.0
2018-07-24,42.35,43.1,42,42.49,8124038.0
2018-07-25,42.1,43.245,41.645,42.9454,5702938.0
2018-07-26,42.7,43.46,42.05,42.82,3020932.0
2018-07-27,42.86,43.48,42.3633,43.22,3978072.0
2018-07-30,43.38,43.68,42.32,42.58,2700770.0
2018-07-31,42.68,43.61,42.6552,43.27,2552382.0
2018-08-01,43.01,43.01,41.9,42.04,3886793.0
2018-08-02,41.63,42.75,41.46,42.48,2572036.0
2018-08-03,42.54,43.3,42.31,42.72,2101864.0
2018-08-06,42.53,42.98,42.21,42.72,3233456.0
2018-08-07,43.21,43.4,41.9,41.97,2887991.0
2018-08-08,42,44.32,41.945,43.7,6489427.0
2018-08-09,44.27,44.4,42.81,42.99,3058552.0
2018-08-10,42.45,45.17,42.05,44.98,7609436.0
2018-08-13,44.95,44.95,44.01,44.45,4337788.0
2018-08-14,44.36,44.5599,43.76,44.13,3399819.0
2018-08-15,43.18,43.37,40.69,40.88,5392595.0
2018-08-16,41.25,42.24,41.25,41.45,3399116.0
2018-08-17,41.42,42.24,41.09,42.03,2265011.0
2018-08-20,42.57,42.87,41.71,41.83,2731040.0
2018-08-21,41.88,43.22,41.88,43.03,3096088.0
2018-08-22,43.2,43.79,43.12,43.22,2038065.0
2018-08-23,42.5,42.73,41.89,42.02,2813113.0
2018-08-24,42.71,43.53,42.18,43.44,4630615.0
2018-08-27,43.41,44.35,43.41,43.87,2359978.0
2018-08-28,44.49,45.65,44,44.25,3837402.0
2018-08-29,44.12,45.47,44.04,45.13,2554317.0
2018-08-30,44.99,45.17,44.305,44.37,3086553.0
2018-08-31,44.1,45.04,44.04,44.67,2028845.0
2018-09-04,43.88,43.919,43.1,43.36,2045192.0
2018-09-05,43.17,43.2263,41.63,42.87,3340828.0
2018-09-06,42.9,42.93,40.12,40.36,6537396.0
2018-09-07,40.5,41.8223,40.1,41,5305268.0
2018-09-10,42.09,42.69,41.64,42.01,3406390.0
2018-09-11,41.19,41.385,40.5662,40.87,3719071.0
2018-09-12,41.31,42.04,40.32,42.02,4467593.0
2018-09-13,42.51,42.88,41.56,41.77,2609203.0
2018-09-14,41.81,42.91,41.81,42.79,2731563.0
2018-09-17,42.5,43.5,42.5,42.83,3015736.0
2018-09-18,43.49,43.8,42.73,43.12,2708093.0
2018-09-19,43.05,43.12,42.13,42.63,3010345.0
2018-09-20,43.39,43.58,42.38,42.93,4026519.0
2018-09-21,43.36,44,42.92,43.79,4940146.0
2018-09-24,43.01,43.69,41.91,41.96,4054420.0
