date,open,high,low,close,volume
2017-07-20,91.2,92.35,90.62,91.95,741561
2017-07-21,91.82,92.08,91.44,91.82,343536
2017-07-24,91.64,93.66,91.34,93.13,850015
2017-07-25,93.4,95.11,92.6,94.61,780754
2017-07-26,94.27,94.725,93.41,94.2,687904
2017-07-27,93.01,93.67,91.86,92.78,769466
2017-07-28,93,94.17,92.39,93.97,484403
2017-07-31,94.3,94.42,93.25,93.8,530447
2017-08-01,94.11,94.17,92.66,92.98,825290
2017-08-02,91.82,92.08,89.09,91.27,1355567.0
2017-08-03,84.54,85.33,80.51,81.71,4482235.0
2017-08-04,81.71,81.97,79.58,80.83,1659100.0
2017-08-07,80.8,81.02,79.24,80.572,1231859.0
2017-08-08,80.91,82.3399,80.13,80.22,919641
2017-08-09,79.86,79.95,78.6,79.84,1365664.0
2017-08-10,79.43,80.025,78.13,78.88,1433769.0
2017-08-11,78.73,80.31,78.73,80,1255171.0
2017-08-14,80.31,80.53,79.68,80.08,1160336.0
2017-08-15,80.25,80.425,79.78,80.001,1130357.0
2017-08-16,80.29,80.58,79.5307,80.03,976534
2017-08-17,79.68,81.34,79.68,79.94,1033852.0
2017-08-18,79.69,79.89,78.46,78.6,1354068.0
2017-08-21,78.43,78.59,77.9,78.04,916396
2017-08-22,78.24,79.46,78.09,79.23,959184
2017-08-23,78.98,78.98,77.96,78.14,1020700.0
2017-08-24,78.33,78.9,77.87,78.4,609455
2017-08-25,78.39,78.9522,77.97,78.11,586988
2017-08-28,78.38,78.88,77.69,78.66,701882
2017-08-29,78.16,79.08,77.87,78.56,781015
2017-08-30,78.43,78.53,77.79,78.33,813012
2017-08-31,78.65,80.5,78.46,80.21,659232
2017-09-01,80.46,80.61,79.22,80.24,682260
2017-09-05,79.77,80.78,79.05,79.73,650003
2017-09-06,80,80.935,79.84,80.72,793538
2017-09-07,80.82,83.03,80.65,82.565,911707
2017-09-08,82.54,83.94,82.33,82.5,1215234.0
2017-09-11,83.24,84.56,82.89,84.41,721392
2017-09-12,84.19,84.805,83.11,83.9,1104487.0
2017-09-13,83.76,84.344,83.065,84.3,706178
2017-09-14,82.05,82.26,80.445,80.69,2045323.0
2017-09-15,80.47,81.73,80.02,81.59,1191163.0
2017-09-18,81.8,82.02,80.54,80.67,869445
2017-09-19,80.53,81.04,79.13,79.28,879600
2017-09-20,79.47,80.09,78.3399,79.51,681203
2017-09-21,79.49,80.94,79.24,80.39,540095
2017-09-22,80.53,81.2,80.33,81.05,408609
2017-09-25,80.23,81.36,80.14,80.98,454102
2017-09-26,81.41,82.65,81.33,82.02,472588
2017-09-27,82.17,82.8,81.02,82.43,661852
2017-09-28,81.85,81.88,80.27,80.99,705050
2017-09-29,81.82,83.84,81.42,82.75,1014566.0
2017-10-02,82.97,83.63,82.38,83.3,1256224.0
2017-10-03,83.33,83.7287,82.515,82.88,557806
2017-10-04,82.76,84.14,82.56,82.76,1273675.0
2017-10-05,84.16,85.29,83.89,84.13,1184533.0
2017-10-06,84.23,84.5,80.04,80.46,1529569.0
2017-10-09,80.21,80.48,77.87,78.35,1484320.0
2017-10-10,79.49,80.4,79.01,79.48,917886
2017-10-11,79.45,80.5,79.25,80.31,578240
2017-10-12,80.37,81.2984,80.37,80.8,763725
2017-10-13,80.42,81.41,77.79,79.44,1366481.0
2017-10-16,79.02,81.04,78.4,79.01,1396301.0
2017-10-17,78.89,80.52,78.4,79.95,625377
2017-10-18,80.13,81.66,80.13,80.48,1031753.0
2017-10-19,80.82,82.55,80.735,82.2,849056
2017-10-20,82.57,83.77,82.4,83.19,697157
2017-10-23,83.17,83.4299,81.7658,82.52,602456
2017-10-24,82.69,82.98,80.64,81.85,559479
2017-10-25,82,82.52,81.41,82.22,754435
2017-10-26,84,85.8,77.47,78.77,2908599.0
2017-10-27,78.59,78.76,75.66,76.39,2676714.0
2017-10-30,76.01,77.78,76.01,76.93,1170907.0
2017-10-31,76.85,78.99,75.46,76.95,3133025.0
2017-11-01,77.48,77.495,76.31,76.63,1229640.0
2017-11-02,77.02,79.5,71.9,73.24,2209030.0
2017-11-03,73.43,75.3,73.32,74.8,1559388.0
2017-11-06,74.8,75.2,73.19,74.86,3496859.0
2017-11-07,74.92,75.73,74.56,74.91,1777557.0
2017-11-08,74.87,75.41,73.27,75.01,1721169.0
2017-11-09,75.07,76.63,74.9,75.27,2577049.0
2017-11-10,75.05,76.68,74.05,75,3005851.0
2017-11-13,74.69,77,74.31,75.4,2892764.0
2017-11-14,75.1,75.48,74.45,75.4,1863539.0
2017-11-15,75.32,77.66,74.6,77.53,2741070.0
2017-11-16,77.72,80.71,77.41,80.31,2986811.0
2017-11-17,79.65,80.03,77.58,78.84,2196781.0
2017-11-20,78.3,78.76,76.48,77.46,1688777.0
2017-11-21,77.83,79.57,77.5677,79.46,1599458.0
2017-11-22,79.98,81.99,79.58,81.4,1927145.0
2017-11-24,81.9,81.98,80.22,81.23,701885
2017-11-27,81.07,81.78,80.65,81.12,1181200.0
2017-11-28,81.4,83.185,80.65,83.15,1549790.0
2017-11-29,83.56,85.63,83.045,84.66,2380895.0
2017-11-30,85,86.1,83.89,84.82,1808567.0
2017-12-01,83.98,85.25,81.2076,84.95,3188305.0
2017-12-04,85.73,88.2,85.44,87.42,2132684.0
2017-12-05,87.49,87.56,85.07,85.89,1906240.0
2017-12-06,86.2,86.79,85.37,85.99,1524973.0
2017-12-07,86.27,86.84,85.43,85.93,1764004.0
2017-12-08,86.06,86.83,85.01,86.7,1734337.0
2017-12-11,87.05,87.5,86.29,86.77,1345875.0
2017-12-12,87.37,87.87,86.79,87.82,1402478.0
2017-12-13,87.54,89.24,87.36,88.48,1391635.0
2017-12-14,88.35,90.8,88.205,89.31,3020552.0
2017-12-15,90.97,94.06,90.78,93.17,4164576.0
2017-12-18,92.84,92.95,91.755,92.4,1880738.0
2017-12-19,92.67,94.44,92.33,93.79,2013713.0
2017-12-20,93.67,94.24,92.96,93.74,1442514.0
2017-12-21,93.75,94.16,92.445,92.99,1405533.0
2017-12-22,93.41,93.41,91.5,92.46,1332406.0
2017-12-26,92.48,93.88,91.91,93.25,734472
2017-12-27,93.18,93.2,92.001,92.6,734999
2017-12-28,92.88,92.93,91.745,92.59,1152594.0
2017-12-29,92.89,93.6,91.755,91.82,777986
2018-01-02,92.15,94.07,92.12,94.04,1138302.0
2018-01-03,93.4,94.73,92.47,94.39,1035724.0
2018-01-04,94.64,94.83,92.86,94.18,1781397.0
2018-01-05,93.77,95.63,93.77,95.32,1342994.0
