date,open,high,low,close,volume
2018-10-23,7.51,8.63,7.01,7.7,39896326.0
2018-10-24,8.22,8.23,7.15,7.27,27675305.0
2018-10-25,7.08,7.69,7,7.49,21348784.0
2018-10-26,7.16,7.52,6.85,7.04,13482701.0
2018-10-29,7.09,7.17,5.75,5.91,27512028.0
2018-10-30,5.56,6.26,5.39,6.09,20408466.0
2018-10-31,6.39,6.84,6.19,6.8,20601885.0
2018-11-01,6.94,7.1,6.6,6.73,16904792.0
2018-11-02,6.8,7.02,6.67,7.02,12111600.0
2018-11-05,7.18,7.35,6.85,7.35,12628981.0
2018-11-06,7.34,7.68,7.11,7.4,17264922.0
2018-11-07,7.7,8.12,7.3,8.08,29624966.0
2018-11-08,7.89,7.92,7.5,7.56,17339248.0
2018-11-09,7.27,7.42,7,7.29,14485486.0
2018-11-12,7.49,7.69,6.62,6.96,24962591.0
2018-11-13,6.78,6.97,6.6,6.7,12274235.0
2018-11-14,6.4,6.46,6,6.16,19573575.0
2018-11-15,6.04,6.78,5.98,6.64,14072816.0
2018-11-16,6.56,6.68,6.3,6.4,8468007.0
2018-11-19,6.23,6.26,6.06,6.09,9546266.0
2018-11-20,5.682,6.3,5.62,6.03,17291166.0
2018-11-21,6.21,6.37,6.15,6.25,8051755.0
2018-11-23,6.08,6.11,5.97,6.07,5544081.0
2018-11-26,6.16,6.17,5.65,5.68,14169462.0
2018-11-27,5.73,5.8,5.31,5.5,14731848.0
2018-11-28,5.54,5.97,5.5,5.96,13290711.0
2018-11-29,5.92,5.94,5.62,5.66,9767331.0
2018-11-30,5.7,5.74,5.52,5.72,6529432.0
2018-12-03,5.95,5.97,5.4,5.69,20456297.0
2018-12-04,5.63,5.66,5.35,5.4,13066485.0
2018-12-06,4.79,5.365,4.6947,5.28,19970354.0
2018-12-07,5.84,5.88,5.54,5.75,22267710.0
2018-12-10,5.9,5.92,5.49,5.73,11875900.0
2018-12-11,5.8,6.02,5.75,5.93,15944897.0
2018-12-12,6.04,6.23,5.95,6.12,13422111.0
2018-12-13,6.18,6.2,5.55,5.71,14300818.0
2018-12-14,5.51,5.96,5.33,5.86,11470402.0
2018-12-17,5.76,6.01,5.48,5.54,10545759.0
2018-12-18,5.62,5.72,5.44,5.53,9976345.0
2018-12-19,5.51,5.6,5.28,5.29,8598251.0
2018-12-20,5.25,5.4,4.9,5.1,12442770.0
2018-12-21,5.16,5.16,4.78,4.88,11138028.0
2018-12-24,4.67,5.09,4.58,5,7874363.0
2018-12-26,5.13,5.14,4.86,5.08,6694494.0
2018-12-27,4.98,5.12,4.79,5.1,10394756.0
2018-12-28,5.08,5.3,4.9,5.23,11608387.0
2018-12-31,5.26,5.2809,4.94,4.96,10376583.0
2019-01-02,4.89,5.28,4.83,5.24,8928728.0
2019-01-03,5.18,5.29,5.08,5.14,6249292.0
2019-01-04,5.21,5.35,5.1415,5.22,8379633.0
2019-01-07,5.3,5.35,5.21,5.26,6258805.0
2019-01-08,5.32,5.35,5,5.03,13903217.0
2019-01-09,5.07,5.54,5.04,5.45,16451914.0
2019-01-10,5.48,6,5.33,5.94,26166899.0
2019-01-11,5.9,6.61,5.78,6.38,32337168.0
2019-01-14,6.59,6.84,6.41,6.78,32239759.0
2019-01-15,6.97,7.52,6.83,7,50056503.0
2019-01-16,7.12,7.41,7.02,7.33,27558167.0
