day,open,high,low,close,volume
1997-02-18,0.084,0.089,0.084,0.084,438000
1997-02-19,0.094,0.094,0.094,0.094,1200
1997-02-20,0.084,0.084,0.084,0.084,36000
1997-02-24,0.068,0.068,0.068,0.068,30000
1997-02-25,0.094,0.094,0.078,0.094,132000
1997-02-27,0.073,0.073,0.058,0.073,21600
1997-02-28,0.089,0.089,0.089,0.089,24000
1997-03-03,0.084,0.084,0.063,0.084,64800
1997-03-04,0.052,0.052,0.052,0.052,30000
1997-03-05,0.052,0.052,0.052,0.052,30000
1997-03-06,0.052,0.073,0.052,0.052,80400
1997-03-11,0.073,0.073,0.052,0.073,43200
1997-03-12,0.052,0.052,0.052,0.052,30000
1997-03-13,0.073,0.073,0.073,0.073,1200
1997-03-14,0.068,0.068,0.068,0.068,14400
1997-03-18,0.073,0.073,0.073,0.073,12000
1997-03-21,0.06,0.063,0.042,0.06,182400
1997-03-25,0.065,0.068,0.06,0.065,168000
1997-03-26,0.115,0.146,0.06,0.115,597600
1997-03-27,0.229,0.229,0.136,0.229,1464002
1997-03-31,0.219,0.24,0.188,0.219,282000
1997-05-15,2.438,2.5,1.928,1.959,68559668
1997-05-16,1.865,1.979,1.709,1.729,14612414
1997-05-19,1.709,1.771,1.625,1.709,6106806
1997-05-20,1.729,1.75,1.636,1.636,5467206
1997-05-21,1.604,1.646,1.375,1.428,18853218
1997-05-22,1.438,1.449,1.313,1.396,11776812
1997-05-23,1.407,1.521,1.334,1.5,15937216
1997-05-27,1.479,1.646,1.459,1.584,8697608
1997-05-28,1.609,1.636,1.532,1.532,4574404
1997-05-29,1.542,1.542,1.479,1.505,3472804
1997-05-30,1.5,1.511,1.479,1.5,2594402
1997-06-02,1.511,1.532,1.5,1.511,591600
1997-06-03,1.532,1.532,1.479,1.479,1183202
1997-06-04,1.479,1.49,1.396,1.417,3080404
1997-06-05,1.417,1.542,1.375,1.542,5672406
1997-06-06,1.511,1.709,1.511,1.657,7807208
1997-06-09,1.688,1.709,1.657,1.688,2352002
1997-06-10,1.709,1.709,1.532,1.584,5458806
1997-06-11,1.594,1.604,1.532,1.542,1188002
1997-06-12,1.584,1.646,1.553,1.604,1632002
1997-06-13,1.625,1.625,1.584,1.584,693600
1997-06-16,1.584,1.604,1.563,1.574,913200
1997-06-17,1.579,1.599,1.495,1.505,4706404
1997-06-18,1.521,1.537,1.5,1.511,2464802
1997-06-19,1.511,1.532,1.5,1.511,1003202
1997-06-20,1.532,1.553,1.5,1.526,3387604
