date,open,high,low,close,volume
2017-07-20,61.45,61.55,60.81,60.98,1310331.0
2017-07-21,60.83,61.6,60.76,60.83,819865
2017-07-24,61.38,61.58,61.25,61.53,454381
2017-07-25,61.57,61.66,60.38,60.54,1120151.0
2017-07-26,60.58,60.81,59.39,59.74,1427039.0
2017-07-27,59.82,60.24,59.6,59.91,963480
2017-07-28,59.91,60.23,59.61,60.08,728659
2017-07-31,60.32,60.62,59.76,59.79,655030
2017-08-01,60.04,60.2899,59.805,59.94,844986
2017-08-02,60,60.33,59.52,60.195,654132
2017-08-03,60.15,60.44,59.97,60.37,614773
2017-08-04,60.52,60.74,60.01,60.12,386581
2017-08-07,60.16,60.89,60.005,60.86,471396
2017-08-08,60.67,60.98,60.08,60.15,625048
2017-08-09,60.07,60.23,59.38,59.68,1254552.0
2017-08-10,59.35,59.49,58.22,58.57,1465310.0
2017-08-11,58.69,59.7,58.69,59.34,873463
2017-08-14,59.8,60.04,59.55,59.63,1369639.0
2017-08-15,59.7,59.88,59.11,59.385,1621529.0
2017-08-16,62.15,62.42,60.76,62.14,3391463.0
2017-08-17,62,62.07,60.78,60.85,1954326.0
2017-08-18,60.76,61.72,60.28,61.25,1345855.0
2017-08-21,61.09,62,60.96,61.74,802854
2017-08-22,61.87,63.02,61.85,62.93,975710
2017-08-23,62.72,63.365,62.6,62.76,712434
2017-08-24,62.87,63.15,62.35,62.68,989902
2017-08-25,63.06,63.14,62.67,62.9,943610
2017-08-28,63.1,63.57,62.97,63.46,684936
2017-08-29,63.04,63.63,63.021,63.49,727151
2017-08-30,63.4,63.93,63.39,63.9,725768
2017-08-31,64,64.83,63.9,64.72,1306023.0
2017-09-01,64.9,65.18,64.21,64.36,667284
2017-09-05,64.02,64.48,63.81,64.29,583792
2017-09-06,64.56,64.81,64.05,64.71,617169
2017-09-07,64.85,65.245,64.49,65.14,605725
2017-09-08,65.15,65.68,64.83,65.03,926073
2017-09-11,65.5,66.27,65.38,66.1,954089
2017-09-12,66.27,66.42,65.89,66.14,688603
2017-09-13,65.91,66.22,65.41,65.44,1139358.0
2017-09-14,65.31,65.87,65.16,65.68,1017383.0
2017-09-15,65.68,66.13,65.62,65.96,1720133.0
2017-09-18,66.09,66.3,65.7,66.08,1206192.0
2017-09-19,66.25,66.45,66,66.16,616326
2017-09-20,66.31,66.36,65.77,66.07,663423
2017-09-21,65.88,66.14,65.63,65.92,605561
2017-09-22,65.85,66.27,65.71,65.78,993536
2017-09-25,65.8,65.9,64.44,64.73,1149174.0
2017-09-26,64.65,64.9,63.91,64.14,912419
2017-09-27,64.27,64.66,64.06,64.395,713432
2017-09-28,64.25,64.62,63.97,63.98,803819
2017-09-29,64,64.275,63.72,64.2,876415
2017-10-02,64.29,65.07,64.21,64.87,917722
2017-10-03,65.06,65.78,65.06,65.16,669873
2017-10-04,65.15,65.87,65.15,65.82,375721
2017-10-05,65.85,65.99,65.52,65.71,1081605.0
