day,open,high,low,close,volume
1992-06-05,0.141,0.145,0.131,0.133,620608000
1992-06-08,0.137,0.137,0.129,0.129,104166400
1992-06-09,0.133,0.135,0.129,0.131,66252800
1992-06-10,0.129,0.131,0.125,0.125,37657600
1992-06-11,0.125,0.127,0.124,0.125,39795200
1992-06-12,0.124,0.127,0.124,0.127,19148800
1992-06-15,0.124,0.127,0.124,0.125,15552000
1992-06-16,0.127,0.127,0.124,0.124,10214400
1992-06-17,0.124,0.127,0.11,0.112,136985600
1992-06-18,0.112,0.114,0.11,0.11,45708800
1992-06-19,0.11,0.12,0.11,0.116,10022400
1992-06-22,0.118,0.122,0.118,0.12,17932800
1992-06-23,0.122,0.125,0.118,0.125,28134400
1992-06-24,0.124,0.125,0.114,0.12,36019200
1992-06-25,0.122,0.124,0.118,0.124,8192000
1992-06-26,0.125,0.125,0.122,0.124,4544000
1992-06-29,0.125,0.131,0.125,0.129,13798400
1992-06-30,0.133,0.137,0.129,0.133,24230400
1992-07-01,0.133,0.133,0.129,0.129,9728000
1992-07-02,0.129,0.132,0.125,0.126,8435200
1992-07-06,0.125,0.125,0.12,0.12,10905600
1992-07-07,0.12,0.125,0.12,0.125,7987200
1992-07-08,0.122,0.125,0.119,0.12,21491200
1992-07-09,0.124,0.131,0.122,0.131,16192000
1992-07-10,0.131,0.131,0.127,0.131,5440000
1992-07-13,0.131,0.131,0.127,0.131,2675200
1992-07-14,0.127,0.137,0.127,0.137,24256000
1992-07-15,0.137,0.137,0.133,0.133,7001600
1992-07-16,0.133,0.135,0.129,0.129,2956800
1992-07-17,0.129,0.133,0.125,0.131,4736000
1992-07-20,0.127,0.131,0.127,0.129,3097600
1992-07-21,0.131,0.131,0.127,0.127,2150400
1992-07-22,0.131,0.131,0.127,0.131,6720000
1992-07-23,0.131,0.139,0.127,0.133,17024000
1992-07-24,0.137,0.139,0.133,0.139,11494400
1992-07-27,0.139,0.139,0.133,0.136,4057600
1992-07-28,0.133,0.139,0.133,0.137,20672000
1992-07-29,0.139,0.139,0.134,0.137,5760000
1992-07-30,0.139,0.147,0.135,0.145,59059200
1992-07-31,0.145,0.161,0.145,0.153,85171200
1992-08-03,0.157,0.157,0.147,0.151,24204800
1992-08-04,0.151,0.153,0.147,0.151,11264000
1992-08-05,0.151,0.155,0.151,0.151,5004800
1992-08-06,0.149,0.153,0.149,0.149,3340800
1992-08-07,0.153,0.155,0.149,0.151,5056000
1992-08-10,0.151,0.155,0.151,0.152,1536000
1992-08-11,0.155,0.155,0.151,0.155,24499200
1992-08-12,0.159,0.159,0.155,0.158,42828800
1992-08-13,0.163,0.163,0.155,0.155,8358400
1992-08-14,0.155,0.159,0.155,0.159,21376000
1992-08-17,0.161,0.161,0.157,0.159,11481600
1992-08-18,0.161,0.163,0.157,0.163,15590400
1992-08-19,0.163,0.174,0.161,0.167,28454400
1992-08-20,0.17,0.17,0.165,0.168,42969600
1992-08-21,0.17,0.17,0.162,0.167,80332800
1992-08-24,0.167,0.167,0.157,0.161,5939200
1992-08-25,0.161,0.161,0.155,0.157,22144000
1992-08-26,0.157,0.165,0.155,0.163,24012800
1992-08-27,0.161,0.167,0.161,0.167,2150400
1992-08-28,0.163,0.167,0.163,0.167,4556800
1992-08-31,0.165,0.167,0.163,0.163,1369600
1992-09-01,0.167,0.167,0.163,0.167,8499200
1992-09-02,0.167,0.187,0.163,0.178,31846400
1992-09-03,0.176,0.182,0.176,0.178,10547200
1992-09-04,0.182,0.182,0.176,0.18,5196800
1992-09-08,0.18,0.182,0.176,0.176,8371200
1992-09-09,0.176,0.18,0.174,0.178,5363200
1992-09-10,0.178,0.184,0.178,0.182,5849600
1992-09-11,0.184,0.192,0.182,0.188,12736000
1992-09-14,0.188,0.19,0.184,0.19,10022400
1992-09-15,0.19,0.19,0.184,0.184,12812800
1992-09-16,0.188,0.192,0.184,0.188,6604800
1992-09-17,0.192,0.198,0.188,0.194,16678400
1992-09-18,0.192,0.196,0.192,0.192,23884800
1992-09-21,0.196,0.196,0.19,0.19,11840000
1992-09-22,0.19,0.196,0.167,0.172,30694400
1992-09-23,0.172,0.184,0.168,0.184,16320000
1992-09-24,0.184,0.194,0.18,0.19,20480000
1992-09-25,0.18,0.18,0.174,0.18,25190400
1992-09-28,0.174,0.184,0.174,0.184,5619200
1992-09-29,0.182,0.183,0.182,0.183,1446400
1992-09-30,0.184,0.184,0.18,0.184,2201600
1992-10-01,0.18,0.19,0.18,0.186,21593600
1992-10-02,0.19,0.19,0.18,0.18,5811200
1992-10-05,0.18,0.182,0.167,0.174,10867200
1992-10-06,0.174,0.174,0.17,0.172,5568000
1992-10-07,0.17,0.174,0.17,0.173,5414400
1992-10-08,0.174,0.184,0.174,0.182,13004800
1992-10-09,0.18,0.188,0.18,0.188,7360000
1992-10-12,0.186,0.186,0.18,0.182,4889600
1992-10-13,0.18,0.186,0.18,0.18,4928000
1992-10-14,0.18,0.188,0.18,0.188,7411200
1992-10-15,0.184,0.188,0.184,0.188,7692800
1992-10-16,0.184,0.188,0.184,0.188,1779200
1992-10-19,0.184,0.196,0.184,0.196,17408000
1992-10-20,0.198,0.202,0.196,0.196,5478400
1992-10-21,0.196,0.206,0.196,0.202,11097600
1992-10-22,0.208,0.208,0.202,0.202,14361600
1992-10-23,0.202,0.208,0.202,0.208,8128000
1992-10-26,0.208,0.208,0.2,0.206,3302400
1992-10-27,0.2,0.206,0.2,0.2,3302464
1992-10-28,0.206,0.206,0.202,0.202,14361600
1992-10-29,0.208,0.208,0.2,0.2,5568000
1992-10-30,0.198,0.202,0.198,0.202,2688000
