day,open,high,low,close,volume
1985-04-19,0.503,0.507,0.503,0.503,352313536
1985-04-22,0.503,0.503,0.503,0.503,84651006
1985-04-23,0.503,0.503,0.493,0.493,154286791
1985-04-24,0.493,0.498,0.493,0.493,64630720
1985-04-25,0.475,0.475,0.471,0.471,173436633
1985-04-26,0.471,0.471,0.461,0.461,75511306
1985-04-29,0.456,0.456,0.447,0.447,68330114
1985-04-30,0.447,0.461,0.447,0.447,78557877
1985-05-01,0.433,0.433,0.424,0.424,137748291
1985-05-02,0.424,0.429,0.419,0.419,51356386
1985-05-03,0.433,0.447,0.433,0.433,48527436
1985-05-06,0.443,0.456,0.443,0.443,9139699
1985-05-07,0.447,0.461,0.447,0.447,58755199
1985-05-08,0.447,0.461,0.447,0.447,12839094
1985-05-09,0.471,0.493,0.471,0.471,47004156
1985-05-10,0.484,0.493,0.484,0.484,74423243
1985-05-13,0.489,0.498,0.489,0.489,40040572
1985-05-14,0.489,0.498,0.489,0.489,18279399
1985-05-15,0.489,0.493,0.489,0.489,47004156
1985-05-16,0.503,0.517,0.503,0.503,93573085
1985-05-17,0.54,0.545,0.54,0.54,93573085
1985-05-20,0.54,0.54,0.531,0.531,55055792
1985-05-21,0.531,0.531,0.507,0.507,54402957
1985-05-22,0.517,0.54,0.517,0.517,87044728
1985-05-23,0.517,0.531,0.507,0.507,85303841
1985-05-24,0.507,0.531,0.507,0.507,33076999
1985-05-28,0.517,0.531,0.517,0.517,24154908
1985-05-29,0.517,0.531,0.517,0.517,22196401
1985-05-30,0.517,0.54,0.517,0.517,44828042
1985-05-31,0.54,0.545,0.54,0.54,42434307
1985-06-03,0.545,0.568,0.545,0.545,44828042
1985-06-04,0.545,0.568,0.545,0.545,54402957
1985-06-05,0.545,0.568,0.545,0.545,29812821
1985-06-06,0.554,0.587,0.554,0.554,52662058
1985-06-07,0.568,0.587,0.568,0.568,22414021
1985-06-10,0.568,0.587,0.568,0.568,20455514
1985-06-11,0.573,0.591,0.573,0.573,72682356
1985-06-12,0.573,0.577,0.568,0.568,49397891
1985-06-13,0.545,0.545,0.517,0.517,47656992
1985-06-14,0.531,0.545,0.531,0.531,4787458
1985-06-17,0.531,0.545,0.517,0.517,31988936
1985-06-18,0.517,0.545,0.517,0.517,23502072
1985-06-19,0.517,0.545,0.517,0.517,12839094
1985-06-20,0.517,0.54,0.517,0.517,41128635
1985-06-21,0.503,0.503,0.484,0.484,54838185
1985-06-24,0.484,0.503,0.471,0.471,15015220
1985-06-25,0.503,0.517,0.503,0.503,48527436
1985-06-26,0.503,0.507,0.493,0.493,30248049
1985-06-27,0.493,0.503,0.484,0.484,18061779
1985-06-28,0.484,0.493,0.471,0.471,30900885
1985-07-01,0.471,0.484,0.471,0.471,21761185
1985-07-02,0.471,0.484,0.471,0.471,26766251
1985-07-03,0.484,0.493,0.484,0.484,52662058
1985-07-05,0.484,0.493,0.484,0.484,15015220
1985-07-08,0.493,0.503,0.493,0.493,36123570
1985-07-09,0.493,0.503,0.493,0.493,47874600
1985-07-10,0.493,0.503,0.484,0.484,10880587
1985-07-11,0.531,0.545,0.531,0.531,82039663
1985-07-12,0.545,0.568,0.545,0.545,68330114
1985-07-15,0.545,0.554,0.54,0.54,24154908
1985-07-16,0.568,0.587,0.568,0.568,134048885
1985-07-17,0.587,0.591,0.587,0.587,89873691
1985-07-18,0.577,0.577,0.568,0.568,141882913
1985-07-19,0.568,0.568,0.545,0.545,27854314
1985-07-22,0.545,0.554,0.545,0.545,71811900
1985-07-23,0.545,0.554,0.54,0.54,51356386
1985-07-24,0.54,0.554,0.54,0.54,27854314
1985-07-25,0.54,0.554,0.54,0.54,17626563
1985-07-26,0.54,0.554,0.54,0.54,3481786
1985-07-29,0.54,0.554,0.54,0.54,9792535
1985-07-30,0.54,0.554,0.54,0.54,48309828
1985-07-31,0.545,0.577,0.545,0.545,23719692
1985-08-01,0.554,0.568,0.554,0.554,8051636
1985-08-02,0.554,0.568,0.554,0.554,6093129
1985-08-05,0.554,0.568,0.545,0.545,7181192
1985-08-06,0.545,0.554,0.54,0.54,20673122
1985-08-07,0.54,0.554,0.531,0.531,22849237
1985-08-08,0.54,0.545,0.54,0.54,15885664
1985-08-09,0.545,0.554,0.545,0.545,29812821
1985-08-12,0.545,0.554,0.545,0.545,7834028
1985-08-13,0.545,0.554,0.545,0.545,14362385
1985-08-14,0.568,0.577,0.568,0.568,22196401
1985-08-15,0.577,0.587,0.577,0.577,28289542
1985-08-16,0.577,0.577,0.554,0.554,28942378
1985-08-19,0.554,0.577,0.554,0.554,15232828
1985-08-20,0.568,0.587,0.568,0.568,25242971
1985-08-21,0.568,0.587,0.568,0.568,21108349
1985-08-22,0.568,0.577,0.568,0.568,41128635
1985-08-23,0.568,0.577,0.568,0.568,16973728
1985-08-26,0.568,0.577,0.568,0.568,3046570
1985-08-27,0.587,0.591,0.587,0.587,47874600
1985-08-28,0.624,0.652,0.624,0.624,72029520
1985-08-29,0.628,0.652,0.628,0.628,49397891
1985-08-30,0.637,0.67,0.637,0.637,53750121
1985-09-03,0.67,0.675,0.67,0.67,58755199
1985-09-04,0.656,0.656,0.637,0.637,101624721
1985-09-05,0.652,0.67,0.652,0.652,25242971
1985-09-06,0.661,0.675,0.661,0.661,52444450
1985-09-09,0.67,0.684,0.67,0.67,32641772
1985-09-10,0.67,0.675,0.661,0.661,24372528
1985-09-11,0.661,0.67,0.652,0.652,48309828
1985-09-12,0.652,0.661,0.652,0.652,30900885
1985-09-13,0.652,0.652,0.624,0.624,48309828
1985-09-16,0.624,0.628,0.615,0.615,25242971
1985-09-17,0.615,0.628,0.615,0.615,18714615
1985-09-18,0.615,0.628,0.615,0.615,10227751
1985-09-19,0.615,0.628,0.615,0.615,27201478
1985-09-20,0.615,0.628,0.615,0.615,20020286
1985-09-23,0.624,0.637,0.624,0.624,21761185
1985-09-24,0.624,0.637,0.624,0.624,20455514
1985-09-25,0.624,0.637,0.624,0.624,29595213
1985-09-26,0.624,0.637,0.624,0.624,12621486
1985-09-30,0.637,0.661,0.637,0.637,42434307
1985-10-01,0.637,0.661,0.637,0.637,46351321
1985-10-02,0.637,0.652,0.637,0.637,11533422
1985-10-03,0.637,0.652,0.637,0.637,8051636
1985-10-04,0.637,0.652,0.628,0.628,13274321
1985-10-07,0.628,0.652,0.628,0.628,21108349
1985-10-08,0.637,0.652,0.637,0.637,14362385
1985-10-09,0.652,0.67,0.652,0.652,37429229
1985-10-10,0.652,0.67,0.652,0.652,1305671
1985-10-11,0.698,0.721,0.698,0.698,106412191
1985-10-14,0.707,0.721,0.707,0.707,28942378
1985-10-15,0.712,0.745,0.712,0.712,66371607
1985-10-16,0.721,0.754,0.721,0.721,70071013
1985-10-17,0.754,0.754,0.754,0.754,39387736
1985-10-18,0.754,0.759,0.745,0.745,72682356
1985-10-21,0.745,0.745,0.721,0.721,67024442
1985-10-22,0.735,0.745,0.735,0.735,49615499
1985-10-23,0.735,0.735,0.735,0.735,24154908
1985-10-24,0.735,0.735,0.721,0.721,30248049
1985-10-25,0.721,0.735,0.712,0.712,19802678
1985-10-28,0.721,0.735,0.721,0.721,18279399
1985-10-29,0.721,0.726,0.721,0.721,17626563
1985-10-30,0.721,0.726,0.721,0.721,30900885
1985-10-31,0.745,0.745,0.745,0.745,27854314
1985-11-01,0.754,0.768,0.754,0.754,41563863
1985-11-04,0.759,0.768,0.759,0.759,36341178
1985-11-05,0.829,0.829,0.829,0.829,64195492
1985-11-06,0.819,0.819,0.796,0.796,46568929
1985-11-07,0.842,0.842,0.842,0.842,53097285
1985-11-08,0.851,0.851,0.851,0.851,78557877
1985-11-11,0.842,0.842,0.842,0.842,26548643
1985-11-12,0.842,0.851,0.842,0.842,44175206
1985-11-13,0.842,0.866,0.842,0.842,75076078
1985-11-14,0.912,0.921,0.912,0.912,67024442
1985-11-15,0.912,0.912,0.879,0.879,53314893
1985-11-18,0.903,0.903,0.903,0.903,29595213
1985-11-19,0.903,0.903,0.879,0.879,36123570
1985-11-20,0.879,0.903,0.879,0.879,54402957
1985-11-21,0.879,0.889,0.879,0.879,23719692
1985-11-22,0.879,0.903,0.879,0.903,25460579
1985-11-25,0.903,0.903,0.879,0.889,60931314
1985-11-26,0.889,0.903,0.879,0.889,28942378
1985-11-27,0.889,0.903,0.879,0.879,17408943
1985-11-29,0.879,0.921,0.879,0.903,19367450
1985-12-02,0.903,0.926,0.903,0.912,29595213
1985-12-03,0.912,0.973,0.912,0.959,49397891
1985-12-04,0.959,1.043,0.959,1.019,107500242
1985-12-05,1.019,1.043,1.01,1.033,55491020
1985-12-06,1.033,1.043,1.01,1.043,47221764
