day,open,high,low,close,volume
1993-09-28,14.125,14.875,13.25,14.69,10638400
1993-09-29,14.5,14.75,14.125,14.315,2554600
1993-09-30,14.315,14.315,13.94,13.94,966400
1993-10-01,14.125,14.5,14,14.25,667600
1993-10-04,14.19,14.44,14.19,14.25,479200
1993-10-05,14.25,14.25,13.815,13.94,718200
1993-10-06,14.065,14.065,13.69,14.065,467400
1993-10-07,14.065,14.19,14,14.19,262000
1993-10-08,14.19,14.25,14.065,14.25,178000
1993-10-11,14.19,14.875,14.19,14.69,349800
1993-10-12,14.875,15.75,14.69,15.625,784800
1993-10-13,15.5,15.875,15.125,15.75,451000
1993-10-14,15.5,16.25,15.25,16.065,567000
1993-10-15,17,17,16.19,16.375,556200
1993-10-18,16.375,16.815,16.375,16.815,529200
1993-10-19,16.75,16.75,15.375,15.44,452200
1993-10-20,15.315,15.625,15,15.5,382600
1993-10-21,15.5,16.065,15.375,15.875,270400
1993-10-22,15.875,16,15.75,16,301000
1993-10-25,16,16.315,15.94,16.065,210400
1993-10-26,16,16.125,15.065,15.25,220800
1993-10-27,15.25,15.25,14.565,15.065,393800
1993-10-28,15.125,15.125,14.565,14.625,311400
1993-10-29,14.5,14.69,14.125,14.5,451200
1993-11-01,14.5,14.625,14.375,14.44,190600
1993-11-02,14.565,15,14.565,14.875,416800
1993-11-03,14.875,14.94,14,14.315,304000
1993-11-04,14.19,14.44,13.625,13.94,350800
1993-11-05,13.625,13.625,12.625,13.25,1017400
1993-11-08,13.25,14,13.25,13.875,335600
1993-11-09,14.25,14.25,13.875,13.94,267000
1993-11-10,14,14.19,13.875,13.875,167000
1993-11-11,13.94,14.565,13.875,14.44,307000
1993-11-12,14.5,14.69,14.315,14.44,51800
1993-11-15,14.5,14.5,13.875,13.875,54800
1993-11-16,13.875,13.875,13.625,13.625,226800
1993-11-17,13.565,14,13.565,13.625,179200
1993-11-18,13.625,13.625,13.375,13.44,58600
1993-11-19,13.315,13.44,12.69,13,284400
1993-11-22,13,13,12.315,12.44,679600
1993-11-23,12.5,12.69,11.75,12.565,1008400
1993-11-24,13.125,14.25,12.875,13.69,1205600
1993-11-26,13.69,14,13.625,13.75,173800
1993-11-29,13.75,13.875,13.69,13.875,326600
1993-11-30,13.815,14.5,13.375,14.375,427600
1993-12-01,14.375,14.5,14.065,14.44,271200
1993-12-02,14.565,14.565,14.19,14.25,66000
1993-12-03,14.125,14.25,13.5,13.75,98000
1993-12-06,13.75,13.75,13.5,13.5,162400
1993-12-07,13.375,13.5,13.125,13.5,305800
1993-12-08,13.5,13.815,13.44,13.75,272200
1993-12-09,13.875,14.065,13.875,14,259000
1993-12-10,13.94,13.94,13.815,13.94,171200
1993-12-13,13.94,13.94,13.75,13.75,95600
1993-12-14,13.75,13.75,13.5,13.5,185000
1993-12-15,13.375,13.565,13.375,13.5,52800
1993-12-16,13.44,13.5,13.315,13.315,24000
1993-12-17,13.375,13.625,13.315,13.625,224400
1993-12-20,13.625,13.75,13.565,13.69,114000
1993-12-21,13.815,13.875,13.69,13.69,185200
1993-12-22,13.69,13.69,12.315,12.44,405200
1993-12-23,12.44,12.75,11.94,12,560600
1993-12-27,12,12.19,11.315,11.315,404400
1993-12-28,11.625,12.125,11.5,12.125,674800
1993-12-29,12.25,12.5,12.19,12.44,472800
1993-12-30,12.5,12.5,12.315,12.375,111200
1993-12-31,12.375,12.5,12.375,12.44,172800
1994-01-03,12.5,12.565,12.375,12.44,165200
1994-01-04,12.44,12.625,12.19,12.565,264200
1994-01-05,12.565,12.875,12.44,12.44,347000
1994-01-06,12.44,12.5,11.19,11.44,1695600
1994-01-07,11.5,11.565,11.25,11.44,489000
1994-01-10,11.44,11.5,11.25,11.315,160200
1994-01-11,11.19,11.25,10.75,11,564600
1994-01-12,11,11,10.565,10.625,144400
