day,open,high,low,close,volume
1984-12-17,2.873,2.892,2.827,2.873,5932800
1984-12-18,2.892,2.983,2.892,2.974,6278400
1984-12-19,2.955,2.964,2.873,2.9,12499200
1984-12-20,2.873,2.909,2.854,2.892,5318400
1984-12-21,2.873,2.873,2.725,2.762,4627200
1984-12-24,2.78,2.799,2.78,2.79,1363200
1984-12-26,2.799,2.808,2.78,2.799,2784000
1984-12-27,2.799,2.835,2.78,2.78,3046400
1984-12-28,2.79,2.79,2.744,2.744,9043200
1984-12-31,2.734,2.744,2.67,2.744,7289600
1985-01-02,2.725,2.725,2.597,2.597,10880000
1985-01-03,2.633,2.698,2.633,2.688,7974400
1985-01-04,2.67,2.744,2.66,2.717,3372800
1985-01-07,2.753,2.772,2.725,2.734,4640000
1985-01-08,2.744,2.753,2.67,2.688,7788800
1985-01-09,2.725,2.744,2.717,2.717,3974400
1985-01-10,2.717,2.78,2.717,2.772,3558400
1985-01-11,2.744,2.854,2.744,2.854,23872000
1985-01-14,2.845,2.947,2.835,2.928,25708800
1985-01-15,2.937,2.947,2.909,2.919,26284800
1985-01-16,2.927,2.973,2.918,2.964,11692800
1985-01-17,2.964,2.964,2.945,2.964,3820800
1985-01-18,2.964,2.964,2.945,2.954,5350400
1985-01-21,2.945,2.992,2.937,2.973,19404800
1985-01-22,2.983,3.14,2.983,3.103,17632000
1985-01-23,3.094,3.103,3.067,3.084,5811200
1985-01-24,3.094,3.122,3.084,3.122,13292800
1985-01-25,3.113,3.122,2.927,3.075,11558400
1985-01-28,3.084,3.103,3.029,3.048,5017600
1985-01-29,3.029,3.038,2.992,3.029,7411200
1985-01-30,3.048,3.094,3.048,3.094,14630400
1985-01-31,3.094,3.094,3.029,3.048,6617600
1985-02-01,3.067,3.067,3.029,3.038,5465600
1985-02-04,3.057,3.084,3.057,3.084,5894400
1985-02-05,3.14,3.215,3.14,3.187,9964800
1985-02-06,3.224,3.224,3.178,3.178,4652800
1985-02-07,3.178,3.197,3.159,3.178,3308800
1985-02-08,3.178,3.215,3.178,3.197,5465600
1985-02-11,3.197,3.215,3.197,3.205,2259200
1985-02-12,3.215,3.224,3.187,3.187,4377600
1985-02-13,3.197,3.335,3.197,3.327,3891200
1985-02-14,3.335,3.382,3.298,3.298,16640000
1985-02-15,3.28,3.317,3.28,3.308,5574400
1985-02-19,3.289,3.298,3.233,3.28,7398400
1985-02-20,3.27,3.27,3.178,3.197,7507200
1985-02-21,3.178,3.197,3.122,3.159,4377600
1985-02-22,3.15,3.159,3.084,3.084,3769600
1985-02-25,3.084,3.084,3.038,3.067,6124800
1985-02-26,3.067,3.159,3.067,3.122,7104000
1985-02-27,3.122,3.122,3.094,3.094,4531200
1985-02-28,3.113,3.14,3.048,3.14,7622400
1985-03-01,3.14,3.243,3.14,3.197,9164800
1985-03-04,3.215,3.215,3.048,3.094,5984000
1985-03-05,3.103,3.168,3.094,3.168,8876800
1985-03-06,3.178,3.224,3.168,3.178,3366400
1985-03-07,3.215,3.215,3.168,3.215,5043200
1985-03-08,3.205,3.233,3.205,3.205,1344000
1985-03-11,3.197,3.197,3.159,3.168,5926400
1985-03-12,3.178,3.187,3.132,3.187,12844800
1985-03-13,3.15,3.178,3.14,3.159,2080000
1985-03-14,3.122,3.122,3.084,3.113,4217600
1985-03-15,3.094,3.14,3.094,3.103,6713600
1985-03-18,3.094,3.168,3.084,3.168,5068800
1985-03-19,3.159,3.197,3.14,3.197,8780800
1985-03-20,3.215,3.252,3.205,3.233,5401600
1985-03-21,3.233,3.298,3.233,3.289,4627200
1985-03-22,3.289,3.298,3.252,3.27,5932800
1985-03-25,3.252,3.27,3.215,3.233,1280000
1985-03-26,3.215,3.243,3.215,3.233,2195200
1985-03-27,3.215,3.27,3.215,3.233,2022400
1985-03-28,3.252,3.308,3.252,3.289,16915200
1985-03-29,3.289,3.317,3.289,3.298,2310400
1985-04-01,3.298,3.354,3.298,3.327,8985600
1985-04-02,3.345,3.373,3.327,3.327,4832000
1985-04-03,3.327,3.345,3.317,3.335,8972800
1985-04-04,3.327,3.335,3.308,3.335,4416000
1985-04-08,3.327,3.335,3.27,3.28,3321600
1985-04-09,3.298,3.308,3.029,3.159,17504000
1985-04-10,3.067,3.159,3.067,3.159,14726400
1985-04-11,3.178,3.197,3.113,3.132,6233600
1985-04-12,3.132,3.14,3.122,3.14,6700800
1985-04-15,3.14,3.178,3.122,3.15,3769600
1985-04-16,3.149,3.187,3.149,3.168,3980800
1985-04-17,3.158,3.187,3.158,3.168,8985600
1985-04-18,3.177,3.205,3.177,3.205,2195200
1985-04-19,3.205,3.224,3.205,3.224,2496000
1985-04-22,3.224,3.355,3.195,3.243,2528000
1985-04-23,3.262,3.27,3.224,3.243,1907200
