day,open,high,low,close,volume
2002-10-16,3.063,3.378,3.038,3.288,16378000
2002-10-17,3.625,3.688,3.5,3.608,1792800
2002-10-18,3.625,3.75,3.625,3.738,1322800
2002-10-21,3.738,3.738,3.525,3.648,947200
2002-10-22,3.623,3.628,3.503,3.625,461600
2002-10-23,3.6,3.8,3.6,3.765,700000
2002-10-24,3.89,4.2,3.875,4.075,1720400
2002-10-25,4.063,4.1,3.938,4.037,410000
2002-10-28,4.013,4.088,4.013,4.063,204800
2002-10-29,4.088,4.09,3.995,4.013,416000
2002-10-30,4.023,4.1,4.013,4.035,272800
2002-10-31,4.075,4.148,4.05,4.1,430400
2002-11-01,4.105,4.115,3.913,3.973,1243600
2002-11-04,3.998,4.03,3.95,4.005,240400
2002-11-05,4.025,4.045,4.003,4.018,28800
2002-11-06,4.05,4.185,4.04,4.173,454400
2002-11-07,4.248,4.275,4.163,4.245,258000
2002-11-08,4.2,4.245,4.035,4.05,650800
2002-11-11,4.1,4.125,4.065,4.113,216800
2002-11-12,4.123,4.163,4.1,4.125,204400
2002-11-13,4.138,4.15,4.065,4.125,197200
2002-11-14,4.1,4.15,4.088,4.15,134000
2002-11-15,4.15,4.4,4.15,4.353,329200
2002-11-18,4.415,4.525,4.35,4.35,670000
2002-11-19,4.388,4.5,4.388,4.488,572400
2002-11-20,4.513,4.513,4.453,4.465,307200
2002-11-21,4.48,4.7,4.48,4.625,872400
2002-11-22,4.65,5.088,4.65,4.975,872800
2002-11-25,5.125,5.288,5.075,5.213,1102800
2002-11-26,5.338,5.45,5,5,1248800
2002-11-27,5.063,5.15,4.963,5.138,745200
2002-11-29,5.198,5.255,5.175,5.253,264000
2002-12-02,5.4,5.7,5.275,5.628,1308000
2002-12-03,5.69,5.788,5.525,5.635,674400
2002-12-04,5.625,5.65,5.475,5.545,516400
2002-12-05,5.563,5.613,5.413,5.425,181600
2002-12-06,5.35,5.46,5.158,5.45,456400
2002-12-09,5.488,5.675,5.488,5.6,388800
2002-12-10,5.638,5.688,5.528,5.55,163200
2002-12-11,5.565,5.565,5.463,5.49,97200
2002-12-12,5.44,5.44,5.265,5.35,310400
2002-12-13,5.288,5.3,4.925,4.998,653600
2002-12-16,4.935,5.105,4.935,5.05,713600
2002-12-17,5.038,5.05,4.925,4.97,174400
2002-12-18,4.938,4.938,4.45,4.713,953200
2002-12-19,4.625,4.725,4.615,4.625,191200
2002-12-20,4.625,4.9,4.625,4.9,258800
2002-12-23,4.925,5,4.903,5,125200
2002-12-24,5,5,4.798,4.803,144400
2002-12-26,4.803,4.823,4.753,4.763,194000
2002-12-27,4.763,4.825,4.763,4.775,713200
