day,open,high,low,close,volume
2019-07-12 00:00:00-04:00,48.46,50.04,48.08,49.71,4850019
2019-07-11 00:00:00-04:00,47.73,48.06,47.18,47.7912,4525512
2019-07-10 00:00:00-04:00,48.34,48.42,47.52,47.55,3730490
2019-07-09 00:00:00-04:00,48.3,48.43,47.5,47.87,5207633
2019-07-08 00:00:00-04:00,49.34,49.5,48.385,48.52,6128866
2019-07-05 00:00:00-04:00,49.01,49.37,48.96,49.31,2805707
2019-07-03 00:00:00-04:00,49.46,49.65,49.2,49.33,2865003
2019-07-02 00:00:00-04:00,50,50.06,48.76,49.4,4716760
2019-07-01 00:00:00-04:00,50,50.2,49.52,50.16,4648788
2019-06-28 00:00:00-04:00,51.04,51.19,49.09,49.31,6503707
