day,open,high,low,close,volume
1998-09-24,2.227,2.258,1.842,1.972,214767568
1998-09-25,1.894,1.92,1.712,1.868,51084685
1998-09-28,1.977,2.118,1.915,2.009,37821021
1998-09-29,2.056,2.092,1.988,2.035,16552553
1998-09-30,1.964,1.998,1.801,1.876,18584985
1998-10-01,1.775,1.801,1.665,1.665,18719520
1998-10-02,1.686,1.738,1.457,1.665,19723724
1998-10-05,1.629,1.629,1.452,1.494,14253453
1998-10-06,1.592,1.592,1.332,1.519,16965766
1998-10-07,1.457,1.483,1.285,1.285,14769970
1998-10-08,1.161,1.218,1.051,1.207,24086486
1998-10-09,1.28,1.343,1.228,1.283,16228228
1998-10-12,1.332,1.332,1.311,1.311,11879880
1998-10-13,1.314,1.322,1.218,1.223,6500901
1998-10-14,1.213,1.337,1.213,1.254,13033033
1998-10-15,1.254,1.363,1.254,1.358,12278679
1998-10-16,1.39,1.519,1.374,1.499,18260661
1998-10-19,1.546,1.915,1.54,1.889,32924925
1998-10-20,2.04,2.16,1.884,1.936,46044444
1998-10-21,2.04,2.144,1.967,2.105,27680480
1998-10-22,2.154,2.227,2.05,2.146,22464865
1998-10-23,2.149,2.175,2.061,2.087,13612012
1998-10-26,2.498,3.06,2.446,3.055,164297898
1998-10-27,3.393,3.78,3.341,3.434,240574174
1998-10-28,3.247,3.528,3.184,3.33,107243243
1998-10-29,3.382,3.453,3.32,3.325,34188589
1998-10-30,3.367,3.512,3.333,3.461,40000000
1998-11-02,3.616,3.653,3.486,3.497,52117718
1998-11-03,3.538,3.559,3.455,3.497,19490691
1998-11-04,3.559,3.569,3.401,3.442,18803604
1998-11-05,3.372,3.486,3.278,3.38,27841441
1998-11-06,3.346,3.515,3.341,3.497,20629429
1998-11-09,3.523,4.287,3.517,4.287,85251652
1998-11-10,4.691,5.828,4.625,5.449,243382583
1998-11-11,5.299,5.632,4.75,4.825,129285285
1998-11-12,4.741,5.532,4.683,5.249,94243844
1998-11-13,5.411,5.532,4.987,5.158,57165165
1998-11-16,5.391,5.411,5.087,5.311,34719520
1998-11-17,5.307,5.536,5.162,5.353,34359159
1998-11-18,5.432,6.181,5.22,6.14,84761562
1998-11-19,6.285,6.456,5.902,5.986,57285285
1998-11-20,6.244,6.244,5.844,6.119,28317117
1998-11-23,6.369,8.138,6.315,8.034,68468468
1998-11-24,7.867,9.745,7.409,8.192,144273874
1998-11-27,8.783,9.162,8.616,9.074,28000000
1998-11-30,9.341,9.366,7.826,8.225,57198799
1998-12-01,7.788,8.7,7.576,8.629,62299099
1998-12-02,8.575,8.908,8.242,8.45,30363964
1998-12-03,8.254,8.671,7.701,7.784,32124925
1998-12-04,8.138,8.242,6.673,7.597,58248649
1998-12-07,7.617,7.617,6.951,7.255,48610210
1998-12-08,6.993,7.576,6.931,7.364,50921321
1998-12-09,7.393,8.096,7.193,7.472,50315916
1998-12-10,7.659,7.934,7.497,7.747,48038438
1998-12-11,7.588,8.046,7.58,7.992,25386186
1998-12-14,7.738,8.034,7.722,7.846,19663664
1998-12-15,8.013,8.092,7.88,8.075,17030631
1998-12-16,8.329,9.407,8.325,9.303,51925526
1998-12-17,9.074,10.136,8.97,9.919,44795195
1998-12-18,10.406,10.918,10.198,10.502,35317718
1998-12-21,10.76,12.508,10.698,12.338,51848649
1998-12-22,12.742,12.95,11.751,12.529,44646246
1998-12-23,12.825,12.958,12.217,12.404,17989189
1998-12-24,12.071,12.367,11.738,11.905,11043844
1998-12-28,11.967,12.571,11.489,11.888,25602402
1998-12-29,12.113,12.113,11.239,11.401,14210210
1998-12-30,11.214,11.235,9.549,10.527,41912312
1998-12-31,10.148,10.744,10.032,10.044,15774174
1999-01-04,9.84,10.448,9.657,9.99,18827628
1999-01-05,9.495,9.678,9.149,9.324,31709309
1999-01-06,9.74,11.863,9.699,11.78,45881081
1999-01-07,11.326,13.112,11.243,12.404,49902703
1999-01-08,13.112,13.341,11.951,12.171,37686486
1999-01-11,12.658,12.696,11.572,12.134,18529730
1999-01-12,11.655,11.905,9.99,10.011,26647447
1999-01-13,9.074,9.824,8.841,8.97,32670270
1999-01-14,9.345,10.065,9.12,9.378,29753754
1999-01-15,9.47,10.073,9.241,9.299,18858859
1999-01-19,10.302,10.406,8.887,9.57,15478679
1999-01-20,9.557,9.599,8.741,8.899,22034835
1999-01-21,8.2,8.408,7.501,7.567,37460661
1999-01-22,6.91,9.158,6.91,8.192,52600601
1999-01-25,8.325,9.066,7.617,9.054,45703303
1999-01-26,9.116,9.774,8.866,9.195,35675676
1999-01-27,12.654,13.07,11.822,12.633,105703303
1999-01-28,12.654,12.733,11.905,12.179,28117718
1999-01-29,11.905,12.346,11.322,11.555,38671471
1999-02-01,11.613,11.655,10.885,10.906,27913514
1999-02-02,10.827,10.827,10.198,10.585,20679880
1999-02-03,10.365,11.655,10.281,11.584,22558559
1999-02-04,11.405,11.572,9.865,9.948,91680480
1999-02-05,10.219,10.281,9.158,9.212,44545345
1999-02-08,9.574,10.173,9.287,9.615,33989189
1999-02-09,9.615,9.657,8.741,8.862,20276276
1999-02-10,8.737,9.008,7.992,8.825,30186186
1999-02-11,9.129,10.011,8.866,9.969,31670871
1999-02-12,9.82,10.315,9.503,9.824,29107508
