day,open,high,low,close,volume
2013-05-01,8.9,9.1,8.9,8.98,150935
2013-05-02,9.2,9.2,8.9,9.09,69081
2013-05-03,9.15,9.15,9.04,9.04,51033
2013-05-06,9.1,9.1,8.9,8.98,22924
2013-05-07,9.05,9.05,8.9,8.91,53246
2013-05-08,8.95,9.04,8.93,9,32439
2013-05-09,8.99,9,8.9,8.93,24876
2013-05-10,9,9,8.91,8.92,13559
2013-05-13,8.911,8.95,8.9,8.9,19505
2013-05-14,8.91,8.9999,8.91,8.91,104644
2013-05-15,8.99,8.99,8.9,8.91,15946
2013-05-16,8.91,8.95,8.75,8.908,316442
2013-05-17,8.88,8.9,8.717,8.9,57874
2013-05-20,8.95,8.95,8.85,8.9299,22052
2013-05-21,8.85,8.916,8.8,8.86,26101
2013-05-22,8.89,8.92,8.855,8.88,13300
2013-05-23,8.88,8.92,8.8,8.92,31159
2013-05-24,8.85,8.9,8.8,8.888,33814
2013-05-28,9.04,9.14,8.8,8.81,159730
2013-05-29,9,9.021,8.87,8.94,15803
2013-05-30,8.96,9.1099,8.93,8.9999,34967
2013-05-31,9,9.01,8.9,8.9,20015
2013-06-03,9.08,9.08,8.81,8.884,5067
2013-06-04,8.9,9.012,8.85,8.97,20939
2013-06-05,8.93,9.0199,8.9,8.98,16885
2013-06-06,9,9,8.8,8.82,10530
2013-06-07,8.8,9.01,8.68,9.009,26902
2013-06-10,9.08,9.08,8.69,8.98,18769
2013-06-11,9,9,8.49,8.51,26988
2013-06-12,8.67,9,8.46,8.53,17355
2013-06-13,8.68,8.95,8.512,8.8608,7790
2013-06-14,8.84,8.857,8.52,8.65,8724
2013-06-17,8.78,8.88,8.52,8.57,6042
2013-06-18,8.6,8.8,8.55,8.6,6880
2013-06-19,8.61,8.854,8.61,8.76,12774
2013-06-20,8.7,8.89,8.7,8.85,13100
2013-06-21,8.84,8.9899,8.7,8.75,11855
2013-06-24,8.66,9.01,8.56,8.56,34575
2013-06-25,8.59,8.96,8.59,8.75,30271
2013-06-26,8.75,8.95,8.5701,8.88,3900
2013-06-27,8.66,9,8.66,8.7499,900
2013-06-28,8.68,8.83,8.68,8.81,1800
2013-07-01,8.85,8.85,8.75,8.84,8458
2013-07-02,8.845,8.99,8.83,8.91,10506
2013-07-03,8.72,8.91,8.72,8.9,10248
2013-07-05,9.03,9.03,8.6,8.79,7790
2013-07-08,8.99,8.99,8.5,8.7626,33849
2013-07-09,8.65,8.799,8.625,8.79,6157
2013-07-10,8.8,9.096,8.8,8.81,4700
2013-07-11,9.11,9.11,8.75,8.86,2873
2013-07-12,8.75,8.9999,8.58,8.9,12907
2013-07-15,8.7,8.95,8.7,8.95,600
2013-07-16,8.76,8.95,8.76,8.95,1675
2013-07-17,8.95,8.95,8.76,8.88,3632
2013-07-18,8.99,9,8.8,9,2000
2013-07-19,8.92,8.92,8.8,8.85,2225
2013-07-22,8.99,9,8.85,8.94,8441
2013-07-23,8.99,8.99,8.85,8.99,15500
2013-07-24,8.99,9.1,8.95,9.05,21353
2013-07-25,9.05,9.39,9.01,9.39,28685
2013-07-26,9.38,11.5,9.07,11.2,45854
2013-07-29,11,11,10.05,10.5101,41437
2013-07-30,10.66,10.819,10.283,10.46,8994
2013-07-31,10.6,10.6,9.91,10.29,22760
2013-08-01,10.25,10.48,9.87,10.48,7476
2013-08-02,10.4675,10.5,10.01,10.4,4729
2013-08-05,10.7,11.289,10.22,10.5,39618
2013-08-06,10.5,10.5,10.1,10.2,4772
2013-08-07,10.48,10.48,10.26,10.4,7792
2013-08-08,10.49,10.5,10.15,10.15,9263
2013-08-09,10.2,10.48,10.136,10.42,5179
2013-08-12,10.99,11,10.09,10.31,26615
2013-08-13,10.52,10.89,10.2601,10.45,19998
2013-08-14,10.67,11,10.4515,10.5,13715
2013-08-15,10.6,10.75,10.45,10.5,11356
2013-08-16,10.65,10.65,10,10.06,32157
2013-08-19,10.24,10.556,10.15,10.2,8735
2013-08-20,10.4,10.5,10.1101,10.5,8054
2013-08-21,10.55,11,10.2332,10.8,24866
2013-08-22,11.0898,11.0999,10.36,10.36,24564
2013-08-23,10.3802,10.7499,10.37,10.59,7395
2013-08-26,10.55,10.68,10.55,10.6699,8900
2013-08-27,10.61,10.74,10.2,10.55,4039
2013-08-28,10.55,11,10.2,10.56,30135
2013-08-29,10.62,12,10.5512,11.95,21291
2013-08-30,11.98,12.5,11.28,12.42,56785
2013-09-03,12.5,13.46,12.5,13.44,25824
2013-09-04,13.73,14.89,13.2,14.49,104411
2013-09-05,14.76,17.4,14.53,17,109490
2013-09-06,17.34,17.34,16,16.4,170372
2013-09-09,16.25,16.25,13.51,13.8,84790
2013-09-10,13.89,14.095,13.06,13.82,21869
2013-09-11,14.04,14.04,13.11,13.26,10331
2013-09-12,13.74,13.8,13.15,13.76,22975
2013-09-13,13.84,14.49,13.77,13.99,13781
2013-09-16,14.18,14.3999,13.95,14.07,50388
2013-09-17,14.19,14.74,14,14.59,69442
2013-09-18,14.84,14.84,14.5,14.65,8187
2013-09-19,14.84,15.283,14.66,15,19392
2013-09-20,14.92,15.5,14.92,15.2,8723
2013-09-23,15.33,15.5099,14.75,14.7577,22574
2013-09-24,15.13,15.45,15.06,15.14,13941
2013-09-25,15.26,15.39,14.611,14.65,19117
2013-09-26,14.62,15.98,14.62,15.79,173678
2013-09-27,15.88,17.95,15.8,17.75,125544
2013-09-30,17.78,17.78,16.3911,17.34,25183
2013-10-01,17.44,17.44,16.6,17.01,10905
2013-10-02,17.03,17.78,16.82,17.68,18700
2013-10-03,18,22.85,17.88,20.88,78218
2013-10-04,20.93,24.7,20.3457,24.7,88419
2013-10-07,28.24,35,27.5,31.86,1730452
2013-10-08,32.97,34.11,27.24,28.5,607285
2013-10-09,28.31,28.47,24,25.8,336243
2013-10-10,25.8,28.9999,25.3,28.43,208301
2013-10-11,27.43,29,26.51,28.81,197595
2013-10-14,27.95,29,27.43,28,99905
2013-10-15,28,30.98,27.22,28.25,267018
2013-10-16,28.65,28.65,27.5,28.19,93190
2013-10-17,28.26,28.85,27.64,28.79,63169
2013-10-18,28.92,29.75,27.555,29.12,94919
2013-10-21,29.8,29.8,28.4092,29.31,92826
2013-10-22,29.19,29.83,28.8101,29.7896,53819
2013-10-23,29.01,29.685,28.56,29.6,96914
2013-10-24,29.6,32.2,29.07,32.12,147632
2013-10-25,31.75,32.7499,30.99,31.96,211850
2013-10-28,31.25,32.3999,30.75,31.26,92618
2013-10-29,31.15,32.7458,30.6678,31.73,36110
2013-10-30,31.73,31.73,29.27,30.68,69031
2013-10-31,30.33,31,28,30.42,82336
2013-11-01,30.08,30.72,28.91,30.49,24718
2013-11-04,30.19,30.6399,29.69,30.1,22297
2013-11-05,30,30.5,29.11,29.53,25454
2013-11-06,29.48,29.9599,28.5052,29.04,56802
2013-11-07,29.2,29.4,28.89,28.92,49458
2013-11-08,28.41,29.879,28,29.03,20003
2013-11-11,29.21,33.47,28.5,32.85,87072
2013-11-12,32.57,36.109,31.4,35.85,206864
2013-11-13,34.3,35.6,34.01,35.45,163124
2013-11-14,35.41,36,34.511,35.1,149482
2013-11-15,35.3,35.7,33.27,35.67,226512
2013-11-18,35.28,37,34.5,35.87,169512
2013-11-19,32.94,35.8884,32,34.42,166368
2013-11-20,34.4,35.5,33.92,34.43,67923
2013-11-21,34.29,35.51,34.09,34.83,64835
2013-11-22,34.44,35.24,34.44,35.04,83880
2013-11-25,34.85,34.86,34.2,34.52,41974
2013-11-26,34.47,35.25,34.14,35,37793
2013-11-27,38.5,39.47,36.08,36.11,421133
2013-11-29,35.88,37.55,35.5,36.49,137912
2013-12-02,36.49,36.49,34.61,34.9,73329
2013-12-03,34.78,34.9,32.33,32.85,61490
2013-12-04,33.05,33.05,31.3,32.24,108824
2013-12-05,31.95,32.7399,31,31.41,48845
2013-12-06,31.27,31.5,30.641,31.13,48309
2013-12-09,31.02,31.18,30.5,31.01,55135
2013-12-10,30.78,31.19,30.29,30.95,44153
2013-12-11,31.28,33.89,30.26,30.56,117482
2013-12-12,30.96,31.18,30.11,30.9099,51561
2013-12-13,31.01,32.9,30.25,32.11,53044
2013-12-16,32.7,33.45,32.12,33.1,34340
2013-12-17,33.31,33.8,32.53,33.41,36473
2013-12-18,33.39,33.39,32.1191,33.2,22346
2013-12-19,33.37,33.37,32.5,32.7,11812
2013-12-20,31.99,34.5,31.05,34.24,122245
2013-12-23,34.53,36.4,34.53,36.14,80280
