day,open,high,low,close,volume
1984-08-20,0.526,0.526,0.485,0.509,1076084408
1984-08-21,0.509,0.55,0.509,0.538,891351379
1984-08-22,0.546,0.571,0.546,0.559,778815103
1984-08-23,0.567,0.591,0.567,0.579,607066000
1984-08-24,0.579,0.579,0.55,0.55,374624898
1984-08-27,0.55,0.559,0.538,0.559,209888199
1984-08-28,0.559,0.559,0.518,0.534,479263104
1984-08-29,0.534,0.546,0.513,0.513,513119862
1984-08-30,0.513,0.522,0.481,0.501,446218989
1984-08-31,0.497,0.497,0.469,0.473,458161982
1984-09-04,0.477,0.505,0.477,0.505,320598332
1984-09-05,0.513,0.529,0.513,0.522,286577225
1984-09-06,0.526,0.542,0.526,0.529,374460531
1984-09-07,0.529,0.538,0.513,0.522,298081936
1984-09-10,0.518,0.518,0.505,0.509,64700381
1984-09-11,0.509,0.526,0.509,0.509,116855141
1984-09-12,0.509,0.509,0.481,0.481,177510600
1984-09-13,0.481,0.501,0.481,0.489,221000298
1984-09-14,0.497,0.518,0.497,0.505,203040141
1984-09-17,0.505,0.513,0.501,0.513,22187693
1984-09-18,0.513,0.522,0.505,0.505,44877563
1984-09-19,0.505,0.518,0.497,0.497,59934147
1984-09-20,0.497,0.513,0.493,0.509,46950238
1984-09-21,0.509,0.522,0.489,0.497,83984486
1984-09-24,0.497,0.509,0.493,0.501,74296778
1984-09-25,0.501,0.501,0.485,0.485,44603630
1984-09-26,0.485,0.485,0.443,0.452,550035419
1984-09-27,0.452,0.452,0.423,0.431,165284548
1984-09-28,0.431,0.443,0.423,0.443,682294111
1984-10-01,0.443,0.447,0.431,0.447,251469549
1984-10-02,0.447,0.447,0.394,0.411,583189127
1984-10-03,0.411,0.439,0.403,0.427,528833853
1984-10-04,0.435,0.452,0.435,0.452,70781450
1984-10-05,0.452,0.456,0.443,0.443,83984486
1984-10-08,0.443,0.443,0.431,0.443,70781450
1984-10-09,0.443,0.456,0.443,0.443,73465880
1984-10-10,0.435,0.439,0.423,0.435,185289986
1984-10-11,0.423,0.427,0.419,0.427,197716914
1984-10-12,0.419,0.443,0.419,0.443,101186799
1984-10-15,0.447,0.452,0.443,0.447,69530539
1984-10-16,0.452,0.477,0.452,0.473,111276262
1984-10-17,0.473,0.481,0.473,0.481,82340956
1984-10-18,0.481,0.485,0.473,0.477,35838131
1984-10-19,0.501,0.509,0.493,0.493,346630052
1984-10-22,0.497,0.509,0.493,0.501,63832960
1984-10-23,0.501,0.501,0.497,0.497,92046935
1984-10-24,0.501,0.501,0.489,0.489,113403728
1984-10-25,0.481,0.489,0.473,0.477,206701559
1984-10-26,0.473,0.481,0.473,0.477,56930135
1984-10-29,0.485,0.485,0.473,0.477,76205098
1984-10-30,0.473,0.493,0.473,0.489,158052999
1984-10-31,0.489,0.489,0.452,0.456,119220003
1984-11-01,0.456,0.456,0.415,0.423,352546768
1984-11-02,0.423,0.435,0.394,0.427,503642156
1984-11-05,0.427,0.435,0.419,0.435,282304036
1984-11-06,0.435,0.443,0.419,0.431,278423481
1984-11-07,0.431,0.456,0.431,0.435,163431019
1984-11-08,0.439,0.46,0.435,0.456,73968077
1984-11-09,0.46,0.469,0.456,0.456,122059662
1984-11-12,0.469,0.477,0.46,0.469,227410061
1984-11-13,0.477,0.501,0.477,0.493,384431292
1984-11-14,0.497,0.513,0.497,0.505,295680569
1984-11-15,0.505,0.505,0.493,0.493,82121810
1984-11-16,0.489,0.501,0.489,0.489,73575460
1984-11-19,0.489,0.489,0.447,0.456,68809223
1984-11-20,0.452,0.473,0.452,0.473,129455542
1984-11-21,0.473,0.477,0.46,0.469,127812011
1984-11-23,0.473,0.489,0.473,0.481,63997309
1984-11-26,0.485,0.489,0.477,0.481,52921736
1984-11-27,0.481,0.497,0.481,0.493,98128002
1984-11-28,0.497,0.505,0.489,0.493,111276262
1984-11-29,0.493,0.505,0.473,0.505,237389952
1984-11-30,0.501,0.509,0.497,0.505,138714105
1984-12-03,0.513,0.513,0.505,0.505,77684277
1984-12-04,0.509,0.522,0.509,0.518,41809641
1984-12-05,0.526,0.534,0.526,0.529,186714373
1984-12-06,0.518,0.542,0.518,0.538,173063936
1984-12-07,0.538,0.542,0.534,0.534,74561567
1984-12-10,0.529,0.538,0.509,0.518,396036460
1984-12-11,0.518,0.526,0.518,0.522,40704808
1984-12-12,0.522,0.538,0.522,0.529,88157230
1984-12-13,0.529,0.542,0.526,0.526,70242730
1984-12-14,0.526,0.534,0.522,0.529,149241858
1984-12-17,0.534,0.534,0.526,0.529,46950238
1984-12-18,0.538,0.567,0.534,0.554,307897495
1984-12-19,0.559,0.567,0.554,0.559,187855735
1984-12-20,0.55,0.567,0.55,0.559,139544999
1984-12-21,0.55,0.554,0.546,0.546,117841263
1984-12-24,0.554,0.563,0.55,0.554,34742444
1984-12-26,0.559,0.559,0.55,0.554,22790302
1984-12-27,0.554,0.563,0.554,0.554,84815382
1984-12-28,0.554,0.575,0.554,0.575,124260155
1984-12-31,0.575,0.583,0.559,0.583,77903417
1985-01-02,0.587,0.587,0.559,0.563,354509880
1985-01-03,0.554,0.579,0.55,0.559,214983134
1985-01-04,0.554,0.563,0.546,0.55,194110275
1985-01-07,0.559,0.563,0.554,0.559,91489964
1985-01-08,0.559,0.571,0.559,0.563,44603630
1985-01-09,0.567,0.567,0.563,0.563,26296514
1985-01-10,0.571,0.575,0.563,0.575,84322330
1985-01-11,0.567,0.575,0.567,0.567,15558777
1985-01-14,0.563,0.575,0.563,0.575,34623739
1985-01-15,0.583,0.591,0.567,0.571,104309507
1985-01-16,0.571,0.595,0.571,0.591,126122827
1985-01-17,0.583,0.591,0.579,0.587,21694615
1985-01-18,0.591,0.599,0.587,0.595,105624336
1985-01-21,0.587,0.591,0.579,0.579,127373743
1985-01-22,0.583,0.583,0.546,0.55,104638209
1985-01-23,0.554,0.563,0.554,0.559,83719697
1985-01-24,0.567,0.587,0.559,0.567,166763726
1985-01-25,0.567,0.567,0.563,0.563,47114586
1985-01-28,0.563,0.567,0.554,0.563,116142938
1985-01-29,0.559,0.571,0.559,0.559,151761929
1985-01-30,0.563,0.567,0.522,0.546,297543240
1985-01-31,0.546,0.55,0.542,0.546,68206584
1985-02-01,0.546,0.546,0.526,0.538,380313335
1985-02-04,0.534,0.538,0.526,0.529,58190177
1985-02-05,0.526,0.534,0.493,0.501,410828262
1985-02-06,0.509,0.526,0.509,0.513,206591990
1985-02-07,0.513,0.534,0.509,0.513,404418468
1985-02-08,0.526,0.526,0.518,0.526,85792372
1985-02-11,0.526,0.526,0.518,0.526,92430419
1985-02-12,0.526,0.526,0.522,0.522,43288819
1985-02-13,0.522,0.542,0.522,0.538,258527604
1985-02-14,0.559,0.587,0.559,0.571,300611154
1985-02-15,0.575,0.603,0.575,0.603,332596124
1985-02-19,0.603,0.607,0.595,0.595,77081667
1985-02-20,0.591,0.607,0.591,0.599,201332676
1985-02-21,0.607,0.625,0.607,0.616,154820728
1985-02-22,0.62,0.625,0.612,0.616,36824253
1985-02-25,0.616,0.616,0.607,0.607,109240102
1985-02-26,0.607,0.641,0.607,0.62,62892503
1985-02-27,0.612,0.62,0.607,0.62,39444774
1985-02-28,0.62,0.633,0.62,0.625,44713206
1985-03-01,0.625,0.657,0.625,0.649,157021225
1985-03-04,0.645,0.653,0.637,0.645,164197986
1985-03-05,0.645,0.649,0.633,0.637,451487404
1985-03-06,0.641,0.641,0.633,0.641,22954660
1985-03-07,0.637,0.637,0.628,0.633,94283953
1985-03-08,0.628,0.628,0.62,0.62,107103513
1985-03-11,0.62,0.625,0.616,0.62,159979585
1985-03-12,0.616,0.628,0.612,0.625,127054165
1985-03-13,0.62,0.628,0.616,0.616,19393687
1985-03-14,0.612,0.633,0.612,0.628,35838131
1985-03-15,0.625,0.628,0.616,0.62,131984756
1985-03-18,0.62,0.628,0.616,0.616,183034699
1985-03-19,0.612,0.616,0.583,0.599,94283953
1985-03-20,0.599,0.628,0.591,0.612,156637734
1985-03-21,0.616,0.62,0.595,0.599,29200100
1985-03-22,0.603,0.603,0.559,0.567,182541623
1985-03-25,0.571,0.591,0.567,0.583,80761341
1985-03-26,0.571,0.575,0.559,0.567,299780259
1985-03-27,0.567,0.567,0.559,0.567,92311724
1985-03-28,0.575,0.579,0.575,0.575,120151317
1985-03-29,0.571,0.571,0.563,0.563,31400596
1985-04-01,0.559,0.563,0.559,0.559,160089169
1985-04-02,0.559,0.559,0.542,0.546,59888492
1985-04-03,0.546,0.546,0.522,0.534,43234028
1985-04-04,0.529,0.534,0.526,0.534,31062749
1985-04-08,0.534,0.534,0.526,0.529,13312613
1985-04-09,0.522,0.526,0.522,0.526,33801984
1985-04-10,0.526,0.529,0.518,0.522,215202279
1985-04-11,0.522,0.55,0.522,0.55,339234169
1985-04-12,0.567,0.567,0.554,0.563,119320421
1985-04-15,0.567,0.587,0.567,0.587,56217921
1985-04-16,0.583,0.595,0.583,0.591,170498195
1985-04-17,0.591,0.607,0.591,0.595,132906969
1985-04-18,0.595,0.599,0.587,0.591,65805197
1985-04-19,0.591,0.591,0.583,0.583,28332671
1985-04-22,0.575,0.583,0.575,0.575,27949180
1985-04-23,0.575,0.579,0.563,0.571,81026124
1985-04-24,0.563,0.571,0.559,0.571,58783666
1985-04-25,0.567,0.591,0.567,0.583,41581352
1985-04-26,0.579,0.591,0.579,0.591,68434854
1985-04-29,0.595,0.603,0.591,0.591,42183988
1985-04-30,0.591,0.591,0.583,0.587,13312613
1985-05-01,0.587,0.595,0.587,0.591,21594175
1985-05-02,0.587,0.587,0.583,0.583,32934561
1985-05-03,0.583,0.591,0.579,0.591,18900609
1985-05-06,0.591,0.591,0.587,0.587,104528652
1985-05-07,0.579,0.579,0.575,0.575,134221800
1985-05-08,0.579,0.587,0.579,0.587,95991414
1985-05-09,0.591,0.595,0.591,0.595,141124620
1985-05-10,0.599,0.612,0.599,0.603,319502645
1985-05-13,0.599,0.599,0.587,0.587,95653574
1985-05-14,0.591,0.599,0.591,0.599,68042234
1985-05-15,0.595,0.612,0.595,0.612,88750727
1985-05-16,0.612,0.628,0.612,0.628,151214087
1985-05-17,0.628,0.633,0.625,0.628,33865893
1985-05-20,0.641,0.669,0.641,0.657,256500580
1985-05-21,0.591,0.591,0.542,0.546,1456014247
1985-05-22,0.542,0.542,0.534,0.538,160847006
1985-05-23,0.546,0.55,0.542,0.546,208235524
1985-05-24,0.55,0.554,0.546,0.554,78789105
1985-05-28,0.554,0.554,0.546,0.55,41809641
1985-05-29,0.546,0.55,0.538,0.542,230532771
1985-05-30,0.55,0.554,0.534,0.542,104263863
1985-05-31,0.542,0.542,0.538,0.542,44713206
1985-06-03,0.538,0.542,0.529,0.529,79884793
1985-06-04,0.529,0.538,0.529,0.538,84313191
1985-06-05,0.542,0.546,0.542,0.546,184185163
1985-06-06,0.546,0.546,0.538,0.538,26031725
1985-06-07,0.538,0.538,0.529,0.534,64326016
1985-06-10,0.534,0.534,0.522,0.529,57194922
1985-06-11,0.534,0.542,0.534,0.538,26963063
1985-06-12,0.534,0.534,0.522,0.529,66234355
1985-06-13,0.518,0.522,0.513,0.513,83984486
1985-06-14,0.513,0.513,0.477,0.485,110719280
1985-06-17,0.489,0.489,0.465,0.469,91718228
1985-06-18,0.473,0.477,0.469,0.477,69530539
1985-06-19,0.469,0.473,0.46,0.46,95060076
1985-06-20,0.465,0.465,0.415,0.456,736302392
1985-06-21,0.456,0.477,0.456,0.473,196730788
1985-06-24,0.473,0.473,0.46,0.465,65248224
1985-06-25,0.46,0.465,0.456,0.465,339124594
1985-06-26,0.46,0.46,0.447,0.46,60262846
1985-06-27,0.46,0.46,0.447,0.452,65421702
1985-06-28,0.452,0.452,0.427,0.435,152200214
