day,open,high,low,close,volume
1983-12-30,1.834,1.855,1.813,1.834,5076000
1984-01-03,1.831,1.844,1.818,1.834,9252000
1984-01-04,1.869,1.912,1.844,1.912,7020000
1984-01-05,1.951,1.975,1.927,1.975,8258400
1984-01-06,1.954,1.975,1.933,1.954,4665600
1984-01-09,1.959,1.975,1.943,1.959,5191200
1984-01-10,1.987,2.011,1.964,1.995,3434400
1984-01-11,1.995,2.042,1.975,2.037,9547200
1984-01-12,2.037,2.068,2.027,2.058,7149600
1984-01-13,2.079,2.094,2.063,2.068,14191200
1984-01-16,2.058,2.068,2.047,2.047,2491200
1984-01-17,2.047,2.047,2,2.011,3218400
1984-01-18,2.039,2.063,2.016,2.058,32464784
1984-01-19,2.058,2.068,2.047,2.058,5882400
1984-01-20,2.058,2.058,2.031,2.042,4039200
1984-01-23,2.06,2.073,2.047,2.068,5904000
1984-01-24,2.081,2.094,2.068,2.094,7020000
1984-01-25,2.123,2.136,2.11,2.115,5832000
1984-01-26,2.115,2.12,2.089,2.094,5097600
1984-01-27,2.094,2.094,2.068,2.084,4392000
1984-01-30,2.073,2.079,2.068,2.073,2397600
1984-01-31,2.073,2.136,2.073,2.105,8452800
1984-02-01,2.105,2.125,2.068,2.073,5407200
1984-02-02,2.073,2.079,2.058,2.058,5536800
1984-02-03,2.084,2.105,2.063,2.073,7675200
1984-02-06,2.039,2.068,2.011,2.027,1620000
1984-02-07,2,2.016,1.985,2,5097600
1984-02-08,2,2.037,1.985,2.011,9482400
1984-02-09,2.011,2.021,1.99,2,4716000
1984-02-10,2,2.027,2,2.027,5580000
1984-02-13,2.027,2.042,2.021,2.021,7776000
1984-02-14,2.021,2.063,2.016,2.063,3240000
1984-02-15,2.063,2.105,2.052,2.094,13046400
1984-02-16,2.094,2.141,2.084,2.125,8690400
1984-02-17,2.125,2.131,2.089,2.089,15703200
1984-02-21,2.089,2.1,2.068,2.068,2592000
1984-02-22,2.068,2.079,2.011,2.011,4737600
1984-02-23,2.011,2.016,1.964,1.99,11188800
1984-02-24,1.99,2.011,1.98,2,1598400
1984-02-27,2,2.027,1.964,2.027,14716800
1984-02-28,2.008,2.021,1.985,2,7063200
1984-02-29,2,2.037,1.995,2.011,5040000
1984-03-01,1.99,2,1.98,1.99,6566400
1984-03-02,1.99,2.063,1.99,2.042,4932000
1984-03-05,2.042,2.052,2,2.011,12787200
1984-03-06,2.011,2.021,1.99,1.99,5234400
1984-03-07,1.99,1.99,1.959,1.959,3614400
1984-03-08,1.959,1.99,1.959,1.99,2901600
1984-03-09,1.948,1.959,1.938,1.938,9165600
1984-03-12,1.938,1.954,1.886,1.886,10260000
1984-03-13,1.909,1.927,1.891,1.922,6724800
1984-03-14,1.899,1.917,1.881,1.896,7869600
1984-03-15,1.896,1.922,1.886,1.917,8604000
1984-03-16,1.98,2,1.959,1.975,5536800
1984-03-19,1.946,1.969,1.922,1.943,4708800
1984-03-20,1.959,1.98,1.938,1.98,5464800
1984-03-21,1.98,2,1.98,2,2167200
1984-03-22,2,2.016,1.98,1.98,3009600
1984-03-23,1.98,1.995,1.964,1.964,1231200
1984-03-26,1.964,1.975,1.954,1.964,1814400
1984-03-27,1.964,1.969,1.943,1.959,12664800
1984-03-28,1.959,1.969,1.954,1.959,2340000
1984-03-29,1.959,1.969,1.938,1.938,3002400
1984-03-30,1.938,1.938,1.891,1.891,4989600
1984-04-02,1.907,1.922,1.891,1.891,6076800
1984-04-03,1.891,1.912,1.855,1.855,2534400
1984-04-04,1.855,1.87,1.844,1.844,6760800
1984-04-05,1.844,1.855,1.808,1.808,6962400
1984-04-06,1.808,1.808,1.782,1.787,1576800
1984-04-09,1.787,1.802,1.761,1.777,5169600
1984-04-10,1.792,1.802,1.782,1.782,1389600
1984-04-11,1.792,1.797,1.787,1.797,2080800
1984-04-12,1.797,1.87,1.766,1.87,8949600
1984-04-13,1.87,1.886,1.87,1.87,3268800
1984-04-16,1.23,1.245,1.219,1.235,1821600
1984-04-17,1.235,1.261,1.235,1.25,3290400
1984-04-18,1.25,1.261,1.245,1.245,1339200
1984-04-19,1.245,1.261,1.245,1.25,2685600
1984-04-23,1.25,1.25,1.219,1.25,1764000
1984-04-24,1.25,1.282,1.25,1.266,4464000
1984-04-25,1.287,1.302,1.271,1.292,4420800
1984-04-26,1.292,1.313,1.276,1.302,4881600
1984-04-27,1.302,1.328,1.292,1.313,4960800
1984-04-30,1.313,1.323,1.302,1.318,2131200
1984-05-01,1.318,1.339,1.313,1.339,5400000
1984-05-02,1.378,1.386,1.37,1.37,3312000
1984-05-03,1.37,1.386,1.36,1.37,2685600
1984-05-04,1.37,1.37,1.339,1.344,2455200
1984-05-07,1.344,1.365,1.344,1.344,1144800
1984-05-08,1.365,1.375,1.355,1.36,7948800
1984-05-09,1.36,1.36,1.292,1.302,6962400
1984-05-10,1.302,1.318,1.292,1.302,6789600
1984-05-11,1.274,1.292,1.23,1.24,6552000
1984-05-14,1.227,1.235,1.219,1.224,5788800
1984-05-15,1.224,1.255,1.224,1.25,5961600
1984-05-16,1.25,1.25,1.235,1.245,2736000
1984-05-17,1.245,1.25,1.224,1.23,4514400
1984-05-18,1.23,1.25,1.23,1.245,1504800
1984-05-21,1.245,1.245,1.224,1.224,14940000
1984-05-22,1.203,1.214,1.146,1.177,2534400
1984-05-23,1.177,1.193,1.141,1.141,5306400
1984-05-24,1.162,1.219,1.146,1.151,96479952
1984-05-25,1.151,1.167,1.13,1.146,5522400
1984-05-29,1.146,1.151,1.084,1.105,5220000
1984-05-30,1.042,1.094,1.032,1.047,25516784
1984-05-31,1.047,1.052,0.98,1.005,9331200
1984-06-01,1.005,1.016,0.98,1,17783984
1984-06-04,1.042,1.084,1.021,1.057,14032800
1984-06-05,1.057,1.068,1.032,1.047,128887136
1984-06-06,1.047,1.068,1.047,1.068,8776800
1984-06-07,1.068,1.073,1.057,1.068,21715184
1984-06-08,1.073,1.084,1.063,1.084,16991984
1984-06-11,1.057,1.057,1.021,1.032,4773600
1984-06-12,1.021,1.021,0.99,1.021,16595984
1984-06-13,1.026,1.037,1.011,1.016,10188000
1984-06-14,1.011,1.011,0.98,0.995,14752800
1984-06-15,1,1.016,0.99,1,8604000
1984-06-18,1.011,1.052,1,1.052,5644800
1984-06-19,1.052,1.073,1.047,1.068,4096800
1984-06-20,1.057,1.105,1.047,1.105,8164800
1984-06-21,1.105,1.136,1.094,1.125,10195200
1984-06-22,1.115,1.115,1.094,1.099,4298400
1984-06-25,1.089,1.11,1.084,1.089,2973600
1984-06-26,1.078,1.078,1.068,1.073,8323200
1984-06-27,1.063,1.073,1.047,1.052,2412000
1984-06-28,1.052,1.052,1.021,1.037,4701600
1984-06-29,0.995,1.016,0.98,1,17387984
1984-07-02,1,1.026,0.99,1.016,12780000
1984-07-03,1.026,1.063,1.026,1.052,12672000
1984-07-05,1.052,1.068,1.052,1.068,2109600
1984-07-06,1.057,1.063,1.047,1.052,2692800
1984-07-09,1.047,1.105,1.047,1.105,3830400
1984-07-10,1.099,1.115,1.084,1.099,5702400
1984-07-11,1.094,1.099,1.084,1.089,8503200
1984-07-12,1.089,1.089,1.057,1.073,2548800
1984-07-13,1.073,1.084,1.063,1.084,3009600
1984-07-16,1.078,1.084,1.068,1.078,1512000
1984-07-17,1.089,1.13,1.084,1.125,6804000
1984-07-18,1.125,1.136,1.094,1.094,5400000
1984-07-19,1.094,1.094,1.037,1.047,6897600
1984-07-20,1.047,1.073,1.032,1.037,7869600
1984-07-23,1.032,1.042,1.021,1.037,6249600
1984-07-24,1.032,1.032,1.005,1.026,15544800
1984-07-25,1.016,1.037,1.016,1.032,17431184
1984-07-26,1.032,1.068,1.032,1.068,2160000
1984-07-27,1.073,1.141,1.068,1.141,7819200
1984-07-30,1.115,1.125,1.099,1.105,3679200
1984-07-31,1.105,1.11,1.094,1.105,3628800
1984-08-01,1.084,1.136,1.068,1.12,10274400
1984-08-02,1.115,1.136,1.105,1.136,27201584
1984-08-03,1.146,1.177,1.141,1.162,28871984
1984-08-06,1.188,1.193,1.162,1.172,21506384
1984-08-07,1.172,1.182,1.162,1.167,6343200
1984-08-08,1.167,1.182,1.162,1.162,6408000
1984-08-09,1.172,1.198,1.162,1.198,25617584
1984-08-10,1.25,1.261,1.209,1.23,18791984
1984-08-13,1.23,1.23,1.209,1.219,1922400
1984-08-14,1.224,1.224,1.188,1.203,5083200
1984-08-15,1.198,1.198,1.146,1.157,3636000
1984-08-16,1.146,1.198,1.141,1.182,8949600
1984-08-17,1.188,1.193,1.182,1.188,4168800
1984-08-20,1.188,1.188,1.172,1.188,4096800
1984-08-21,1.177,1.214,1.167,1.209,16048784
1984-08-22,1.219,1.219,1.188,1.214,8546400
1984-08-23,1.214,1.224,1.203,1.214,7876800
1984-08-24,1.209,1.214,1.188,1.203,3405600
1984-08-27,1.203,1.203,1.172,1.193,3391200
1984-08-28,1.193,1.209,1.188,1.193,3996000
1984-08-29,1.198,1.198,1.182,1.188,6206400
1984-08-30,1.177,1.177,1.162,1.167,2844000
1984-08-31,1.146,1.157,1.13,1.146,3376800
1984-09-04,1.157,1.157,1.13,1.141,33400784
1984-09-05,1.141,1.146,1.125,1.136,4881600
1984-09-06,1.136,1.157,1.13,1.157,11980800
1984-09-07,1.157,1.172,1.157,1.162,38901584
1984-09-10,1.13,1.151,1.13,1.146,20181584
1984-09-11,1.219,1.219,1.182,1.209,18640784
1984-09-12,1.203,1.219,1.193,1.214,6883200
1984-09-13,1.219,1.292,1.219,1.287,22521584
1984-09-14,1.313,1.323,1.302,1.313,13543200
1984-09-17,1.302,1.334,1.292,1.334,8762400
1984-09-18,1.334,1.334,1.307,1.318,2808000
1984-09-19,1.292,1.307,1.282,1.292,9770400
1984-09-20,1.292,1.365,1.292,1.344,9561600
1984-09-21,1.355,1.36,1.318,1.323,14695200
1984-09-24,1.323,1.328,1.266,1.287,2527200
1984-09-25,1.271,1.287,1.261,1.282,3736800
1984-09-26,1.292,1.292,1.266,1.271,7178400
1984-09-27,1.282,1.297,1.282,1.297,9806400
1984-09-28,1.302,1.302,1.261,1.271,4658400
1984-10-01,1.24,1.24,1.219,1.219,17380784
1984-10-02,1.219,1.224,1.198,1.219,9799200
1984-10-03,1.209,1.209,1.151,1.172,11736000
1984-10-04,1.167,1.182,1.167,1.172,4046400
1984-10-05,1.177,1.177,1.167,1.167,14025600
1984-10-08,1.167,1.167,1.136,1.167,4060800
1984-10-09,1.167,1.177,1.162,1.167,15552000
1984-10-10,1.162,1.177,1.151,1.172,8604000
1984-10-11,1.182,1.219,1.182,1.209,25984784
1984-10-12,1.219,1.25,1.219,1.24,23615984
1984-10-15,1.23,1.261,1.224,1.245,23198384
1984-10-16,1.245,1.25,1.24,1.25,13284000
1984-10-17,1.24,1.261,1.23,1.24,4507200
1984-10-18,1.24,1.287,1.24,1.287,26963984
1984-10-19,1.302,1.307,1.255,1.271,24875984
1984-10-22,1.276,1.282,1.266,1.266,7984800
1984-10-23,1.276,1.292,1.255,1.266,6271200
1984-10-24,1.282,1.282,1.255,1.261,979200
1984-10-25,1.261,1.266,1.24,1.25,4255200
1984-10-26,1.24,1.25,1.235,1.24,2930400
1984-10-29,1.245,1.255,1.24,1.245,907200
1984-10-30,1.25,1.276,1.245,1.266,24667184
1984-10-31,1.261,1.266,1.25,1.25,7437600
1984-11-01,1.261,1.276,1.261,1.276,24530384
1984-11-02,1.271,1.307,1.271,1.292,5803200
1984-11-05,1.292,1.323,1.292,1.318,1915200
1984-11-06,1.323,1.339,1.318,1.334,10123200
1984-11-07,1.328,1.334,1.313,1.334,7444800
1984-11-08,1.328,1.328,1.313,1.328,6422400
1984-11-09,1.328,1.328,1.318,1.318,4795200
1984-11-12,1.328,1.328,1.287,1.302,1288800
1984-11-13,1.313,1.313,1.261,1.282,2260800
1984-11-14,1.292,1.313,1.292,1.313,6523200
1984-11-15,1.323,1.355,1.323,1.334,17697584
1984-11-16,1.334,1.344,1.318,1.318,7063200
1984-11-19,1.313,1.313,1.297,1.302,1843200
1984-11-20,1.307,1.313,1.297,1.313,6976800
1984-11-21,1.302,1.323,1.292,1.313,6775200
1984-11-23,1.313,1.355,1.313,1.355,5767200
1984-11-26,1.35,1.35,1.328,1.339,4600800
1984-11-27,1.339,1.355,1.334,1.355,7408800
1984-11-28,1.365,1.375,1.355,1.375,4924800
1984-11-29,1.365,1.37,1.36,1.365,13989600
1984-11-30,1.36,1.36,1.313,1.339,21751184
1984-12-03,1.328,1.365,1.323,1.355,9532800
1984-12-04,1.35,1.417,1.344,1.402,24026384
1984-12-05,1.407,1.412,1.375,1.375,40096784
1984-12-06,1.375,1.402,1.375,1.386,30470384
1984-12-07,1.386,1.407,1.386,1.396,5983200
1984-12-10,1.381,1.402,1.37,1.381,23435984
1984-12-11,1.391,1.396,1.375,1.375,43365584
1984-12-12,1.375,1.396,1.37,1.391,43063184
1984-12-13,1.386,1.396,1.375,1.381,49672768
1984-12-14,1.381,1.417,1.375,1.402,41320784
1984-12-17,1.396,1.427,1.35,1.427,9064800
1984-12-18,1.448,1.495,1.443,1.459,22787984
1984-12-19,1.459,1.475,1.454,1.459,12794400
1984-12-20,1.454,1.469,1.412,1.412,17841584
1984-12-21,1.412,1.422,1.381,1.381,5176800
1984-12-24,1.391,1.433,1.391,1.422,1576800
1984-12-26,1.433,1.433,1.422,1.422,1857600
1984-12-27,1.427,1.459,1.417,1.454,15616800
1984-12-28,1.454,1.459,1.443,1.448,11354400
1984-12-31,1.427,1.438,1.386,1.438,7711200
1985-01-02,1.427,1.433,1.402,1.433,3909600
1985-01-03,1.427,1.433,1.417,1.433,2095200
1985-01-04,1.422,1.433,1.396,1.396,11887200
1985-01-07,1.407,1.412,1.381,1.412,7236000
1985-01-08,1.407,1.422,1.407,1.417,8107200
1985-01-09,1.427,1.427,1.412,1.417,9496800
1985-01-10,1.422,1.475,1.417,1.464,16768784
1985-01-11,1.464,1.464,1.443,1.454,11296800
1985-01-14,1.459,1.485,1.438,1.475,11167200
1985-01-15,3.021,3.042,2.979,3.021,13996792
1985-01-16,3.042,3.146,3.042,3.084,11840392
1985-01-17,3.094,3.146,3.063,3.125,4658400
1985-01-18,3.146,3.146,3.021,3.053,6616800
