day,open,high,low,close,volume
2002-07-11,15,15.1,14.45,14.85,4192200
2002-07-12,14.91,15,14.8,14.87,365400
2002-07-15,14.87,14.92,14.51,14.6,155100
2002-07-16,14.7,14.88,14.48,14.8,425200
2002-07-17,14.81,15.05,14.6,14.7,206800
2002-07-18,14.7,14.79,14.5,14.53,145400
2002-07-19,14.4,14.4,13,13,520600
2002-07-22,13,13.39,12,12.2,205800
2002-07-23,12.24,12.25,9.701,10.1,644900
2002-07-24,10,11.1,10,10.99,113800
2002-07-25,11.24,11.24,10.3,10.33,73800
2002-07-26,10.25,10.55,10,10,799100
2002-07-29,10.2,11.05,10.05,10.75,90800
2002-07-30,11,11.1,10.75,11.05,143800
2002-07-31,11,11,10.46,10.68,61700
2002-08-01,10.45,10.62,10,10.53,282100
2002-08-02,10.4,10.4,9.5,10,282100
2002-08-05,10,10.1,9.581,9.581,59400
2002-08-06,9.651,9.95,9.52,9.55,54800
2002-08-07,9.551,10.21,9.5,9.64,77600
2002-08-08,9.55,10.6,9.55,10.5,313700
2002-08-09,10.45,10.78,10.45,10.78,270100
2002-08-12,10.85,12.74,10.85,12.3,192500
2002-08-13,12.3,13.47,12.3,13.3,317800
2002-08-14,13.3,13.8,12.6,13.79,275300
2002-08-15,13.78,14.25,13.5,14.16,295000
2002-08-16,14.07,14.3,13.85,14.03,47900
2002-08-19,14,14.72,13.95,14.7,106800
2002-08-20,14.73,15.15,14.63,15.08,192900
2002-08-21,14.99,15.73,14.99,15.4,274000
2002-08-22,15.4,15.85,15.15,15.3,192800
2002-08-23,15.65,15.65,14.97,15.37,164000
2002-08-26,15.24,15.24,15,15,46000
2002-08-27,15.06,15.06,14.9,14.95,111300
2002-08-28,14.95,14.99,14.3,14.79,119900
2002-08-29,14.7,14.8,14.25,14.6,19000
2002-08-30,14.55,14.55,14.15,14.5,24800
2002-09-03,14.49,14.5,12.65,13.44,54900
2002-09-04,13.46,13.46,13.05,13.4,8400
2002-09-05,13.16,13.43,13.06,13.41,15800
2002-09-06,13.52,14.42,13.34,14.2,29500
2002-09-09,14.31,14.85,14.31,14.55,50100
2002-09-10,14.8,15.1,14.74,15.05,39500
2002-09-11,15.1,15.12,14.96,15.05,40300
2002-09-12,14.96,15.1,14.95,14.98,36700
2002-09-13,14.95,15.1,14.39,15.05,36200
2002-09-16,15.15,15.3,14.8,15,114500
2002-09-17,15.01,15.3,15,15,31500
2002-09-18,15,15.05,14.95,15.01,16300
2002-09-19,15.01,15.05,14.5,14.9,45500
2002-09-20,14.8,15.1,14.8,15.03,7500
2002-09-23,15.01,15.1,14.95,15.05,36400
2002-09-24,15,16.19,14.8,16.03,90700
2002-09-25,16.05,16.06,15.9,15.95,42500
2002-09-26,16.05,16.47,15.8,16.12,33700
2002-09-27,16.06,17.25,16.06,17.17,80400
2002-09-30,17.05,17.1,16.4,17.1,36600
2002-10-01,16.63,16.66,15.65,16.25,81300
2002-10-02,16,16.25,15.32,15.4,318300
2002-10-03,15.65,15.74,15.4,15.5,38900
2002-10-04,15.74,15.74,15.35,15.5,52100
2002-10-07,15.75,15.75,15.11,15.15,49200
2002-10-08,15.15,15.2,14.96,15.1,51100
2002-10-09,15.15,15.34,15,15.13,40700
2002-10-10,15,15.55,15,15.55,16700
2002-10-11,15.5,15.64,15.3,15.5,47700
2002-10-14,15.5,15.82,15.45,15.69,16500
2002-10-15,15.69,16.22,15.69,16.1,80500
2002-10-16,16,16.2,15.96,16.1,90200
2002-10-17,16.4,16.74,16.3,16.5,33500
2002-10-18,16.6,16.6,16.4,16.4,66200
2002-10-21,16.6,16.8,16.5,16.8,38800
2002-10-22,16.84,16.94,16.4,16.94,93500
2002-10-23,16.73,17.45,16.65,16.75,189900
