day,open,high,low,close,volume
1977-01-03,0.746,0.746,0.739,0.743,156800
1977-01-04,0.743,0.75,0.739,0.746,220800
1977-01-05,0.75,0.758,0.75,0.758,134400
1977-01-06,0.758,0.774,0.758,0.774,268800
1977-01-07,0.766,0.766,0.762,0.762,169600
1977-01-10,0.762,0.766,0.75,0.758,297600
1977-01-11,0.758,0.766,0.754,0.762,160000
1977-01-12,0.758,0.758,0.754,0.758,89600
1977-01-13,0.758,0.762,0.754,0.754,176000
1977-01-14,0.754,0.762,0.75,0.758,956800
1977-01-17,0.758,0.766,0.758,0.762,163200
1977-01-18,0.762,0.766,0.754,0.766,179200
1977-01-19,0.758,0.758,0.75,0.754,137600
1977-01-20,0.754,0.758,0.746,0.746,288000
1977-01-21,0.746,0.762,0.746,0.754,560000
1977-01-24,0.754,0.754,0.746,0.75,694400
1977-01-25,0.75,0.754,0.746,0.75,736000
1977-01-26,0.75,0.754,0.75,0.75,294400
1977-01-27,0.75,0.758,0.75,0.758,512000
1977-01-28,0.754,0.754,0.75,0.75,124800
1977-01-31,0.75,0.762,0.75,0.758,390400
1977-02-01,0.758,0.762,0.758,0.758,176000
1977-02-02,0.758,0.762,0.758,0.758,131200
1977-02-03,0.758,0.77,0.754,0.766,665600
1977-02-04,0.766,0.77,0.762,0.77,1564800
1977-02-07,0.77,0.77,0.762,0.766,134400
1977-02-08,0.766,0.766,0.758,0.758,124800
1977-02-09,0.758,0.762,0.758,0.762,163200
1977-02-10,0.762,0.774,0.762,0.77,428800
1977-02-11,0.77,0.782,0.766,0.778,1244800
1977-02-14,0.778,0.797,0.778,0.797,540800
1977-02-15,0.797,0.805,0.79,0.797,438400
1977-02-16,0.797,0.805,0.793,0.797,1881600
1977-02-17,0.797,0.797,0.793,0.797,150400
1977-02-18,0.797,0.805,0.79,0.805,396800
1977-02-22,0.805,0.809,0.797,0.801,553600
1977-02-23,0.801,0.821,0.797,0.813,1315200
1977-02-24,0.813,0.86,0.809,0.852,4403200
1977-02-25,0.844,0.844,0.825,0.832,435200
1977-02-28,0.832,0.832,0.829,0.829,528000
1977-03-01,0.829,0.836,0.821,0.836,998400
1977-03-02,0.836,0.836,0.821,0.821,240000
1977-03-03,0.821,0.829,0.821,0.821,281600
1977-03-04,0.821,0.829,0.817,0.825,377600
1977-03-07,0.825,0.832,0.821,0.821,185600
1977-03-08,0.821,0.829,0.813,0.821,188800
1977-03-09,0.817,0.817,0.809,0.817,1148800
1977-03-10,0.817,0.821,0.805,0.817,211200
1977-03-11,0.817,0.829,0.817,0.821,275200
1977-03-14,0.821,0.829,0.813,0.817,291200
1977-03-15,0.817,0.821,0.813,0.813,147200
1977-03-16,0.809,0.809,0.797,0.801,480000
1977-03-17,0.801,0.809,0.797,0.805,339200
1977-03-18,0.805,0.825,0.805,0.817,275200
1977-03-21,0.817,0.821,0.813,0.821,457600
1977-03-22,0.821,0.825,0.813,0.813,217600
1977-03-23,0.813,0.821,0.805,0.805,1177600
1977-03-24,0.805,0.809,0.797,0.797,172800
1977-03-25,0.793,0.793,0.785,0.793,172800
1977-03-28,0.793,0.801,0.778,0.782,188800
1977-03-29,0.782,0.793,0.782,0.793,358400
1977-03-30,0.793,0.793,0.785,0.79,131200
1977-03-31,0.79,0.793,0.785,0.785,115200
1977-04-01,0.785,0.79,0.785,0.79,96000
1977-04-04,0.79,0.793,0.785,0.785,112000
1977-04-05,0.785,0.79,0.785,0.785,134400
1977-04-06,0.785,0.797,0.785,0.797,361600
1977-04-07,0.797,0.801,0.79,0.797,115200
1977-04-11,0.797,0.801,0.79,0.79,60800
1977-04-12,0.79,0.817,0.785,0.817,275200
1977-04-13,0.817,0.817,0.801,0.817,304000
1977-04-14,0.817,0.821,0.809,0.813,211200
1977-04-15,0.813,0.817,0.805,0.817,611200
1977-04-18,0.813,0.813,0.805,0.813,256000
1977-04-19,0.805,0.805,0.805,0.805,508800
1977-04-20,0.805,0.809,0.801,0.801,76800
1977-04-21,0.801,0.809,0.797,0.797,102400
1977-04-22,0.797,0.801,0.793,0.801,291200
1977-04-25,0.79,0.79,0.785,0.785,163200
1977-04-26,0.785,0.785,0.778,0.778,252800
1977-04-27,0.778,0.782,0.77,0.782,188800
1977-04-28,0.782,0.782,0.774,0.782,204800
1977-04-29,0.782,0.79,0.782,0.785,137600
1977-05-02,0.785,0.797,0.785,0.797,220800
1977-05-03,0.797,0.801,0.797,0.801,51200
1977-05-04,0.801,0.801,0.793,0.793,102400
1977-05-05,0.793,0.813,0.793,0.801,326400
1977-05-06,0.793,0.793,0.793,0.793,137600
1977-05-09,0.793,0.797,0.79,0.793,860800
1977-05-10,0.797,0.805,0.797,0.801,227200
1977-05-11,0.805,0.821,0.805,0.809,729600
1977-05-12,0.809,0.817,0.805,0.805,211200
1977-05-13,0.805,0.821,0.805,0.813,140800
1977-05-16,0.813,0.821,0.813,0.821,137600
1977-05-17,0.821,0.821,0.817,0.817,156800
1977-05-18,0.817,0.821,0.817,0.817,947200
1977-05-19,0.817,0.825,0.813,0.813,86400
1977-05-20,0.813,0.813,0.805,0.805,105600
1977-05-23,0.801,0.801,0.785,0.79,233600
1977-05-24,0.79,0.801,0.774,0.774,102400
1977-05-25,0.774,0.778,0.77,0.77,147200
1977-05-26,0.77,0.774,0.766,0.774,86400
1977-05-27,0.77,0.77,0.766,0.77,108800
1977-05-31,0.77,0.77,0.758,0.766,185600
1977-06-01,0.766,0.77,0.766,0.77,355200
1977-06-02,0.77,0.778,0.77,0.77,160000
