day,open,high,low,close,volume
1985-07-01,1.664,1.68,1.664,1.68,6451200
1985-07-02,1.68,1.711,1.672,1.688,94668800
1985-07-03,1.695,1.704,1.695,1.704,9318400
1985-07-05,1.704,1.719,1.704,1.719,18124800
1985-07-08,1.719,1.727,1.711,1.719,34099200
1985-07-09,1.727,1.774,1.727,1.75,29593600
1985-07-10,1.75,1.782,1.75,1.75,37324800
1985-07-11,1.75,1.782,1.75,1.774,15872000
1985-07-12,1.774,1.797,1.774,1.782,26265600
1985-07-15,1.782,1.797,1.742,1.75,29235200
1985-07-16,1.75,1.766,1.735,1.758,111462400
1985-07-17,1.758,1.766,1.75,1.766,49254400
1985-07-18,1.766,1.789,1.766,1.774,15616000
1985-07-19,1.805,1.829,1.805,1.82,12236800
1985-07-22,1.82,1.82,1.797,1.805,11161600
1985-07-23,1.797,1.797,1.727,1.742,36966400
1985-07-24,1.727,1.727,1.61,1.649,82483200
1985-07-25,1.625,1.625,1.61,1.625,14489600
1985-07-26,1.625,1.633,1.61,1.617,12544000
1985-07-29,1.617,1.625,1.57,1.57,21145600
1985-07-30,1.563,1.563,1.532,1.547,58828800
1985-07-31,1.563,1.61,1.563,1.602,64204800
1985-08-01,1.602,1.617,1.594,1.602,25190400
1985-08-02,1.602,1.61,1.539,1.547,51865600
1985-08-05,1.547,1.563,1.5,1.5,46489600
1985-08-06,1.516,1.555,1.516,1.516,29952000
1985-08-07,1.516,1.532,1.485,1.5,46131200
1985-08-08,1.5,1.516,1.5,1.5,37376000
1985-08-09,1.5,1.508,1.477,1.477,34201600
1985-08-12,1.477,1.485,1.43,1.438,7116800
1985-08-13,1.438,1.461,1.407,1.454,20480000
1985-08-14,1.454,1.485,1.445,1.454,62156800
1985-08-15,1.454,1.469,1.422,1.445,13414400
1985-08-16,1.445,1.469,1.438,1.445,10854400
1985-08-19,1.445,1.461,1.438,1.454,10496000
1985-08-20,1.454,1.469,1.445,1.454,34406400
1985-08-21,1.469,1.524,1.469,1.5,39065600
1985-08-22,1.524,1.539,1.524,1.539,45670400
1985-08-23,1.539,1.563,1.532,1.555,11366400
1985-08-26,1.555,1.555,1.539,1.539,6604800
1985-08-27,1.539,1.547,1.539,1.539,11264000
1985-08-28,1.539,1.555,1.532,1.539,17254400
1985-08-29,1.539,1.539,1.5,1.5,92313600
1985-08-30,1.5,1.532,1.5,1.5,59596800
1985-09-03,1.5,1.5,1.492,1.5,18483200
1985-09-04,1.5,1.516,1.461,1.5,30412800
1985-09-05,1.5,1.5,1.469,1.477,33945600
1985-09-06,1.477,1.477,1.461,1.477,8345600
1985-09-09,1.477,1.477,1.414,1.438,9574400
1985-09-10,1.407,1.407,1.313,1.344,32512000
1985-09-11,1.344,1.383,1.344,1.383,58572800
1985-09-12,1.383,1.407,1.375,1.375,19558400
1985-09-13,1.375,1.391,1.367,1.375,25907200
1985-09-16,1.375,1.383,1.352,1.36,10956800
1985-09-17,1.36,1.36,1.344,1.352,42803200
1985-09-18,1.352,1.367,1.329,1.344,63129600
1985-09-19,1.344,1.367,1.329,1.367,21043200
1985-09-20,1.367,1.375,1.352,1.352,20428800
1985-09-23,1.367,1.399,1.367,1.399,5273600
