day,open,high,low,close,volume
2019-07-12 00:00:00-04:00,138.85,139.13,138.0099,138.9,21193155
2019-07-11 00:00:00-04:00,138.2,139.22,137.87,138.4,23984563
2019-07-10 00:00:00-04:00,137.13,138.58,137.02,137.85,27032537
2019-07-09 00:00:00-04:00,136,136.97,135.8,136.46,22385753
2019-07-08 00:00:00-04:00,136.4,137.1,135.3701,136.96,18232699
2019-07-05 00:00:00-04:00,135.94,137.33,135.72,137.06,20288854
2019-07-03 00:00:00-04:00,136.79,137.74,136.295,137.46,15216463
2019-07-02 00:00:00-04:00,136.12,136.59,135.34,136.58,15213636
2019-07-01 00:00:00-04:00,136.63,136.7,134.97,135.68,22565376
2019-06-28 00:00:00-04:00,134.53,134.6,133.16,133.96,30023211
