day,open,high,low,close,volume
1990-03-26,1.24,1.295,1.24,1.258,316214
1990-03-27,1.295,1.295,1.24,1.24,401348
1990-03-28,1.277,1.277,1.24,1.258,864864
1990-03-29,1.258,1.258,1.221,1.24,502704
1990-03-30,1.24,1.258,1.221,1.24,572970
1990-04-02,1.258,1.258,1.203,1.221,4214862
1990-04-03,1.24,1.258,1.221,1.258,277028
1990-04-04,1.258,1.258,1.221,1.221,314864
1990-04-05,1.258,1.258,1.221,1.221,479730
1990-04-06,1.258,1.258,1.203,1.221,1548648
1990-04-09,1.24,1.258,1.203,1.221,2174320
1990-04-10,1.258,1.277,1.24,1.268,528374
1990-04-11,1.258,1.295,1.258,1.295,467568
1990-04-12,1.295,1.406,1.295,1.388,1991892
1990-04-16,1.406,1.554,1.406,1.462,2925674
1990-04-17,1.48,1.5,1.443,1.48,1013510
1990-04-18,1.462,1.5,1.314,1.332,3920266
1990-04-19,1.332,1.388,1.277,1.388,2364866
1990-04-20,1.388,1.425,1.388,1.406,1487838
1990-04-23,1.406,1.406,1.351,1.369,5317564
1990-04-24,1.388,1.388,1.332,1.351,3031078
1990-04-25,1.369,1.369,1.314,1.332,1079730
1990-04-26,1.351,1.369,1.332,1.332,4198644
1990-04-27,1.351,1.351,1.258,1.277,2025674
1990-04-30,1.258,1.332,1.258,1.323,1600002
1990-05-01,1.332,1.351,1.277,1.314,1152702
1990-05-02,1.277,1.332,1.277,1.332,2383784
1990-05-03,1.332,1.406,1.332,1.406,2124322
1990-05-04,1.443,1.48,1.434,1.462,2048644
1990-05-07,1.48,1.517,1.462,1.48,3913510
1990-05-08,1.48,1.554,1.48,1.517,5363508
1990-05-09,1.517,1.537,1.48,1.48,2493242
1990-05-10,1.5,1.5,1.462,1.48,706754
1990-05-11,1.5,1.554,1.462,1.554,3436484
1990-05-14,1.554,1.554,1.517,1.517,1045944
1990-05-15,1.537,1.537,1.443,1.443,1186488
1990-05-16,1.48,1.48,1.406,1.443,1314864
1990-05-17,1.443,1.48,1.443,1.48,744590
1990-05-18,1.48,1.48,1.443,1.48,724322
1990-05-21,1.48,1.5,1.443,1.48,1864862
1990-05-22,1.48,1.526,1.443,1.517,2340538
1990-05-23,1.517,1.574,1.5,1.554,2372968
1990-05-24,1.537,1.574,1.537,1.574,466218
1990-05-25,1.537,1.574,1.517,1.537,772974
