day,open,high,low,close,volume
1987-12-30,1.758,1.92,1.714,1.88,3432736
1987-12-31,1.798,1.959,1.758,1.92,541090
1988-01-04,1.92,2.002,1.88,1.959,290458
1988-01-05,2.081,2.164,2.042,2.125,780813
1988-01-06,2.081,2.208,2.081,2.164,421863
1988-01-07,2.164,2.247,2.164,2.208,461182
1988-01-08,2.247,2.247,2.081,2.081,650677
1988-01-11,2.081,2.081,1.959,1.959,942405
1988-01-12,1.959,2.002,1.92,2.002,574828
1988-01-13,2.002,2.002,1.92,1.959,73565
1988-01-14,1.959,1.959,1.88,1.92,815567
1988-01-15,2.002,2.081,1.92,1.92,283102
1988-01-18,1.959,2.002,1.92,1.92,251140
1988-01-19,2.002,2.002,1.92,1.92,669449
1988-01-20,2.002,2.002,1.959,2.002,576350
1988-01-21,2.002,2.002,1.959,2.002,324705
1988-01-22,1.959,2.002,1.959,2.002,80415
1988-01-25,2.002,2.081,2.002,2.042,91324
1988-01-26,2.002,2.081,2.002,2.042,125569
1988-01-27,2.042,2.125,2.042,2.081,130642
1988-01-28,2.081,2.164,2.042,2.125,326481
1988-01-29,2.125,2.125,2.042,2.125,71283
1988-02-01,2.081,2.125,2.081,2.081,194568
1988-02-02,2.164,2.286,2.125,2.286,380767
1988-02-03,2.37,2.53,2.37,2.409,1683136
1988-02-04,2.452,2.452,2.286,2.286,215625
1988-02-05,2.251,2.374,2.251,2.333,118212
1988-02-08,2.293,2.495,2.293,2.495,212327
1988-02-09,2.495,2.495,2.374,2.455,147131
1988-02-10,2.455,2.495,2.418,2.455,135969
1988-02-11,2.418,2.495,2.418,2.495,274476
1988-02-12,2.495,2.495,2.455,2.455,106037
1988-02-16,2.495,2.623,2.455,2.538,369352
1988-02-17,2.578,2.578,2.495,2.495,134194
1988-02-18,2.538,2.578,2.495,2.538,75341
1988-02-19,2.538,2.538,2.455,2.455,55808
1988-02-22,2.538,2.578,2.455,2.538,136479
1988-02-23,2.495,2.578,2.495,2.578,71283
1988-02-24,2.495,2.661,2.495,2.623,369858
1988-02-25,2.623,2.661,2.538,2.623,233888
1988-02-26,2.623,2.661,2.578,2.661,82699
1988-02-29,2.661,2.7,2.661,2.661,128867
1988-03-01,2.661,2.661,2.578,2.578,128867
1988-03-02,2.538,2.578,2.455,2.495,156264
1988-03-03,2.538,2.538,2.455,2.455,100455
1988-03-04,2.455,2.623,2.418,2.623,176304
1988-03-07,2.623,2.661,2.578,2.623,207254
1988-03-08,2.661,2.661,2.538,2.538,257481
1988-03-09,2.623,2.623,2.293,2.333,550222
1988-03-10,2.418,2.495,2.333,2.418,212327
1988-03-11,2.455,2.538,2.333,2.418,519528
1988-03-14,2.455,2.495,2.374,2.418,152966
1988-03-15,2.455,2.495,2.418,2.455,213594
1988-03-16,2.495,2.495,2.418,2.495,69507
1988-03-17,2.455,2.538,2.455,2.455,430995
1988-03-18,2.455,2.538,2.455,2.455,282087
1988-03-21,2.455,2.538,2.455,2.495,484520
1988-03-22,2.455,2.578,2.455,2.538,173515
1988-03-23,2.495,2.661,2.495,2.661,611357
1988-03-24,2.661,2.661,2.538,2.623,102232
1988-03-25,2.578,2.623,2.495,2.538,192286
1988-03-28,2.578,2.578,2.495,2.495,681371
1988-03-29,2.538,2.7,2.538,2.7,255197
1988-03-30,2.7,2.743,2.623,2.623,315064
1988-03-31,2.623,2.783,2.623,2.783,502278
1988-04-04,2.783,2.867,2.743,2.826,869855
1988-04-05,2.826,2.905,2.661,2.867,627848
1988-04-06,2.867,2.867,2.783,2.783,811000
1988-04-07,2.783,2.867,2.783,2.783,303141
1988-04-08,2.826,2.905,2.783,2.905,396243
1988-04-11,2.905,2.949,2.867,2.905,1314040
1988-04-12,2.949,2.988,2.867,2.905,695832
1988-04-13,2.905,2.949,2.783,2.826,462198
1988-04-14,2.783,2.867,2.7,2.783,547432
1988-04-15,2.783,2.867,2.743,2.826,305933
1988-04-18,2.783,2.905,2.783,2.867,349818
1988-04-19,3.027,3.52,3.027,3.399,3206458
1988-04-20,3.52,3.686,3.48,3.52,5010089
1988-04-21,3.559,3.603,3.48,3.52,3127311
1988-04-22,3.52,3.603,3.48,3.52,842965
1988-04-25,3.559,3.559,3.48,3.48,430995
1988-04-26,3.52,3.559,3.438,3.52,1145092
1988-04-27,3.603,3.808,3.603,3.808,4311469
1988-04-28,3.765,4.013,3.725,3.929,2725997
1988-04-29,3.929,4.013,3.892,3.929,910442
1988-05-02,3.929,3.929,3.848,3.892,807194
1988-05-03,3.892,3.892,3.603,3.765,1108561
1988-05-04,3.773,3.855,3.773,3.812,573053
1988-05-05,3.812,4.099,3.812,3.938,2334322
1988-05-06,3.978,4.06,3.938,3.978,903593
1988-05-09,3.938,3.978,3.894,3.938,669449
1988-05-10,3.894,4.06,3.894,3.978,1413225
1988-05-11,3.938,3.938,3.732,3.812,1684405
1988-05-12,3.894,3.894,3.812,3.855,987304
1988-05-13,3.894,3.894,3.812,3.855,537031
1988-05-16,3.855,3.855,3.773,3.812,424146
1988-05-17,3.812,3.812,3.732,3.773,408165
1988-05-18,3.773,3.773,3.732,3.732,602734
1988-05-19,3.69,3.732,3.568,3.732,510902
1988-05-20,3.732,3.812,3.732,3.732,219176
1988-05-23,3.732,3.812,3.732,3.732,265853
1988-05-24,3.69,3.69,3.607,3.69,243782
1988-05-25,3.69,3.732,3.69,3.69,368843
1988-05-26,3.69,3.732,3.69,3.69,159308
1988-05-27,3.732,3.978,3.69,3.978,1020536
1988-05-31,3.978,3.978,3.773,3.855,459406
1988-06-01,3.855,3.855,3.773,3.855,301874
1988-06-02,3.812,3.938,3.812,3.894,826979
1988-06-03,3.894,4.06,3.894,3.938,1344735
1988-06-06,3.894,3.938,3.894,3.894,563412
1988-06-07,3.855,3.938,3.812,3.812,523333
1988-06-08,3.812,3.855,3.732,3.732,615416
1988-06-09,3.773,3.894,3.732,3.894,431502
1988-06-10,3.855,3.894,3.812,3.812,150683
1988-06-13,3.855,3.855,3.773,3.855,263822
1988-06-14,3.894,3.894,3.773,3.773,376202
1988-06-15,3.773,3.773,3.69,3.732,494920
1988-06-16,3.69,3.855,3.69,3.773,848290
1988-06-17,3.812,3.978,3.812,3.938,1632909
1988-06-20,3.894,3.894,3.773,3.855,513186
1988-06-21,3.894,3.894,3.773,3.812,1309979
1988-06-22,3.773,3.894,3.773,3.894,318617
1988-06-23,3.894,3.894,3.773,3.812,942912
1988-06-24,3.812,3.894,3.773,3.855,447990
1988-06-27,3.812,3.894,3.812,3.812,248856
1988-06-28,3.812,3.938,3.773,3.938,708262
1988-06-29,3.894,3.894,3.855,3.855,364279
1988-06-30,3.855,3.978,3.855,3.894,1489583
1988-07-01,3.855,3.978,3.855,3.938,198121
1988-07-05,3.938,3.978,3.938,3.938,347028
1988-07-06,3.978,4.223,3.978,4.182,3183120
1988-07-07,4.182,4.265,4.06,4.265,2089016
1988-07-08,4.223,4.265,4.182,4.265,2661562
1988-07-11,4.223,4.305,4.143,4.305,1507339
1988-07-12,4.347,4.509,4.305,4.509,2697585
1988-07-13,4.47,4.47,3.197,3.445,7693470
1988-07-14,3.445,3.445,3.24,3.279,3940593
1988-07-15,3.323,3.323,3.24,3.323,2887588
1988-07-18,3.323,3.323,3.197,3.197,735658
1988-07-19,3.197,3.24,3.158,3.24,775739
1988-07-20,3.197,3.323,3.158,3.24,856661
1988-07-21,3.279,3.323,3.24,3.279,1189991
1988-07-22,3.279,3.323,3.24,3.279,587259
1988-07-25,3.279,3.279,3.24,3.24,350581
1988-07-26,3.24,3.279,3.24,3.24,175796
1988-07-27,3.24,3.363,3.24,3.323,1267108
1988-07-28,3.363,3.445,3.279,3.445,787156
1988-07-29,3.484,3.484,3.403,3.445,355655
1988-08-01,3.484,3.484,3.445,3.445,373410
1988-08-02,3.445,3.445,3.403,3.445,255197
1988-08-03,3.403,3.568,3.403,3.484,785887
1988-08-04,3.449,3.493,3.449,3.449,148400
1988-08-05,3.449,3.493,3.449,3.449,168948
1988-08-08,3.41,3.449,3.327,3.327,276255
1988-08-09,3.37,3.37,3.287,3.327,339671
1988-08-10,3.287,3.287,3.244,3.244,432770
1988-08-11,3.327,3.37,3.287,3.287,364279
1988-08-12,3.287,3.287,3.244,3.244,169456
1988-08-15,3.244,3.287,3.165,3.205,426427
1988-08-16,3.165,3.287,3.165,3.244,197360
1988-08-17,3.287,3.37,3.244,3.327,315572
1988-08-18,3.327,3.327,3.205,3.244,488071
1988-08-19,3.244,3.244,3.165,3.244,192792
1988-08-22,3.165,3.205,3.123,3.123,262045
1988-08-23,3.123,3.165,3.123,3.123,401316
1988-08-24,3.165,3.165,3.123,3.123,379499
1988-08-25,3.165,3.205,3.165,3.165,183662
1988-08-26,3.165,3.244,3.165,3.244,196344
1988-08-29,3.205,3.205,3.165,3.205,207254
1988-08-30,3.244,3.244,3.165,3.205,227294
1988-08-31,3.205,3.205,3.165,3.205,236934
1988-09-01,3.205,3.205,3.123,3.123,591318
1988-09-02,3.165,3.165,3.165,3.165,125061
1988-09-06,3.165,3.327,3.165,3.327,649409
1988-09-07,3.327,3.37,3.287,3.287,190003
1988-09-08,3.327,3.327,3.244,3.287,799077
1988-09-09,3.287,3.287,3.244,3.244,211058
1988-09-12,3.205,3.205,3.165,3.165,61135
1988-09-13,3.205,3.327,3.165,3.287,622011
1988-09-14,3.287,3.287,3.205,3.244,65702
1988-09-15,3.244,3.327,3.205,3.287,453066
1988-09-16,3.287,3.41,3.244,3.41,1176292
1988-09-19,3.41,3.532,3.327,3.532,372650
1988-09-20,3.532,3.737,3.532,3.699,1381770
1988-09-21,3.658,3.699,3.614,3.658,653468
1988-09-22,3.614,3.614,3.532,3.532,324197
1988-09-23,3.532,3.658,3.532,3.658,509126
1988-09-26,3.658,3.737,3.658,3.658,847531
1988-09-27,3.699,3.737,3.699,3.699,894459
1988-09-28,3.699,3.902,3.699,3.82,1824181
1988-09-29,3.863,3.902,3.78,3.863,568486
1988-09-30,3.82,3.863,3.82,3.82,443424
1988-10-03,3.82,3.863,3.699,3.82,87771
1988-10-04,3.82,3.863,3.78,3.863,293250
1988-10-05,3.82,3.863,3.82,3.863,426427
1988-10-06,3.82,3.863,3.78,3.78,894459
1988-10-07,3.82,3.82,3.658,3.699,116437
1988-10-10,3.699,3.78,3.699,3.737,246573
1988-10-11,3.699,3.699,3.614,3.614,104514
1988-10-12,3.614,3.658,3.614,3.614,194062
1988-10-13,3.614,3.737,3.614,3.737,332822
1988-10-14,3.737,4.025,3.737,3.902,1443921
1988-10-17,3.902,3.985,3.902,3.902,443933
1988-10-18,3.902,3.946,3.902,3.902,96904
1988-10-19,3.902,3.985,3.902,3.902,526884
1988-10-20,3.985,3.985,3.946,3.946,618715
1988-10-21,3.902,3.946,3.863,3.863,221965
1988-10-24,3.863,3.902,3.82,3.863,128867
1988-10-25,3.863,3.902,3.78,3.82,171739
1988-10-26,3.78,3.82,3.78,3.82,123285
1988-10-27,3.78,3.82,3.78,3.78,94114
1988-10-28,3.78,3.863,3.78,3.82,53781
1988-10-31,3.78,3.78,3.699,3.699,93606
1988-11-01,3.699,3.78,3.699,3.78,63419
1988-11-02,3.737,3.902,3.737,3.863,201926
1988-11-03,3.863,3.985,3.82,3.946,790960
1988-11-04,3.91,3.91,3.867,3.867,183153
1988-11-07,3.867,3.867,3.704,3.745,279549
1988-11-08,3.745,3.828,3.704,3.745,101471
1988-11-09,3.745,3.784,3.704,3.745,351594
1988-11-10,3.745,3.784,3.704,3.745,151699
1988-11-11,3.745,3.745,3.704,3.745,272193
1988-11-14,3.745,3.784,3.704,3.745,167173
1988-11-15,3.745,3.828,3.745,3.784,283102
1988-11-16,3.745,3.745,3.663,3.663,228816
1988-11-17,3.704,3.704,3.663,3.663,189496
1988-11-18,3.704,3.704,3.663,3.663,83203
1988-11-21,3.704,3.704,3.663,3.704,96904
1988-11-22,3.663,3.704,3.663,3.704,144341
1988-11-23,3.704,3.745,3.704,3.745,126078
1988-11-25,3.704,3.745,3.704,3.704,22323
1988-11-28,3.704,3.828,3.704,3.784,262045
1988-11-29,3.784,3.91,3.745,3.828,289952
1988-11-30,3.828,3.91,3.828,3.867,410954
1988-12-01,3.867,4.076,3.867,3.91,1352091
1988-12-02,3.949,3.949,3.828,3.828,336881
1988-12-05,3.867,3.91,3.828,3.867,250630
1988-12-06,3.867,3.91,3.867,3.867,132418
1988-12-07,3.867,3.91,3.828,3.828,91324
1988-12-08,3.828,3.91,3.828,3.867,203193
1988-12-09,3.867,3.91,3.867,3.867,779798
1988-12-12,3.91,3.949,3.828,3.867,110602
1988-12-13,3.828,3.91,3.828,3.828,111871
1988-12-14,3.91,3.91,3.745,3.784,175796
1988-12-15,3.784,3.784,3.745,3.745,36529
1988-12-16,3.784,3.91,3.745,3.91,230082
1988-12-19,3.91,3.91,3.867,3.91,228307
1988-12-20,3.91,3.994,3.91,3.949,1573041
1988-12-21,3.949,3.994,3.91,3.949,485790
1988-12-22,3.91,3.91,3.867,3.867,122779
