day,open,high,low,close,volume
1984-12-17,4.408,4.518,4.408,4.518,614400
1984-12-18,4.518,4.628,4.475,4.585,2513600
1984-12-19,4.585,4.605,4.54,4.563,1110400
1984-12-20,4.585,4.628,4.563,4.585,1073600
1984-12-21,4.54,4.65,4.495,4.495,1044800
1984-12-24,4.54,4.585,4.54,4.54,100800
1984-12-26,4.54,4.563,4.518,4.54,160000
1984-12-27,4.54,4.628,4.495,4.54,1228800
1984-12-28,4.518,4.54,4.475,4.518,251200
1984-12-31,4.518,4.518,4.43,4.475,918400
1985-01-02,4.365,4.495,4.365,4.385,680000
1985-01-03,4.408,4.43,4.365,4.43,1433600
1985-01-04,4.43,4.475,4.385,4.475,1179200
1985-01-07,4.475,4.475,4.32,4.32,2614400
1985-01-08,4.365,4.385,4.32,4.385,737600
1985-01-09,4.343,4.43,4.32,4.43,825600
1985-01-10,4.475,4.52,4.475,4.498,2107200
1985-01-11,4.52,4.698,4.52,4.653,1590400
1985-01-14,4.698,4.718,4.63,4.698,1262400
1985-01-15,4.763,4.808,4.718,4.718,5107200
1985-01-16,4.74,4.74,4.718,4.74,806400
1985-01-17,4.74,4.785,4.698,4.785,1572800
1985-01-18,4.785,4.785,4.74,4.785,270400
1985-01-21,4.785,4.83,4.74,4.785,2876800
1985-01-22,4.895,5.095,4.873,4.918,5564800
1985-01-23,4.963,4.985,4.918,4.963,1257600
1985-01-24,5.028,5.073,4.895,4.963,939200
1985-01-25,4.985,4.985,4.94,4.985,624000
1985-01-28,5.05,5.095,4.985,5.05,1244800
1985-01-29,5.118,5.183,5.028,5.183,1905600
1985-01-30,5.25,5.295,5.095,5.14,1640000
1985-01-31,5.14,5.318,5.05,5.295,4713600
1985-02-01,5.273,5.295,5.183,5.273,2323200
1985-02-04,5.228,5.273,5.183,5.273,5025600
1985-02-05,5.273,5.273,5.073,5.073,971200
1985-02-06,5.095,5.25,5.095,5.205,1868800
1985-02-07,5.273,5.318,5.273,5.318,2344000
1985-02-08,5.36,5.405,5.228,5.25,1268800
1985-02-11,5.228,5.228,5.073,5.095,1736000
1985-02-12,5.073,5.073,4.895,4.895,1979200
1985-02-13,4.918,5.05,4.895,5.008,2590400
1985-02-14,5.183,5.183,5.008,5.095,4062400
1985-02-15,5.14,5.273,5.14,5.273,1104000
1985-02-19,5.318,5.405,5.318,5.383,985600
1985-02-20,5.405,5.428,5.338,5.428,1425600
1985-02-21,5.405,5.405,5.273,5.295,1828800
1985-02-22,5.318,5.473,5.318,5.405,1422400
1985-02-25,5.405,5.405,5.273,5.318,2387200
1985-02-26,5.318,5.583,5.318,5.583,1124800
1985-02-27,5.538,5.715,5.495,5.65,1198400
1985-02-28,5.605,5.605,5.338,5.45,2252800
1985-03-01,5.495,5.805,5.45,5.805,1608000
1985-03-04,5.805,5.805,5.67,5.805,1433600
1985-03-05,5.848,5.938,5.715,5.76,947200
1985-03-06,5.805,5.805,5.538,5.605,596800
1985-03-07,5.56,5.56,5.36,5.405,1225600
1985-03-08,5.36,5.45,5.36,5.36,561600
1985-03-11,5.405,5.56,5.383,5.538,1513600
1985-03-12,5.56,5.67,5.56,5.628,516800
1985-03-13,5.67,5.67,5.495,5.628,1230400
1985-03-14,5.67,5.67,5.495,5.583,512000
1985-03-15,5.628,5.628,5.273,5.273,800000
1985-03-18,5.295,5.495,5.295,5.495,828800
