day,open,high,low,close,volume
2019-07-12 00:00:00-04:00,239.75,245.38,239.71,245.08,9202390
2019-07-11 00:00:00-04:00,238.14,241.5,235.8,238.6,7496685
2019-07-10 00:00:00-04:00,234.15,238.94,233.14,238.92,9131980
2019-07-09 00:00:00-04:00,228.97,231,227.28,230.06,6209108
2019-07-08 00:00:00-04:00,231.24,232.25,228.66,230.34,5973625
2019-07-05 00:00:00-04:00,234.57,235.45,230.8,233.1,7071226
2019-07-03 00:00:00-04:00,239.39,241.57,234.51,234.9,14146369
2019-07-02 00:00:00-04:00,228.89,229.15,222.22,224.55,9244497
2019-07-01 00:00:00-04:00,230.21,233.0995,226.28,227.17,8215622
2019-06-28 00:00:00-04:00,220.99,225.16,220.8,223.46,6845091
