open,high,low,close,volume
55.12,57.39,54.3,55.98,15560871
57.08,57.2,55.51,56.88,13875367
57.2,60.52,57.1,59.66,12902978
58.39,58.98,56.27,57.24,16072251
56.5,58.39,56.27,57.17,10339029
56.8,57.2,56.08,56.29,8800232
55.99,56.41,55.1,55.72,8646369
55.7,56.21,54.83,54.89,6900354
55.93,58.33,55.93,58.3,8561710
58.57,58.85,57.29,57.78,5188821
58.71,58.99,57.84,58.5,6152683
58.95,59.05,58.2,58.33,5595921
58.36,58.61,57.55,57.77,4435085
57.48,58.41,57.26,57.89,4261683
57.29,57.84,57,57.62,5359765
57.49,57.89,55.865,56.02,5003396
55.76,55.98,54.82,55.31,5880850
55.3,55.6,54.95,55.26,3648340
55.05,55.685,54.8,55.5,5611357
55.76,57.205,55.6,56.73,5373340
56.82,57.48,55.88,56.14,7129011
55.54,56.16,52.03,52.66,13069310
53.2,53.35,51.72,53.28,6735086
52.15,54.03,51.7,53.16,4630855
52.86,53.325,52.65,52.95,5458879
53.33,53.395,52.31,52.47,4080743
52.26,53.14,51.55,52.92,4261079
52.94,53.7141,52.49,53.1,3476212
52.28,52.55,50.76,50.95,3686761
51.33,53,50.84,52.49,3385806
51.98,53.325,51.67,52.95,2690395
53.29,53.55,52.73,52.95,3077843
52.34,52.52,50.66,50.76,3641448
50.4,50.54,49.92,50.07,4550474
50.28,51.19,50.02,50.63,3506916
50.46,50.61,49.965,50.22,2596572
49.5,49.86,48.21,48.7,4077351
49.39,49.575,48.44,49.21,2657831
49.37,49.43,48.1,48.55,3214594
48.2,49.43,48.01,48.69,3040883
48.12,48.59,48.02,48.47,2945983
47.96,48,46.75,46.76,2819137
46.85,47.95,46.85,47.94,4404360
48.68,49.84,48.64,49.82,5553306
50.49,50.57,49.0496,50.325,4753037
50.28,51.31,50.15,51.05,4899490
51.13,51.69,50.87,51.29,4595336
51.72,52.1,51.58,51.63,3981900
52,52.17,51.56,52.05,4609481
52.06,52.64,51.68,52.5099,2531419
52.68,52.95,52.04,52.88,3358238
52.63,52.69,51,51.15,3214368
50.06,50.33,49.05,49.34,4964268
49.75,50.57,49.4,49.63,4249089
49.95,50.24,48.33,48.5,4362845
49.095,49.59,48.62,48.93,3465673
48.82,49.27,48.31,48.36,5818157
48.51,49.7,48.32,49.6,3634929
49.49,50.2228,49.05,49.71,3566391
49.85,51.22,49.81,50.45,3459287
50.61,51.14,50.5307,50.92,3634914
51.1,51.2,49.08,49.23,4266326
50,50.2,49.52,50.15,4038992
50,50.06,48.76,49.41,4126382
49.46,49.65,49.2,49.3,1946665
49.01,49.37,48.96,49.31,2131122
49.34,49.5,48.385,48.53,5431400
48.3,48.43,47.5,47.89,4426840
48.34,48.42,47.52,47.55,2778200
47.73,48.06,47.18,47.76,3715113
48.46,50.04,48.08,49.71,3612784
