open,high,low,close,volume
45.27,46.23,45.1,46.12,29366933
46,46.32,45.8,45.94,25268809
45.96,46.01,45.25,45.36,33481436
45.6,45.639,44.79,45.35,30224047
45.37,46.78,45.26,46.28,36674377
46.26,47.4,45.93,46.89,35633982
47.29,47.37,46.5,46.7,25799032
46.98,47,46.45,46.81,21886913
46.75,47.71,46.68,47.55,27696536
47.87,48.41,47.54,47.59,22769379
47.71,47.77,46.33,46.61,23703503
46.42,46.78,46.26,46.76,15888228
47,47.49,46.84,47.33,18415867
46.82,46.94,45.9,46.42,23682205
46.15,46.9,45.705,46.75,25977983
47.06,47.1,46.49,46.74,19395411
46.55,47.1,46.52,47,16165486
46.82,47.45,46.57,47.32,16629616
46.86,47.43,46.7,47.27,19344253
46.78,47.08,46.3,46.625,27811661
46.07,46.47,45.67,45.77,30620702
45.3,45.48,43.07,43.08,58663047
40.45,43.31,39.72,41.72,76225829
42.62,43.24,40.39,40.47,62217157
42.01,42.84,41.06,42.73,55919928
43.23,43.95,42.925,43.91,42724137
43.4,44.15,43.39,43.92,23456594
43.65,43.93,43.1,43.51,24384205
42.17,42.59,41.66,41.83,43145752
42.26,43.38,41.88,43.34,32113162
43.41,43.98,43.28,43.5,24813311
42.8,43.04,42.195,42.6,31689986
43.3,44,43.2,43.88,26942799
44.22,44.4,42.91,43.07,24071110
43.12,43.79,42.745,43.3,24269110
43.14,43.59,42.9399,43.48,20184555
43.43,43.44,42.86,43.03,19231111
43.19,44.29,43.08,43.98,25061540
43.97,44.38,43.84,44.3,20444542
44.28,45,44.08,44.26,23851331
43.5,43.99,43.33,43.48,39608121
43.62,44.47,43.6,44.13,21376295
43.38,44.05,43.31,43.9,23941652
43.9,44.17,43.51,43.88,15059998
43.45,44.13,43.27,43.91,22203962
44.41,44.73,43.76,43.96,25114583
43.83,44.085,43.205,43.3,23956891
43.39,43.57,43.05,43.44,25713861
43.88,44.3,43.66,44.21,25366003
44.75,44.76,43.75,44.61,24579911
44.22,45.57,43.92,45.57,35624308
45.79,46.89,45.7,46.63,28802631
46.35,47.175,46.22,46.76,22700384
47.1,47.35,45.95,46.79,24648625
46.55,47.515,46.5,47.45,28967191
47.45,47.54,46.92,47.11,22047874
46.98,47.07,46.5,47,15219629
46.56,47.1299,46.56,46.88,15854602
46.65,47.1,46.53,46.68,21036670
47.01,47.03,46.53,47.03,23638898
47.02,47.54,46.897,47.5,20292936
47.42,47.88,47.02,47.62,23453441
47.47,47.81,47.02,47.77,25823331
47.95,47.99,47.11,47.2,21945974
47.52,48.95,47.09,48.03,48541748
52.3,54.07,52.25,53.24,116595566
52.75,54.32,52.5,54.27,58209887
53.99,54.37,53.58,53.7,43467643
53.54,53.98,52.86,53.98,41288066
53.55,53.83,53.22,53.35,25824123
53.32,53.99,52.62,52.64,38653131
52.85,53.36,52.62,53.23,25273076
52.93,54.39,52.9,54.16,32378314
54.19,54.88,54.06,54.41,33612919
54.49,54.7,54,54.39,24326717
53.97,54.98,53.964,54.91,26897839
54.55,54.87,53.56,54.16,25597135
53.94,54.13,53.27,53.53,49233665
53.7,54.2,53.46,53.65,30924665
53.48,53.9791,53.19,53.32,29445275
53.07,53.29,52.53,52.84,31682644
53.05,53.89,52.85,53.76,25893094
53.17,53.53,52.85,52.97,24922877
53,53.98,52.9799,53.84,25081147
53.99,54.66,53.781,53.94,24682568
54.25,54.3,53.265,54.18,31681860
54.25,54.46,53.75,54.18,24345845
53.92,54.44,53.58,54.26,21248884
54.16,54.23,53.69,53.7,17641181
53.81,54.08,53.79,53.94,7601851
54.56,54.96,53.9999,54.36,42895605
54.37,55.23,54.3,55.21,34267517
55.38,55.96,55.06,55.23,38264991
55.45,55.77,53.93,54.2,33044627
54.16,56.23,54.1,55.9,35855181
55.79,55.97,55.29,55.82,26472682
55.47,56.1,54.99,55.79,28527388
55.37,55.87,54.51,54.98,31001916
55.38,55.655,55.01,55.28,25896116
54.39,55.1,54.01,54.08,32893042
54.33,55.21,53.68,55.16,38055263
