open,high,low,close,volume
110.95,112.18,109.84,110.1,7284106
111.62,111.68,108.9,109.33,7026545
107.75,109.86,106.25,106.44,9559781
107.29,107.94,103.88,106.9,9906627
106.83,107.75,105.4,107.08,5584470
106.4,111.9,105.4,111.63,12856132
111.95,115,111.15,114.31,13940465
114.6,114.6,111.78,112.54,8946837
113.07,122.79,113,121.15,26442103
125.72,129.29,122.705,123.71,23829571
126.29,128.85,122.04,126.41,22482012
126.42,126.6,121.3,123.51,15492371
125.94,126.5,121.51,123.03,11476177
120.5,123.76,120,122.75,9716292
121.47,122.45,118.66,120.5,11125882
120.99,125.73,119.34,123.72,13865941
124.96,125,123,123.3,7624068
123.14,125.7,122.59,125.36,8181251
125.26,126.749,123.55,124.01,8186066
123.39,123.7,121.5,122.08,8037318
119.8,121.45,111.34,112.49,25024028
106.2,110,102.751,103.96,29127411
88.75,109.63,85.5,96.88,50472284
107.79,108,101.5,101.57,32721049
107.27,110.28,102.02,110.19,32353455
114.67,118.25,113.02,117.64,32173806
116.35,119.35,115.88,117.64,18291254
115.43,117,113.76,115.04,15195028
109.36,111.24,103.82,105.96,31694912
109.21,109.5,100.3,105.44,35753472
102.69,104.17,100.11,101.04,26672039
98.05,99.928,97.34,98.79,21683635
102.01,102.5,93.55,94.95,40065014
96.51,102.79,95.52,99.18,32113389
99.42,100.85,96.78,99.48,18499263
98.57,100.85,97.23,97.51,15943174
96.84,97.91,94.33,95.69,14010425
95.35,99.65,93.61,99.21,20687713
99.71,104.48,99.33,104.12,25958757
103.67,107.5,101.83,104.21,23905983
101.98,104.36,100.71,102.61,19135494
103.3,103.77,99.5568,100.3,16240528
98.28,99.9,97,98.48,14868636
98.61,99.74,97.66,98.06,9321329
97.18,104,96.78,103.8,18716080
105.3,105.4487,101.57,102.24,17307072
101.64,103.3275,97.8414,99.47,15533867
99.77,100.63,96.85,98.358,15376423
99.91,103.46,99.05,103.25,14416207
102.78,106.11,101.12,105.95,15560486
102.96,106.87,101.45,106.11,19584896
107.48,112.28,105.76,111.24,19149958
110.39,112.25,105.64,108.3,18625027
108.63,109.78,106.75,108.09,11179347
107.97,115.05,102.6,114.97,40126149
114.11,115.83,112.44,113.31,20218537
114.41,115.42,112.36,113.45,11517331
112.85,113.72,108.78,109.72,15742333
111.5,111.63,108.05,110.1301,19128116
103.77,104.88,99.1,101.059,42921946
100.21,101.65,98.41,98.98,19408634
98.31,103.62,96.26,101.69,27110316
101.06,102.11,97.58,98.99,15689019
99.65,100.34,97.01,97.92,12396145
98.32,99.93,96.86,97.28,11383193
97.61,101.56,97.27,100.04,15809812
100.05,103.31,99.38,103.04,10541881
102.52,104.72,101.23,103.08,10070076
102.9,106.21,102.06,105.8,11954436
105.16,106.91,104.75,105.12,8677430
105.12,110.1,104.9,108.3899,13944059
109.2,109.37,106.3,107.63,10492066
107.45,111.05,107.24,109.74,10252310
110.36,114.28,109.39,114.06,15578299
113.75,115.68,111.72,113.5,12465426
113.39,114.8,112.05,114.05,9874292
113.42,114,108.64,109.8592,14662087
108.86,112.84,108.01,112.71,10010665
113.08,114.61,111.41,112.86,10019958
112.52,115.25,108.2,108.9,15565499
108.22,109.07,103.27,103.63,16844766
102.97,111.65,101.86,111.37,17657921
111.97,118.79,111.7,117.15,30537120
117.94,121,116.1,120.62,21415394
120.21,123.13,119.61,120.19,17349452
120.85,124.07,119.21,123.85,16329698
124.3,126.2,121.66,125.04,14433446
123.67,124.66,120.03,123.3,15577266
124.23,125.2,122.36,124.16,9403198
123.85,126.39,123.59,125.43,5951558
126.03,126.6,122.89,123.36,12173740
124.4,125.57,122.42,125.36,11302660
125.53,131.35,124.93,128.93,22126214
129.62,132.2,126.39,126.8,23833633
