open,high,low,close,volume
211.53,211.65,209.75,210.17,72633378
210.3,210.37,207.6,207.98,89744462
206.94,207.55,206.26,206.76,98225304
207.78,209.5,206.8,209.3,97998033
209.48,211.04,209.31,210.74,88253403
210.16,211.02,209.42,210.79,71013987
211.42,211.45,210.16,210.47,77848946
210.46,210.53,208.65,209.76,90371504
209.7,210.2483,208.8,209.35,70364176
210.45,211.31,209.73,210.09,67213983
210.29,210.415,207.65,208.47,87630877
208.16,208.34,206.87,207.93,87669782
209.28,210.67,209.28,210.58,66755890
208.98,209.47,207.76,208.63,88424557
207.11,209.14,205.36,208.89,136171450
208.73,209.55,208.01,208.63,77197796
208.45,209.5087,208.26,209.4,58555694
208.71,210.58,208.16,210.58,67267031
210.27,210.68,209.699,209.97,53829385
209.1,210.01,207.35,208.32,137824475
206.51,207.17,203.91,203.91,146502794
201.73,202.92,197.53,197.54,259526049
187.33,195.84,182.4,189.48,353841446
195.43,195.45,187.06,187.24,270267060
192.08,194.79,188.37,194.56,255843495
197.02,199.41,195.21,199.28,226847229
198.5,199.835,197.92,199.28,111959716
198.11,199.125,197.01,197.6,108023599
193.12,194.77,190.73,191.61,173963880
194.65,195.46,192.42,195.46,120044919
196.26,198.05,194.96,195.55,117191452
192.85,193.86,191.61,192.56,121958169
195.94,197.61,195.17,197.51,92715665
199.34,199.47,194.35,194.79,110617192
194.54,197.22,194.25,195.88,120145456
195.375,196.77,194.53,196.77,82020134
196.97,197.01,195.43,196,56856167
196.6,198.99,196.09,198.49,80762723
198.82,200.41,198.41,200.19,73928661
200.02,202.89,199.28,199.76,193997461
195.7,197.56,194.96,195.42,145482216
196.44,197.68,195.21,196.46,82723303
193.88,194.46,192.56,193.88,105035035
194.11,194.67,192.91,193.57,72992362
192.15,193.45,190.56,192.93,131840231
194.64,195,191.81,192.81,122360643
191.78,191.91,187.64,187.93,138206304
188.26,189.74,186.93,188.05,132885337
190.37,191.825,189.44,191.67,123370080
192.08,192.49,189.82,192.15,109999547
189.77,194.98,189.12,194.98,156057951
196.46,198.74,196.33,198.5,109412380
198.31,198.98,197,197.82,88776656
198.9,199.825,197.48,199.45,106298455
198.95,201.55,198.59,201.22,126370035
201.37,201.9,200.58,201.36,74424197
201.42,201.76,200.91,201.55,42032769
200.65,202.16,200.05,200.22,72076783
200.18,200.87,198.94,199.27,82856686
200.08,202.34,199.64,202.33,96008389
202.83,203.29,201.92,203.14,79323870
202.5,203.37,202.13,203.33,61255929
202.85,203.84,202.5471,203.07,60081395
203.61,203.79,201.65,201.82,83704739
202.98,205.51,202.81,205.22,121670959
207.25,207.95,206.3,207.51,103135843
207.3,207.37,206.56,206.97,51484043
206.2,207,205.79,206.58,62899344
206.97,208.97,206.21,208.96,115482088
208.34,209.27,208.21,208.87,64052955
209.06,209.44,207.83,207.85,91063424
208.32,210.62,208.17,210.37,70110064
209.97,211.66,209.7,210.96,69592217
211.35,211.5,209.7201,210.38,75445431
210.43,210.98,209.09,210.12,63371991
209.74,210.32,208.46,210.02,87622905
209.31,209.49,206.95,208.06,96626934
207.5,208.6,207.19,208.51,60954178
208.88,208.94,207.66,207.71,58689076
206.5,207.06,204.82,204.89,95298675
204.35,204.67,202.435,202.54,120335951
202.32,205.64,202.18,205.6,90591238
205.99,207.04,204.88,205.38,100515112
206.04,208.9,205.99,208.71,94448031
208.59,209.05,208.2,208.53,61897641
209.45,210.12,208.86,209.35,67021762
209.38,209.98,208.52,209.06,54738608
207.87,209.83,207.41,209.38,81748691
209.5,209.74,209.01,209.32,42760518
209.43,209.8,208.86,209.53,27557063
209.75,209.89,208.56,208.67,78967202
209.44,210.82,209.11,210.74,80426519
