open,high,low,close,volume
269.65,269.9,265.27,267.0032,1853171
267.38,271.09,263.92,265.37,2429999
262.43,264.4321,250.79,253.01,3986146
255.75,265.4,251.8373,264.82,3191276
264.27,267.89,262,263.78,2236748
262.69,266.94,262.11,266.79,1728578
267.6,269.3599,265.123,266.14,1779961
266.29,266.7099,257.07,259.81,2142152
260.01,266.72,258.34,266.3,1895643
263.58,271,260.4,270.13,4014219
249.54,255,236.12,246.19,12335730
243.58,243.73,238.39,242.51,4356823
238.15,242.97,236.05,241.08,3494687
237.15,239.3,234.44,237.36,3601743
235,239.77,232.74,238.2,3101650
239.86,246.48,239.12,242.58,3809610
247.24,247.93,241.77,243.09,3444967
255.46,256.59,250.51,255.0244,5648168
255.38,260.95,253.5601,260.71,3511463
260.33,260.65,255.02,255.27,3051247
252.06,254.56,241.9,242.27,4093008
236,243.7999,230.51,230.8799,5448044
202.79,231.4,195,218.96,7955494
229.67,230.9,219.12,220.034,3412497
227.93,228,215.51,224.84,4102845
231,244.75,230.81,242.99,6474960
241.86,251.45,241.57,248.2701,4676992
245.62,254.95,245.51,249.11,3996378
240.34,246,236.97,238.64,4622912
244.7,247.88,239.78,247.86,4007383
252.05,252.08,245,245.57,3480983
240.89,244.09,238.2,241.9,3117824
246.24,249.16,244.05,248.26,2578310
252.3,254.25,248.303,248.91,2795381
247.23,250.7231,245.33,248.38,2186832
247.64,250.24,244.73,250.2,2005178
251.05,254.25,249.67,253.14,2427717
252.75,254.6,249.5,253.49,2495577
253.26,262.88,252.88,262.25,3475540
263.96,265.5,260.69,261.99,2913224
257.96,263.82,257.5,260.62,2916751
263.98,273.4839,255.8,264.22,5236663
258.96,262.65,255.87,260.74,3109015
261.95,262.08,257.5838,261.06,2180506
259.31,263.45,256.21,263.12,2835970
266.61,266.91,256.15,257.06,3191103
257.35,259.79,246.61,248.26,4207469
250.51,254.73,245.46,246.53,3075977
252,252.4,242.34,248.4,3962254
247.51,248.5,237.13,239.88,3758501
235.6,247.7,234.93,247.492,3490368
248.84,249.84,244.13,246.15,2799600
240,243.03,235.58,241.34,4243829
236.63,237.7,229.12,231.89,5851709
230.08,230.66,221.31,226.7,5095234
220.93,224.37,218.36,220.68,5172129
222.99,223,215.27,215.42,3243278
214.01,222.522,211.13,219.25,4478216
220.67,220.99,215.43,216.89,2616982
216.43,221.73,213.7,221.44,2382864
223.04,230.4805,222.87,227,3671426
226.5,231.15,224.94,228.1,2052595
227.52,228.6,202,213.03,13016428
211.81,214.81,208.8,210.05,3524843
211.56,215.75,209.4,211.81,2275189
215,215.35,207.69,209.1,3557369
211.38,215.88,210,215.4,2851466
214.84,217.1,207.51,210.35,2996507
211.31,213.45,208.3,212.96,2258376
211.75,213.7481,210.64,211.6,1482947
210.4,211.63,203.89,206.94,3629506
208.92,215.8,207.22,213.81,3251812
213.94,214.44,207.75,208.32,4645403
227,232.74,225.2,231.65,10735477
230.58,234.5843,229.19,231.7,3416226
230.7,233.359,229.5,232.35,2050909
232.9,232.99,224.31,225.16,3292221
223.48,223.7,216.08,216.5,3860354
